kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\distribution_matching\budget_10\seed_0\catboost\metrics.json,adult,distribution_matching,budget_10,seed_0,catboost,0.76475,0.5,sklearn_hist_gradient_boosting,0.6931471805599454,20,0.10042150000026595
downstream,adult\distribution_matching\budget_10\seed_0\lightgbm\metrics.json,adult,distribution_matching,budget_10,seed_0,lightgbm,0.76475,0.5,lightgbm,0.6931471805599454,20,0.009336000000075728
downstream,adult\distribution_matching\budget_10\seed_0\mlp\metrics.json,adult,distribution_matching,budget_10,seed_0,mlp,0.23475,0.4989373007438895,sklearn_mlp,10.572313098496034,20,0.017381500000738015
downstream,adult\distribution_matching\budget_10\seed_0\random_forest\metrics.json,adult,distribution_matching,budget_10,seed_0,random_forest,0.76325,0.8463781201374735,sklearn_random_forest,0.5101626943879748,20,0.5366125999998985
downstream,adult\distribution_matching\budget_10\seed_0\xgboost\metrics.json,adult,distribution_matching,budget_10,seed_0,xgboost,0.75875,0.8025835507773269,xgboost,0.49609053549025284,20,0.020261600000594626
downstream,adult\distribution_matching\budget_10\seed_1\catboost\metrics.json,adult,distribution_matching,budget_10,seed_1,catboost,0.76475,0.5,sklearn_hist_gradient_boosting,0.6931471805599454,20,0.11336519999986194
downstream,adult\distribution_matching\budget_10\seed_1\lightgbm\metrics.json,adult,distribution_matching,budget_10,seed_1,lightgbm,0.76475,0.5,lightgbm,0.6931471805599454,20,0.010173699999540986
downstream,adult\distribution_matching\budget_10\seed_1\mlp\metrics.json,adult,distribution_matching,budget_10,seed_1,mlp,0.76475,0.5,sklearn_mlp,3.2469963171577043,20,0.015972700000020268
downstream,adult\distribution_matching\budget_10\seed_1\random_forest\metrics.json,adult,distribution_matching,budget_10,seed_1,random_forest,0.61825,0.7794443948433205,sklearn_random_forest,0.6666077426224196,20,0.527148400000442
downstream,adult\distribution_matching\budget_10\seed_1\xgboost\metrics.json,adult,distribution_matching,budget_10,seed_1,xgboost,0.568,0.7078145046115728,xgboost,0.8044804258433962,20,0.028586800000084622
downstream,adult\distribution_matching\budget_10\seed_2\catboost\metrics.json,adult,distribution_matching,budget_10,seed_2,catboost,0.76475,0.5,sklearn_hist_gradient_boosting,0.6931471805599454,20,0.08078939999995782
downstream,adult\distribution_matching\budget_10\seed_2\lightgbm\metrics.json,adult,distribution_matching,budget_10,seed_2,lightgbm,0.76475,0.5,lightgbm,0.6931471805599454,20,0.011477199999717413
downstream,adult\distribution_matching\budget_10\seed_2\mlp\metrics.json,adult,distribution_matching,budget_10,seed_2,mlp,0.76475,0.5,sklearn_mlp,3.2469963171577043,20,0.018196800000623625
downstream,adult\distribution_matching\budget_10\seed_2\random_forest\metrics.json,adult,distribution_matching,budget_10,seed_2,random_forest,0.7,0.8004769119119937,sklearn_random_forest,0.5699821272330919,20,0.5048682999995435
downstream,adult\distribution_matching\budget_10\seed_2\xgboost\metrics.json,adult,distribution_matching,budget_10,seed_2,xgboost,0.7025,0.7674378734342209,xgboost,0.5699060210235691,20,0.036970799999835435
downstream,adult\distribution_matching\budget_100\seed_0\catboost\metrics.json,adult,distribution_matching,budget_100,seed_0,catboost,0.7715,0.7890847689384716,sklearn_hist_gradient_boosting,0.6767128121433429,200,0.47955670000010286
downstream,adult\distribution_matching\budget_100\seed_0\lightgbm\metrics.json,adult,distribution_matching,budget_100,seed_0,lightgbm,0.80425,0.8218945228431704,lightgbm,0.4619249548444343,200,0.03292429999964952
downstream,adult\distribution_matching\budget_100\seed_0\mlp\metrics.json,adult,distribution_matching,budget_100,seed_0,mlp,0.784,0.5449561041632868,sklearn_mlp,2.9691436618189697,200,0.0377745000005234
downstream,adult\distribution_matching\budget_100\seed_0\random_forest\metrics.json,adult,distribution_matching,budget_100,seed_0,random_forest,0.77925,0.8605838627433064,sklearn_random_forest,0.44819837146526026,200,0.5940345999997589
downstream,adult\distribution_matching\budget_100\seed_0\xgboost\metrics.json,adult,distribution_matching,budget_100,seed_0,xgboost,0.74075,0.8647276603003142,xgboost,0.571728663361141,200,0.021177200000238372
