dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
adult,distribution_matching,budget_10,catboost,0.5,0.0,0.7647499999999999,0.0981920333333619
adult,distribution_matching,budget_10,lightgbm,0.5,0.0,0.7647499999999999,0.010328966666444709
adult,distribution_matching,budget_10,mlp,0.49964576691462986,0.0006135497015830008,0.5880833333333334,0.0171836666671273
adult,distribution_matching,budget_10,random_forest,0.8087664756309292,0.03422818349585617,0.6938333333333334,0.5228764333332947
adult,distribution_matching,budget_10,xgboost,0.7592786429410402,0.04790848368997231,0.6764166666666668,0.02860640000017156
adult,distribution_matching,budget_100,catboost,0.8437073022620313,0.047390490731723585,0.7565,0.565221766666582
adult,distribution_matching,budget_100,lightgbm,0.8583202565856493,0.031549947566091474,0.7744166666666666,0.035222033333108506
adult,distribution_matching,budget_100,mlp,0.5162251838532246,0.024951110368698702,0.7715833333333334,0.038857666666748024
adult,distribution_matching,budget_100,random_forest,0.8688749897661494,0.007252787507473083,0.7638333333333334,0.5932673333330362
adult,distribution_matching,budget_100,xgboost,0.8760197518237677,0.009837950697474368,0.7566666666666667,0.031333766666648444
adult,distribution_matching,budget_25,catboost,0.7590747186313518,0.022721335868125133,0.6843333333333333,0.2082255000001775
adult,distribution_matching,budget_25,lightgbm,0.7550735291307786,0.028385508199280048,0.6540833333333333,0.020103366666262446
adult,distribution_matching,budget_25,mlp,0.5053292451199153,0.012589773240088076,0.41425,0.046031599999575214
adult,distribution_matching,budget_25,random_forest,0.843115678583327,0.006388786571940801,0.72175,0.546754766667012
adult,distribution_matching,budget_25,xgboost,0.8269185763002896,0.004435768153521476,0.7143333333333333,0.030237799999971077
adult,distribution_matching,budget_50,catboost,0.7454442718634131,0.07415210853804224,0.735,0.3451098666667652
adult,distribution_matching,budget_50,lightgbm,0.7383094107305412,0.012626048842048664,0.7624166666666667,0.027705033333101408
adult,distribution_matching,budget_50,mlp,0.501771165426851,0.00490839761266424,0.41241666666666665,0.03225850000004963
adult,distribution_matching,budget_50,random_forest,0.8499263568059362,0.008408063761025722,0.7767499999999999,0.5735598000001119
adult,distribution_matching,budget_50,xgboost,0.8442725813748898,0.006615922661057244,0.7364166666666666,0.038333333333260576
adult,full_data,budget_10,catboost,0.9224806228480689,0.0,0.87125,2.0347915666670815
adult,full_data,budget_10,lightgbm,0.9201377513922959,0.0,0.86675,0.250130533333504
adult,full_data,budget_10,mlp,0.5,0.0,0.23525,3.9452036999997895
adult,full_data,budget_10,random_forest,0.9138572647948476,0.0,0.8617500000000001,4.168708400000166
adult,full_data,budget_10,xgboost,0.9154183105965256,0.0,0.859,0.2563067000000956
adult,full_data,budget_100,catboost,0.9224806228480689,0.0,0.87125,2.3881462333332215
adult,full_data,budget_100,lightgbm,0.9201377513922959,0.0,0.86675,0.2620550666667138
adult,full_data,budget_100,mlp,0.5,0.0,0.23525,3.9784492666667575
adult,full_data,budget_100,random_forest,0.9138572647948476,0.0,0.8617500000000001,4.191344933333615
adult,full_data,budget_100,xgboost,0.9154183105965256,0.0,0.859,0.2658788000001853
adult,full_data,budget_25,catboost,0.9224806228480689,0.0,0.87125,2.8169232666662842
adult,full_data,budget_25,lightgbm,0.9201377513922959,0.0,0.86675,0.2654215333332104
adult,full_data,budget_25,mlp,0.5,0.0,0.23525,4.281929500000236
adult,full_data,budget_25,random_forest,0.9138572647948476,0.0,0.8617500000000001,3.9630701333332277
adult,full_data,budget_25,xgboost,0.9154183105965256,0.0,0.859,0.27259320000060444
adult,full_data,budget_50,catboost,0.9224806228480689,0.0,0.87125,3.5026206666667954
adult,full_data,budget_50,lightgbm,0.9201377513922959,0.0,0.86675,0.24467490000006364
adult,full_data,budget_50,mlp,0.5,0.0,0.23525,3.908732633333784
adult,full_data,budget_50,random_forest,0.9138572647948476,0.0,0.8617500000000001,4.269079900000179
adult,full_data,budget_50,xgboost,0.9154183105965256,0.0,0.859,0.2563660999997713
adult,gain_herding,budget_10,catboost,0.5,0.0,0.7647499999999999,0.12137753333202757
adult,gain_herding,budget_10,lightgbm,0.5,0.0,0.7647499999999999,0.010785233333687453
adult,gain_herding,budget_10,mlp,0.507294665532287,0.016453879136655043,0.5913333333333334,0.027173566665927257
adult,gain_herding,budget_10,random_forest,0.8477860779565233,0.006276052640652455,0.733,0.5857789999984865
adult,gain_herding,budget_10,xgboost,0.8356524078296282,0.004073449078696809,0.7308333333333333,0.030273633332399186
adult,gain_herding,budget_100,catboost,0.877504948435868,0.004514591923498415,0.7851666666666667,0.7091163000004599
adult,gain_herding,budget_100,lightgbm,0.8816397135703,0.0026913399377419644,0.7829999999999999,0.03692136666722945
adult,gain_herding,budget_100,mlp,0.5718731866398427,0.031793623109562213,0.7879999999999999,0.083910566666115
adult,gain_herding,budget_100,random_forest,0.8895544317523467,0.0008708960475809834,0.7863333333333333,0.6746146000004956
adult,gain_herding,budget_100,xgboost,0.8985561672512844,0.0012752614116588463,0.7978333333333333,0.040253766666864976
adult,gain_herding,budget_25,catboost,0.7901610747285902,0.022496857443513596,0.7104166666666667,0.1227793000046707
