dataset,method,budget,root_agreement_mean,top5_overlap_mean,gain_rank_correlation_mean
adult,distribution_matching,budget_10,0.0,0.06666666666666667,0.23475000024974738
adult,distribution_matching,budget_100,0.0,0.13333333333333333,0.3411361104590238
adult,distribution_matching,budget_25,0.0,0.06666666666666667,0.21160181479610343
adult,distribution_matching,budget_50,0.0,0.06666666666666667,0.28136744945916264
adult,full_data,budget_10,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,full_data,budget_100,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,full_data,budget_25,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,full_data,budget_50,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,gain_herding,budget_10,0.0,0.06666666666666667,0.34616122976384284
adult,gain_herding,budget_100,0.0,0.0,0.49145839022812404
adult,gain_herding,budget_25,0.0,0.26666666666666666,0.429603201195175
adult,gain_herding,budget_50,0.0,0.20000000000000004,0.4899634453441979
adult,gain_path_diverse,budget_25,0.0,0.4,0.4475998218880746
adult,gain_path_diverse,budget_50,0.0,0.0,0.461029983506392
adult,gain_path_dual,budget_25,0.0,0.2,0.5255633801812775
adult,gain_path_dual,budget_50,0.0,0.0,0.6048731390150325
adult,gain_path_herding,budget_10,0.0,0.3333333333333333,0.5100782897863109
adult,gain_path_herding,budget_100,0.0,0.13333333333333333,0.5161196215180147
adult,gain_path_herding,budget_25,0.0,0.20000000000000004,0.5676076558171703
adult,gain_path_herding,budget_50,0.0,0.13333333333333333,0.4690188484992903
adult,gain_path_prior_weighted,budget_25,0.0,0.20000000000000004,0.5951038809699848
adult,gain_path_prior_weighted,budget_50,0.0,0.20000000000000004,0.48654402796555773
adult,gain_path_refined,budget_25,0.0,0.13333333333333333,0.5549763496517063
adult,gain_path_refined,budget_50,0.0,0.13333333333333333,0.5102999652856576
adult,gain_path_refined_weighted,budget_50,0.0,0.2,0.26122998282680204
adult,gain_path_safeguarded,budget_25,0.0,0.13333333333333333,0.5549763496517063
adult,gain_path_safeguarded,budget_50,0.0,0.13333333333333333,0.5102999652856576
adult,gain_weighted_coreset,budget_10,0.0,0.06666666666666667,0.28465699824006935
adult,gain_weighted_coreset,budget_100,0.3333333333333333,0.26666666666666666,0.4256063561227604
adult,gain_weighted_coreset,budget_25,0.0,0.06666666666666667,0.1984656396216915
adult,gain_weighted_coreset,budget_50,0.0,0.20000000000000004,0.3787755330146803
adult,gaindistill,budget_10,0.3333333333333333,0.06666666666666667,-0.11153222019969199
adult,gaindistill,budget_100,0.3333333333333333,0.26666666666666666,-0.06250716227394101
adult,gaindistill,budget_25,0.3333333333333333,0.20000000000000004,0.07788789172915211
adult,gaindistill,budget_50,0.3333333333333333,0.06666666666666667,-0.03835614857144961
adult,gaindistill_anchor,budget_25,0.0,0.13333333333333333,0.31778883737101743
adult,gaindistill_anchor,budget_50,0.0,0.13333333333333333,0.25446170631980636
adult,gaindistill_full,budget_25,0.0,0.13333333333333333,0.31778883737101743
adult,gaindistill_full,budget_50,0.0,0.13333333333333333,0.25446170631980636
adult,gaindistill_hybrid,budget_10,0.0,0.06666666666666667,0.28465699824006935
adult,gaindistill_hybrid,budget_100,0.3333333333333333,0.26666666666666666,0.4256063561227604
adult,gaindistill_hybrid,budget_25,0.0,0.06666666666666667,0.1984656396216915
adult,gaindistill_hybrid,budget_50,0.0,0.20000000000000004,0.3787755330146803
adult,gaindistill_path_hybrid,budget_10,0.0,0.06666666666666667,0.24950253595952576
adult,gaindistill_path_hybrid,budget_100,0.0,0.20000000000000004,0.47137656312716275
adult,gaindistill_path_hybrid,budget_25,0.0,0.06666666666666667,0.35382978324554876
adult,gaindistill_path_hybrid,budget_50,0.0,0.06666666666666667,0.3478240866196129
adult,gradient_sampling,budget_10,0.0,0.06666666666666667,0.4105571638912228
adult,gradient_sampling,budget_100,0.0,0.0,0.2749818151701553
adult,gradient_sampling,budget_25,0.0,0.0,0.3276118390432606
adult,gradient_sampling,budget_50,0.0,0.0,0.3411959993133742
adult,herding,budget_10,0.0,0.20000000000000004,0.3660981568766535
adult,herding,budget_100,0.0,0.13333333333333333,0.40738870765806706
adult,herding,budget_25,0.0,0.0,0.4856769813301885
adult,herding,budget_50,0.0,0.3333333333333333,0.5492198571118673
adult,k_center,budget_10,0.0,0.0,-0.008236493676510784
adult,k_center,budget_100,0.0,0.06666666666666667,0.4183249790589834
adult,k_center,budget_25,0.0,0.0,0.1384710411730765
adult,k_center,budget_50,0.0,0.0,0.21484422299000616
adult,math_full,budget_50,0.0,0.0,0.31731293914591446
adult,math_no_anchor,budget_50,0.0,0.0,0.31731293914591446
adult,math_no_hist,budget_50,0.0,0.0,0.16719489957706177
adult,math_no_newton,budget_50,0.0,0.0,0.1664484937753785
adult,math_no_probes,budget_50,0.0,0.2,0.2825485234735735
adult,math_no_soft_routing,budget_50,0.0,0.0,0.06455279266679306
adult,math_root_only,budget_50,0.0,0.2,0.2439729145411224
adult,math_tuned,budget_50,0.0,0.2,0.36663226795107995
adult,math_tuned_more_probes,budget_50,0.0,0.2,0.3651733838841535
adult,math_tuned_no_anchor,budget_50,0.0,0.2,0.36663226795107995
adult,math_tuned_no_hist,budget_50,0.0,0.2,0.36725427278581596
adult,random,budget_10,0.0,0.06666666666666667,0.22879147629124177
adult,random,budget_100,0.0,0.13333333333333333,0.3752717022907099
adult,random,budget_25,0.0,0.26666666666666666,0.22908030945182464
adult,random,budget_50,0.0,0.26666666666666666,0.41060764863892457
adult,refined_no_conf,budget_25,0.0,0.13333333333333333,0.5497805060250104
adult,refined_no_conf,budget_50,0.0,0.06666666666666667,0.5583775878718013
adult,refined_no_gain_weight,budget_25,0.0,0.13333333333333333,0.5549763496517063
adult,refined_no_gain_weight,budget_50,0.0,0.13333333333333333,0.5102999652856576
adult,refined_no_grad,budget_25,0.0,0.3333333333333333,0.31178218611026537
adult,refined_no_grad,budget_50,0.0,0.26666666666666666,0.4875427450579461
adult,refined_no_hess,budget_25,0.0,0.26666666666666666,0.43868654931131096
adult,refined_no_hess,budget_50,0.0,0.06666666666666667,0.5453368886061954
adult,refined_no_path,budget_25,0.0,0.3333333333333333,0.43966284211335355
adult,refined_no_path,budget_50,0.0,0.26666666666666666,0.4882775351508039
adult,refined_no_raw,budget_25,0.0,0.26666666666666666,0.511096288464881
adult,refined_no_raw,budget_50,0.0,0.20000000000000004,0.5293545576328432
adult,refined_no_refine,budget_25,0.0,0.20000000000000004,0.5676076558171703
adult,refined_no_refine,budget_50,0.0,0.13333333333333333,0.4690188484992903
adult,refined_path_occupancy_only,budget_25,0.0,0.06666666666666667,0.4326500261755717
adult,refined_path_occupancy_only,budget_50,0.0,0.20000000000000004,0.4788117286444045
adult,sketch_no_conf,budget_50,0.0,0.0,0.2874229735996674
adult,sketch_no_gain_weight,budget_50,0.0,0.0,0.2874229735996674
adult,sketch_no_grad,budget_50,0.0,0.0,0.3262764950636184
adult,sketch_no_hess,budget_50,0.0,0.0,0.2716677505544555
adult,sketch_no_raw,budget_50,0.0,0.0,0.26071433127605714
adult,sketch_occupancy_only,budget_50,0.0,0.0,0.45421623762028923
adult,tree_region,budget_10,0.0,0.06666666666666667,0.4105571638912228
adult,tree_region,budget_100,0.0,0.0,0.2749818151701553
adult,tree_region,budget_25,0.0,0.0,0.3276118390432606
adult,tree_region,budget_50,0.0,0.0,0.3411959993133742
agaricus_lepiota,distribution_matching,budget_10,0.0,0.13333333333333333,0.3156211948254059
agaricus_lepiota,distribution_matching,budget_100,1.0,0.26666666666666666,0.3583948271949493
agaricus_lepiota,distribution_matching,budget_25,0.3333333333333333,0.13333333333333333,0.39300143759426714
agaricus_lepiota,distribution_matching,budget_50,1.0,0.3333333333333333,0.3313004286598276
agaricus_lepiota,full_data,budget_10,1.0,0.7999999999999999,0.9711746874275317
agaricus_lepiota,full_data,budget_100,1.0,0.7999999999999999,0.9711746874275317
agaricus_lepiota,full_data,budget_25,1.0,0.7999999999999999,0.9711746874275317
agaricus_lepiota,full_data,budget_50,1.0,0.7999999999999999,0.9711746874275317
agaricus_lepiota,gain_herding,budget_10,1.0,0.20000000000000004,0.35335775082305565
agaricus_lepiota,gain_herding,budget_100,0.6666666666666666,0.4000000000000001,0.6983643667902258
agaricus_lepiota,gain_herding,budget_25,0.6666666666666666,0.39999999999999997,0.4272359310300744
agaricus_lepiota,gain_herding,budget_50,1.0,0.5333333333333333,0.4936908430501687
agaricus_lepiota,gain_path_herding,budget_10,0.3333333333333333,0.3333333333333333,0.35569229662492735
agaricus_lepiota,gain_path_herding,budget_100,1.0,0.6,0.7149299829248758
agaricus_lepiota,gain_path_herding,budget_25,0.6666666666666666,0.3333333333333333,0.45556342429991536
agaricus_lepiota,gain_path_herding,budget_50,0.3333333333333333,0.4000000000000001,0.5444591264138725
agaricus_lepiota,gain_path_refined,budget_25,0.6666666666666666,0.3333333333333333,0.4730206475353753
agaricus_lepiota,gain_path_refined,budget_50,0.3333333333333333,0.4666666666666666,0.5544359604815637
agaricus_lepiota,gain_path_safeguarded,budget_25,0.6666666666666666,0.3333333333333333,0.4730206475353753
agaricus_lepiota,gain_path_safeguarded,budget_50,0.3333333333333333,0.4666666666666666,0.5544359604815637
agaricus_lepiota,gain_weighted_coreset,budget_10,0.6666666666666666,0.3333333333333333,0.3266192066448827
agaricus_lepiota,gain_weighted_coreset,budget_100,0.3333333333333333,0.3333333333333333,0.5135573221728348
agaricus_lepiota,gain_weighted_coreset,budget_25,0.0,0.4666666666666666,0.3792712456409038
