method,comparator,wins,ties,losses,mean_diff,wilcoxon_p
ablation_full,random,0,0,25,-0.307607310582504,5.960464477539063e-08
ablation_full,herding,1,0,24,-0.30614508774043464,1.1920928955078125e-07
ablation_full,gain_path_herding,1,0,24,-0.32785135959717865,1.1920928955078125e-07
ablation_full,gain_herding,0,0,25,-0.33151214665045414,5.960464477539063e-08
ablation_no_child,random,0,0,25,-0.3048800038979051,5.960464477539063e-08
ablation_no_child,herding,1,0,24,-0.3034177810558357,1.1920928955078125e-07
ablation_no_child,gain_path_herding,1,0,24,-0.3251240529125797,1.7881393432617188e-07
ablation_no_child,gain_herding,0,0,25,-0.3287848399658552,5.960464477539063e-08
ablation_no_entropy_anneal,random,0,0,25,-0.30931513217986023,5.960464477539063e-08
ablation_no_entropy_anneal,herding,0,0,25,-0.30785290933779086,5.960464477539063e-08
ablation_no_entropy_anneal,gain_path_herding,1,0,24,-0.32955918119453487,1.1920928955078125e-07
ablation_no_entropy_anneal,gain_herding,0,0,25,-0.3332199682478103,5.960464477539063e-08
ablation_no_gain,random,0,0,25,-0.295016771469109,5.960464477539063e-08
ablation_no_gain,herding,1,0,24,-0.29355454862703967,1.1920928955078125e-07
ablation_no_gain,gain_path_herding,1,0,24,-0.3152608204837836,1.1920928955078125e-07
ablation_no_gain,gain_herding,0,0,25,-0.31892160753705917,5.960464477539063e-08
ablation_no_hist,random,0,0,25,-0.25656915694750987,5.960464477539063e-08
ablation_no_hist,herding,1,0,24,-0.25510693410544055,1.1920928955078125e-07
ablation_no_hist,gain_path_herding,1,0,24,-0.2768132059621845,5.960464477539062e-07
ablation_no_hist,gain_herding,0,0,25,-0.28047399301546,5.960464477539063e-08
ablation_no_margin,random,0,0,25,-0.34463937370574493,5.960464477539063e-08
ablation_no_margin,herding,1,0,24,-0.34317715086367556,1.1920928955078125e-07
ablation_no_margin,gain_path_herding,1,0,24,-0.36488342272041946,1.1920928955078125e-07
ablation_no_margin,gain_herding,0,0,25,-0.36854420977369506,5.960464477539063e-08
ablation_no_marginal,random,0,0,25,-0.3209480215881285,5.960464477539063e-08
ablation_no_marginal,herding,1,0,24,-0.31948579874605926,1.1920928955078125e-07
ablation_no_marginal,gain_path_herding,1,0,24,-0.34119207060280315,1.1920928955078125e-07
ablation_no_marginal,gain_herding,0,0,25,-0.34485285765607876,5.960464477539063e-08
ablation_no_newton,random,1,0,24,-0.24198503951050337,5.960464477539062e-07
ablation_no_newton,herding,1,0,24,-0.24052281666843406,1.7881393432617188e-07
ablation_no_newton,gain_path_herding,2,0,23,-0.26222908852517796,8.344650268554688e-07
ablation_no_newton,gain_herding,1,0,24,-0.2658898755784535,1.7881393432617188e-07
ablation_no_pairwise,random,2,0,23,-0.23334380122957438,5.960464477539062e-07
ablation_no_pairwise,herding,1,0,24,-0.23188157838750506,1.1920928955078125e-07
ablation_no_pairwise,gain_path_herding,1,0,24,-0.253587850244249,5.960464477539062e-07
ablation_no_pairwise,gain_herding,0,0,25,-0.2572486372975245,5.960464477539063e-08
distribution_matching,random,462,157,941,-0.02485334153404425,2.987546723299699e-44
distribution_matching,herding,425,158,977,-0.03414616168175569,2.700401447201443e-69
distribution_matching,gain_path_herding,264,157,1139,-0.0447762295951202,1.1899816010998043e-120
distribution_matching,gain_herding,274,156,1130,-0.04488886233247655,1.2548226963529569e-120
full_data,random,1409,3,148,0.10440704145432163,4.48299020078244e-202
full_data,herding,1359,0,201,0.09511422130661021,1.8563871718479766e-184
full_data,gain_path_herding,1350,5,205,0.08448415339324566,5.189327489941393e-178
full_data,gain_herding,1353,4,203,0.08437152065588932,1.67168598493391e-179
gain_herding,random,1025,159,376,0.0200355207984323,3.097062624845884e-61
gain_herding,herding,930,157,473,0.010742700650720872,6.259192019583698e-24
gain_herding,gain_path_herding,673,160,727,0.00011263273735634917,0.022439757765206368
gain_path_diverse,random,51,0,29,0.010768429521362912,0.013150016228588777
gain_path_diverse,herding,42,0,38,0.0024934887902700502,0.8403513647405143
gain_path_diverse,gain_path_herding,22,0,58,-0.012764580791274802,2.7076378462352657e-05
gain_path_diverse,gain_herding,26,0,54,-0.012756704616281738,0.00016332492372502495
gain_path_dual,random,61,1,18,0.016604545843765132,2.6354053490455008e-05
gain_path_dual,herding,53,0,27,0.008329605112672268,0.0266994008172563
gain_path_dual,gain_path_herding,29,0,51,-0.006928464468872586,0.010430496874622115
gain_path_dual,gain_herding,35,0,45,-0.006920588293879521,0.29797101644174506
gain_path_herding,random,1026,158,376,0.019922888061075953,2.552545361997174e-60
gain_path_herding,herding,931,156,473,0.010630067913364523,1.6932713464339273e-27
gain_path_herding,gain_herding,727,160,673,-0.00011263273735634917,0.022439757765206368
gain_path_prior_weighted,random,176,3,61,0.021382707794109113,1.4427372004584856e-13
gain_path_prior_weighted,herding,153,0,87,0.00950544743911134,7.302378047297715e-06
gain_path_prior_weighted,gain_path_herding,102,8,130,-0.004797622531897103,0.011482371293592931
gain_path_prior_weighted,gain_herding,109,1,130,-0.004893688831491455,0.20503376221558522
gain_path_refined,random,585,2,193,0.02484918976015128,9.280864351237957e-44
gain_path_refined,herding,542,1,237,0.016999441870457644,1.2477604416693056e-25
gain_path_refined,gain_path_herding,375,9,396,0.0033434313841908415,0.6689946457474107
gain_path_refined,gain_herding,417,1,362,0.0018697654328416729,0.003680387698913516
gain_path_refined_weighted,random,23,1,16,-0.006488439409702879,0.12823605597613794
gain_path_refined_weighted,herding,24,0,16,0.003458027992627995,0.1423485195809917
gain_path_refined_weighted,gain_path_herding,11,1,28,-0.01450239098715093,0.010236992050741578
gain_path_refined_weighted,gain_herding,15,0,25,-0.017947651611846853,0.03207873742940137
gain_path_safeguarded,random,586,2,192,0.024381929567429177,1.8925598862015368e-44
gain_path_safeguarded,herding,545,1,234,0.016532181677735545,4.0798461043309846e-25
gain_path_safeguarded,gain_path_herding,287,198,295,0.0028761711914687405,0.21010462220364368
gain_path_safeguarded,gain_herding,418,1,361,0.0014025052401195725,0.0019448928064107916
