feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,target
42.5283,4.226415,187738.08,10.64151,11.509434,2.264151,7.509434,0.9245283,3.8490567,0.754717,141.3019,170.73586,44.679245,37.264153,0
41.945946,4.1891894,361196.0,11.378379,11.135136,2.1621623,8.216216,0.91891897,3.72973,0.7567568,1489.892,102.810814,48.945946,35.18919,0
47.35294,4.2941175,77301.12,12.176471,13.941176,2.1176472,8.882353,0.47058824,3.2941177,0.9411765,99999.0,0.0,47.941177,35.64706,0
43.52174,4.0,211056.31,10.782609,12.217392,2.3043478,7.608696,0.86956525,4.0,0.826087,9377.913,0.0,45.217392,36.0,0
43.63158,4.2105265,331950.44,10.789474,12.894737,2.2105262,6.8421054,1.4210527,3.2631578,0.7368421,13562.421,0.0,48.263157,37.42105,0
43.526318,3.631579,90161.87,10.684211,11.342105,1.9210527,7.0,0.8947368,3.4210527,0.81578946,2637.5,0.0,43.973686,38.210526,0
41.42373,4.2033896,384795.5,11.0,11.559322,2.0508475,8.152542,0.3898305,3.8644068,0.9661017,2246.322,260.89832,48.135593,36.101696,0
41.62963,3.6111112,204394.95,10.907408,11.333333,2.1666667,7.1666665,0.6851852,3.8888888,0.8703704,57.462963,186.85185,44.27778,38.01852,0
51.272728,4.0,132011.1,10.545455,13.363637,2.0,8.090909,0.0,3.6363637,1.0,11752.818,0.0,47.545456,35.454548,0
46.4058,3.7826087,49429.54,11.086957,11.594203,2.1449275,7.2028985,0.86956525,3.942029,0.826087,1058.884,245.78261,44.985508,38.0,0
43.0,3.7058823,300486.0,10.735294,11.470589,2.2941177,7.882353,0.2647059,3.3235295,0.97058827,2303.5,240.61765,48.058823,31.911764,0
41.61017,4.0338984,114972.95,10.288136,11.898305,2.084746,6.1864405,0.69491524,3.7457628,0.84745765,400.76273,117.61017,45.38983,36.81356,0
37.785717,3.857143,465121.4,11.035715,11.035715,2.25,6.5357146,0.2857143,3.7142859,0.96428573,1523.3215,67.39286,44.39286,35.07143,0
43.190475,4.0476193,310800.22,10.833334,11.261905,2.047619,6.857143,1.1428572,3.7142859,0.7857143,352.07144,369.9524,43.690475,37.595238,0
49.733337,4.666667,138389.61,10.733334,13.866668,2.0,8.333334,1.9333334,3.9333336,0.6,99999.01,0.0,48.86667,35.06667,0
44.08621,4.275862,199896.94,11.224138,12.0172415,2.0689654,6.948276,0.62068963,3.724138,0.8965517,89.27586,400.2586,47.568966,35.13793,0
46.235294,3.6470587,156986.53,10.529412,10.764706,2.4705882,5.0,0.47058824,4.0,0.88235295,7648.9414,0.0,44.705883,38.17647,0
42.866665,4.17037,31273.422,11.044444,11.177777,1.9111111,7.133333,0.6074074,3.748148,0.87407404,1806.7852,198.68147,45.577778,37.585186,0
46.600002,5.2000003,372806.8,13.2,14.6,2.0,10.8,0.0,4.0,1.0,99999.0,0.0,59.0,39.0,0
44.783787,3.945946,167412.89,10.945946,11.621622,2.054054,7.5405407,0.6486487,3.891892,0.8108108,139.94595,321.0811,43.621624,38.324326,0
43.804348,3.826087,181494.1,10.630435,11.717392,2.2391305,7.2391305,0.7826087,3.8913045,0.826087,0.0,309.3913,44.0,35.152176,0
46.88889,4.5,170629.0,10.666667,12.0,2.2222223,7.0,0.6666667,3.6111112,0.8888889,14606.389,0.0,49.38889,38.5,0
42.75676,4.0,159866.88,10.216216,11.810811,2.1621623,6.945946,0.8918919,3.72973,0.8378379,118.54054,388.81082,44.18919,37.783783,0
51.44,4.04,150762.11,11.04,12.799999,2.0,7.0,1.0799999,3.84,0.76,16668.0,0.0,45.239998,37.92,0
44.65,4.5,196060.5,10.95,13.3,2.15,8.5,0.35,4.0,0.90000004,99999.0,0.0,55.4,37.350002,0
41.09524,3.9523811,221624.81,10.714287,11.777779,2.047619,6.7142863,0.90476197,3.888889,0.8095239,679.9683,130.42857,43.603176,35.015877,0
43.764706,4.7058825,121458.88,9.529412,11.294118,1.6470588,6.9411764,1.6470588,4.0,0.5882353,7483.1177,0.0,44.294117,36.235294,0
44.653847,4.0384617,287658.9,11.384616,11.788462,2.0,7.5384617,1.0,3.5769231,0.78846157,2331.654,363.48077,46.71154,37.923077,0
44.254543,3.890909,155141.69,10.70909,11.4,2.090909,7.6363635,0.56363636,3.8,0.8909091,56.41818,400.43634,46.30909,38.01818,0
48.0,2.25,172116.0,12.0,12.25,2.5,3.0,1.5,3.25,0.75,0.0,2143.75,45.0,36.75,0
47.18182,4.060606,163903.67,10.939394,11.575758,2.1515152,8.242424,0.8787879,3.909091,0.72727275,591.7879,130.81819,43.636364,38.333336,0
40.695652,4.0,177941.33,11.043478,10.956522,2.0869565,7.2173915,1.0217391,3.9565217,0.8478261,67.45652,0.0,47.456524,35.06522,0
42.826088,3.7391305,195332.55,10.521739,11.478261,2.152174,7.3913045,0.45652175,3.6956522,0.86956525,436.02176,137.45653,44.54348,38.608696,0
45.727276,4.090909,145999.38,11.030303,11.363637,2.1212122,6.757576,0.27272728,3.787879,0.969697,0.0,323.60608,46.69697,38.727272,0
40.17021,3.8723402,241758.19,10.127659,11.382978,2.1702127,6.8510637,0.4468085,3.7234042,0.93617016,101.85106,115.80851,43.659573,36.702126,0
42.535717,3.9642859,191686.83,10.625,11.464286,2.107143,7.1071434,0.5357143,3.7857144,0.8571429,0.0,205.0893,43.285717,37.410717,0
42.999996,3.786885,274696.22,10.57377,11.639343,2.1639342,7.393442,0.7377049,3.704918,0.86885244,1446.754,275.6885,46.672127,36.032784,0
42.82353,3.5294118,173058.17,10.588235,12.3529415,2.235294,5.9411764,1.0,3.7058823,0.7647059,7595.9414,0.0,41.47059,36.882355,0
45.67692,3.9230769,97460.08,10.046154,11.430769,2.0307693,7.4615383,0.63076925,3.7538462,0.8769231,1078.277,221.87692,44.276924,37.846153,0
52.857143,4.0,254514.88,12.571429,12.857143,1.7142859,7.4285717,0.14285715,3.7142859,1.0,99999.01,0.0,49.714287,39.0,0
44.0,4.5,182536.5,11.1,13.3,2.1000001,7.9,0.8,4.0,0.8,20647.9,0.0,42.4,39.0,0
42.379997,4.04,119498.68,10.3,11.639999,2.1599998,7.5,0.76,3.82,0.82,237.5,380.31998,43.66,36.66,0
44.772728,4.159091,174839.94,10.204546,11.0,2.0909092,7.75,0.6363636,3.8636365,0.8636364,70.52273,0.0,42.18182,37.227272,0
43.934784,3.652174,214442.06,11.695652,11.304348,2.0652175,7.7391305,0.54347825,3.8913045,0.9130435,180.02174,340.58698,44.54348,38.304348,0
43.434784,3.9130435,578640.1,9.956522,10.826087,2.1304348,8.173913,0.5652174,3.304348,0.9130435,3624.4783,164.73914,44.04348,37.695652,0
39.825,4.125,209267.53,11.125,11.2,1.975,6.65,0.6,3.925,0.875,0.0,242.02501,45.175,37.025,0
42.833336,4.0,175229.17,9.166667,10.0,2.3333335,9.5,0.16666667,3.6666667,1.0,0.0,2029.0,54.166668,39.0,0
43.41379,3.9655173,344925.97,10.931034,11.827586,2.0344827,6.586207,0.63793105,3.689655,0.8965517,895.86206,215.22414,44.896553,36.448277,0
43.909092,3.939394,133402.48,11.090909,11.636364,2.4242425,6.848485,1.0,3.909091,0.72727275,250.9394,0.0,43.454548,37.878788,0
45.625,3.75,224390.0,10.875,14.0,2.375,6.25,0.5,3.625,0.75,17955.75,0.0,51.0,39.125,0
