variant,downstream_score,split_agreement,gain_corr,top5_overlap
full,0.4891852291412361,0.2,-0.06965432397977,0.08
math_full,0.834436940070496,0.0,0.3005169922637535,0.1
math_no_anchor,0.8370028638199415,0.0,0.2851160648376152,0.15
math_no_hist,0.8371293815679174,0.0,0.2674120302094739,0.15
math_no_newton,0.8384279097579158,0.0,0.2541939433674164,0.1
math_no_probes,0.8284269305000906,0.0,0.320377764501695,0.15
math_no_soft_routing,0.8127344864547321,0.0,0.1509813655745764,0.05
math_root_only,0.8154045536325526,0.0,0.2755386536559245,0.1
math_tuned,0.8338304129029013,0.125,0.2893314656067949,0.175
math_tuned_more_probes,0.8365009648985691,0.125,0.2749623415733974,0.125
math_tuned_no_anchor,0.8396735470674124,0.125,0.3011514661265653,0.175
math_tuned_no_hist,0.8346379593348436,0.0,0.3158721758495898,0.175
no_child,0.491912535825835,0.0,-0.0444693103602784,0.12
no_entropy_anneal,0.4874774075438799,0.0,-0.0204135166984574,0.16
no_gain,0.5017757682546311,0.6,-0.0040158285572787,0.28
no_hist,0.5402233827762303,0.2,-0.0230088806993791,0.2
no_margin,0.4521531660179952,0.0,0.0113293196038459,0.12
no_marginal,0.4758445181356115,0.2,-0.0772019267947568,0.24
no_newton,0.5548075002132368,0.0,-0.0083122586771004,0.16
no_pairwise,0.5634487384941658,0.2,-0.027559275633638,0.12
sketch_no_conf,0.8939693947117071,0.2,0.2539644273983591,0.08
sketch_no_gain_weight,0.8959974902092647,0.2,0.2340331751398435,0.16
sketch_no_grad,0.9014574840934724,0.0,0.4307533648312457,0.24
sketch_no_hess,0.8950719838232285,0.2,0.3143828801567602,0.32
sketch_no_raw,0.9001178322001823,0.2,0.269364468603168,0.16
sketch_occupancy_only,0.8951413248823833,0.0,0.3036350731723594,0.08
