dataset,gain_herding,gain_path_herding,gain_path_refined,gain_path_safeguarded,herding,random
adult,0.7797280476522823,0.7869170570004923,0.7889728711187941,0.7889728711187941,0.758451238293025,0.7553983836827202
agaricus_lepiota,0.9696951924615576,0.9665440602962682,0.9677425985807552,0.9677425985807552,0.9536329024875532,0.9473466904582907
australian,0.8776204669647292,0.8781704634163651,0.8755837059115748,0.8755837059115748,0.8700766446668086,0.8624866936342347
bank_marketing,0.8060885607365084,0.8047411143186916,0.8079855923541734,0.8079855923541734,0.7938175756146847,0.7766086271724151
breast_w,0.9839070048309179,0.9834842995169082,0.9842957427536232,0.9842957427536232,0.9806725543478261,0.9748980978260869
credit_approval,0.872251791923923,0.8758072528564331,0.8766446668086013,0.8766446668086013,0.8611986374281456,0.8644170037612661
credit_g,0.7123928571428572,0.7155238095238095,0.7329424603174604,0.7329424603174604,0.7191607142857143,0.6671626984126984
diabetes,0.7916141975308641,0.7975895061728395,0.8120401234567901,0.8120401234567901,0.7783240740740741,0.7601049382716049
electricity,0.8065083327274843,0.8137805471618449,0.8104083063773201,0.8104083063773201,0.7561845235108658,0.7822371007924505
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,0.4784466145833333,0.4925325520833333,0.4895592447916666,0.4925325520833333,0.481802734375,0.484341796875
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,0.5173671875,0.5365286458333334,0.5387395833333334,0.5387395833333334,0.528099609375,0.49791536458333335
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,0.6115872395833333,0.5654407552083334,0.5726282552083333,0.5726282552083333,0.54893359375,0.5583958333333333
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,0.5021848958333333,0.5077669270833334,0.5252376302083334,0.5252376302083334,0.51315625,0.5138997395833333
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,0.5874069010416666,0.5831087239583332,0.5930006510416667,0.5930006510416667,0.579421875,0.549134765625
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,0.556259765625,0.5454055989583334,0.560607421875,0.560607421875,0.573720703125,0.5370084635416666
hill_valley_with_noise,0.5207751885471706,0.511663957006729,0.5204545454545454,0.511663957006729,0.5250846768730525,0.5123650815156031
hill_valley_without_noise,0.49864837398373985,0.4926885727190605,0.48138098464317974,0.4926885727190605,0.5243157181571816,0.5183649503161698
kr_vs_kp,0.8888303458442591,0.9134094555986068,0.912576644097426,0.9133341160815625,0.877684337207937,0.8463641344761457
pc1,0.7682823403113258,0.7723832528180353,0.7750509930220075,0.7750509930220075,0.6951851851851851,0.7466881374127751
pc3,0.7660902283511268,0.7297078884934757,0.7261973606168446,0.7170521945432977,0.7880894128113879,0.7320970492289443
pc4,0.8265860098379629,0.8219184027777777,0.8186957465277778,0.823023365162037,0.799267578125,0.7992296006944444
phoneme,0.8548282739029184,0.8545230014148788,0.8518072736882092,0.8518072736882092,0.8036376699093266,0.8316329325427628
qsar_biodeg,0.8661167002012072,0.8590459423205902,0.8631606304493629,0.8591197183098591,0.846161971830986,0.8275989268947015
sick,0.9441916559350789,0.9430740377343063,0.9429932953128514,0.9441344208008832,0.9152756484945116,0.9314808568917233
spambase,0.9120082381323829,0.8920636801379714,0.9027428899618538,0.8920636801379714,0.9207606366697276,0.8780829638845279
tic_tac_toe,0.7749253731343284,0.7922069651741294,0.7915064676616915,0.7915064676616915,0.6888537313432835,0.7216159203980099
