method,method_label,comparator,comparator_label,n_pairs,mean_diff,median_diff,wins,ties,losses,wilcoxon_p
random,Random,herding,Herding,780,-0.007849747889693635,-0.004254923181139902,352,1,427,0.0001664075110543463
random,Random,gain_herding,Gain sketch,780,-0.022979424327309605,-0.01936762177353768,196,0,584,1.8561078598815914e-38
random,Random,gain_path_herding,Gain-path sketch,780,-0.02150575837596044,-0.01885202956828902,208,0,572,6.068765051904879e-35
herding,Herding,random,Random,780,0.007849747889693635,0.004254923181139902,427,1,352,0.0001664075110543463
herding,Herding,gain_herding,Gain sketch,780,-0.015129676437615968,-0.010565603271715962,266,0,514,2.007376925523785e-16
herding,Herding,gain_path_herding,Gain-path sketch,780,-0.013656010486266803,-0.012934730326034649,256,0,524,3.920225222240216e-18
gain_herding,Gain sketch,random,Random,780,0.022979424327309605,0.01936762177353768,584,0,196,1.8561078598815914e-38
gain_herding,Gain sketch,herding,Herding,780,0.015129676437615968,0.010565603271715962,514,0,266,2.007376925523785e-16
gain_herding,Gain sketch,gain_path_herding,Gain-path sketch,780,0.0014736659513491664,-0.001017640950866039,369,3,408,0.07858247577178218
gain_path_herding,Gain-path sketch,random,Random,780,0.02150575837596044,0.01885202956828902,572,0,208,6.068765051904879e-35
gain_path_herding,Gain-path sketch,herding,Herding,780,0.013656010486266803,0.012934730326034649,524,0,256,3.920225222240216e-18
gain_path_herding,Gain-path sketch,gain_herding,Gain sketch,780,-0.0014736659513491664,0.001017640950866039,408,3,369,0.07858247577178218
gain_path_refined,Gain-path refined,random,Random,780,0.024849189760151283,0.01907342384841526,585,2,193,9.280864351237957e-44
gain_path_refined,Gain-path refined,herding,Herding,780,0.016999441870457647,0.014793801999004486,542,1,237,1.2488074267550209e-25
gain_path_refined,Gain-path refined,gain_herding,Gain sketch,780,0.0018697654328416772,0.0009179687499999145,417,1,362,0.003675712139836191
gain_path_refined,Gain-path refined,gain_path_herding,Gain-path sketch,780,0.003343431384190843,-0.0001221685040000975,375,9,396,0.6670986269097376
gain_path_safeguarded,Gain-path safeguarded,random,Random,780,0.02438192956742918,0.019252165584799585,586,2,192,1.8925598862015368e-44
gain_path_safeguarded,Gain-path safeguarded,herding,Herding,780,0.016532181677735545,0.014892971078614203,545,1,234,4.0832325073836444e-25
gain_path_safeguarded,Gain-path safeguarded,gain_herding,Gain sketch,780,0.0014025052401195753,0.0010425117392719452,418,1,361,0.0019412393665982593
gain_path_safeguarded,Gain-path safeguarded,gain_path_herding,Gain-path sketch,780,0.0028761711914687413,0.0,287,198,295,0.2084894804089642
