method,n_rows,datasets,budgets,seeds,learners,auroc_mean
full_data,1560,26,4,3,5,0.8118642095478188
gain_herding,1560,26,4,3,5,0.7274926888919294
gain_path_herding,1560,26,4,3,5,0.7273800561545731
gaindistill_path_hybrid,1560,26,4,3,5,0.721519570168542
gain_weighted_coreset,1560,26,4,3,5,0.7184673299192141
gaindistill_hybrid,1560,26,4,3,5,0.7184673299192141
herding,1560,26,4,3,5,0.7167499882412086
random,1560,26,4,3,5,0.7074571680934971
k_center,1560,26,4,3,5,0.6833429346015025
distribution_matching,1560,26,4,3,5,0.6826038265594528
gaindistill,1560,26,4,3,5,0.5034487089309839
gradient_sampling,1560,26,4,3,5,0.4043182692431728
tree_region,1560,26,4,3,5,0.4043182692431728
gain_path_refined,780,26,2,3,5,0.7508829109835836
gain_path_safeguarded,780,26,2,3,5,0.7504156507908616
refined_no_gain_weight,240,8,2,3,5,0.8349538102444822
refined_no_hess,240,8,2,3,5,0.8331909422465441
refined_no_grad,240,8,2,3,5,0.8318419956046049
refined_no_conf,240,8,2,3,5,0.8314101371485927
refined_path_occupancy_only,240,8,2,3,5,0.8302019313294792
refined_no_path,240,8,2,3,5,0.829006718651172
refined_no_refine,240,8,2,3,5,0.8288571349806915
refined_no_raw,240,8,2,3,5,0.8284306869379116
gain_path_prior_weighted,240,8,2,3,5,0.824061525331242
gain_path_dual,80,8,2,1,5,0.8228856830048029
gain_path_diverse,80,8,2,1,5,0.8170495666824007
math_tuned_no_anchor,40,8,1,1,5,0.8396735470674124
math_tuned_more_probes,40,8,1,1,5,0.8365009648985691
math_tuned_no_hist,40,8,1,1,5,0.8346379593348436
math_tuned,40,8,1,1,5,0.8338304129029013
gain_path_refined_weighted,40,8,1,1,5,0.8266697103042177
gaindistill_anchor,180,6,2,3,5,0.8029693436282462
gaindistill_full,180,6,2,3,5,0.7985781507796184
sketch_no_grad,25,5,1,1,5,0.9014574840934725
sketch_no_raw,25,5,1,1,5,0.9001178322001825
sketch_no_gain_weight,25,5,1,1,5,0.8959974902092647
sketch_occupancy_only,25,5,1,1,5,0.8951413248823833
sketch_no_hess,25,5,1,1,5,0.8950719838232285
sketch_no_conf,25,5,1,1,5,0.8939693947117071
ablation_no_pairwise,25,5,1,1,5,0.5634487384941658
ablation_no_newton,25,5,1,1,5,0.5548075002132368
ablation_no_hist,25,5,1,1,5,0.5402233827762303
ablation_no_gain,25,5,1,1,5,0.5017757682546311
ablation_no_child,25,5,1,1,5,0.49191253582583505
ablation_full,25,5,1,1,5,0.48918522914123613
ablation_no_entropy_anneal,25,5,1,1,5,0.4874774075438799
ablation_no_marginal,25,5,1,1,5,0.47584451813561157
ablation_no_margin,25,5,1,1,5,0.4521531660179952
math_no_newton,20,4,1,1,5,0.8384279097579158
math_no_hist,20,4,1,1,5,0.8371293815679174
math_no_anchor,20,4,1,1,5,0.8370028638199415
math_full,20,4,1,1,5,0.834436940070496
math_no_probes,20,4,1,1,5,0.8284269305000906
math_root_only,20,4,1,1,5,0.8154045536325526
math_no_soft_routing,20,4,1,1,5,0.8127344864547321
