dataset,in_focused_suite,source,n_train,n_val,n_test,n_total,n_features,positive_rate_train,positive_rate_val,positive_rate_test
adult,True,pmlb,12000,4000,4000,20000,14,0.7646666666666667,0.7645,0.76475
agaricus_lepiota,False,pmlb,4887,1629,1629,8145,22,0.4810722324534479,0.4806629834254143,0.4806629834254143
australian,True,openml,414,138,138,690,14,0.4468599033816425,0.4420289855072464,0.4420289855072464
bank_marketing,True,openml,12000,4000,4000,20000,16,0.1166666666666666,0.1165,0.11675
breast_w,True,openml_suite,419,140,140,699,9,0.3460620525059666,0.3428571428571428,0.3428571428571428
credit_approval,False,openml_suite,414,138,138,690,15,0.5555555555555556,0.5507246376811594,0.5579710144927537
credit_g,True,openml_suite,600,200,200,1000,20,0.7,0.7,0.7
diabetes,True,openml_suite,460,154,154,768,8,0.3478260869565217,0.3506493506493506,0.3506493506493506
electricity,False,openml_suite,12000,4000,4000,20000,8,0.4234166666666666,0.4235,0.4235
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,False,pmlb,960,320,320,1600,1000,0.5,0.5,0.5
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,False,pmlb,960,320,320,1600,20,0.5,0.5,0.5
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,False,pmlb,960,320,320,1600,20,0.5,0.5,0.5
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,False,pmlb,960,320,320,1600,20,0.5,0.5,0.5
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,False,pmlb,960,320,320,1600,20,0.5,0.5,0.5
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,False,pmlb,960,320,320,1600,20,0.5,0.5,0.5
hill_valley_with_noise,False,pmlb,726,243,243,1212,100,0.5,0.5020576131687243,0.4979423868312757
hill_valley_without_noise,False,pmlb,726,243,243,1212,100,0.5041322314049587,0.5061728395061729,0.5061728395061729
kr_vs_kp,False,openml_suite,1917,639,640,3196,36,0.5221700573813249,0.5226917057902973,0.521875
pc1,True,openml,665,222,222,1109,21,0.069172932330827,0.072072072072072,0.0675675675675675
pc3,False,openml_suite,937,313,313,1563,37,0.1024546424759871,0.1022364217252396,0.1022364217252396
pc4,False,openml_suite,874,292,292,1458,37,0.1212814645308924,0.1232876712328767,0.1232876712328767
phoneme,False,openml,3242,1081,1081,5404,5,0.2936458975940777,0.2932469935245143,0.2932469935245143
qsar_biodeg,False,openml,633,211,211,1055,41,0.3380726698262243,0.3364928909952606,0.3364928909952606
sick,False,openml_suite,2262,755,755,3772,29,0.0614500442086649,0.0609271523178807,0.0609271523178807
spambase,True,openml_suite,2760,920,921,4601,57,0.3942028985507246,0.3934782608695652,0.3941368078175896
tic_tac_toe,False,openml_suite,574,192,192,958,9,0.6533101045296167,0.65625,0.6510416666666666
