method,method_label,comparator,comparator_label,n_pairs,mean_diff,median_diff,wins,ties,losses,wilcoxon_p
trajectory_refined,Trajectory refined,gain_path_refined,Gain-path refined,240,-0.002458397023125784,0.0,76,84,80,0.2464787291351569
trajectory_refined,Trajectory refined,gain_herding,Gain sketch,240,0.0038465764605302203,0.0,113,32,95,0.06511785697697539
trajectory_refined,Trajectory refined,herding,Herding,240,0.010332109666685992,0.004247005548922933,132,33,75,1.9101939269027206e-05
trajectory_refined,Trajectory refined,random,Random,240,0.02980243927497326,0.012711775058009467,167,33,40,2.8520058084302125e-17
split_margin_refined,Split-margin refined,gain_path_refined,Gain-path refined,240,-0.008261069449718078,-0.0005105208998651412,78,38,124,7.686765038776637e-05
split_margin_refined,Split-margin refined,gain_herding,Gain sketch,240,-0.0019560959660620742,0.0,100,35,105,0.6079071033712198
split_margin_refined,Split-margin refined,herding,Herding,240,0.004529437240093697,0.0017559467491710112,123,32,85,0.027971241567003098
split_margin_refined,Split-margin refined,random,Random,240,0.023999766848380965,0.009584685763882106,156,35,49,4.971467243640073e-13
threshold_witness,Threshold witness,gain_path_refined,Gain-path refined,240,-0.14819959633839186,-0.1132001770194514,25,34,181,2.564414586691787e-31
threshold_witness,Threshold witness,gain_herding,Gain sketch,240,-0.14189462285473586,-0.09399909420289837,27,33,180,8.09767369923801e-32
threshold_witness,Threshold witness,herding,Herding,240,-0.13540908964858006,-0.09621362433862443,46,33,161,8.850648304847232e-26
threshold_witness,Threshold witness,random,Random,240,-0.1159387600402928,-0.07801329969219128,41,32,167,5.3477397342749636e-27
region_adaptive_refined,Region adaptive refined,gain_path_refined,Gain-path refined,240,-0.01452364522235019,-0.009794202044574596,59,32,149,1.696743645573332e-11
region_adaptive_refined,Region adaptive refined,gain_herding,Gain sketch,240,-0.008218671738694188,-0.004359148550724556,71,33,136,2.3837542705319902e-05
region_adaptive_refined,Region adaptive refined,herding,Herding,240,-0.001733138532538415,0.0,100,32,108,0.5480898595584558
region_adaptive_refined,Region adaptive refined,random,Random,240,0.01773719107574885,0.0,118,34,88,0.0007818746700611348
region_trajectory_refined,Region trajectory refined,gain_path_refined,Gain-path refined,240,-0.013853003912530708,-0.006297805958131897,56,32,152,3.719283603151462e-12
region_trajectory_refined,Region trajectory refined,gain_herding,Gain sketch,240,-0.007548030428874702,-0.003709742351046652,72,33,135,0.00021811712817624586
region_trajectory_refined,Region trajectory refined,herding,Herding,240,-0.00106249722271893,0.0,100,32,108,0.7709691320695793
region_trajectory_refined,Region trajectory refined,random,Random,240,0.018407832385568333,0.002115465742514866,127,34,79,5.565132953057243e-06
gain_path_refined,Gain-path refined,gain_herding,Gain sketch,240,0.006304973483656004,0.0,104,33,103,0.06021201936694658
gain_path_refined,Gain-path refined,herding,Herding,240,0.012790506689811776,0.005485115383547234,138,33,69,1.103006420998883e-06
gain_path_refined,Gain-path refined,random,Random,240,0.032260836298099047,0.012347883597883524,170,32,38,4.610563066045803e-20
gain_herding,Gain sketch,gain_path_refined,Gain-path refined,240,-0.006304973483656004,0.0,103,33,104,0.06021201936694658
gain_herding,Gain sketch,herding,Herding,240,0.006485533206155771,0.0014719202898551553,131,32,77,0.00389043269035518
gain_herding,Gain sketch,random,Random,240,0.025955862814443034,0.012475685496213362,160,33,47,1.7658307880325643e-15
herding,Herding,gain_path_refined,Gain-path refined,240,-0.012790506689811776,-0.005485115383547234,69,33,138,1.103006420998883e-06
herding,Herding,gain_herding,Gain sketch,240,-0.006485533206155771,-0.0014719202898551553,77,32,131,0.00389043269035518
herding,Herding,random,Random,240,0.019470329608287266,0.005861954859594176,134,33,73,3.1333827292685017e-06
random,Random,gain_path_refined,Gain-path refined,240,-0.032260836298099047,-0.012347883597883524,38,32,170,4.610563066045803e-20
random,Random,gain_herding,Gain sketch,240,-0.025955862814443034,-0.012475685496213362,47,33,160,1.7658307880325643e-15
random,Random,herding,Herding,240,-0.019470329608287266,-0.005861954859594176,73,33,134,3.1333827292685017e-06
