dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,1,1.02714604139328,0.8826797235012055,0.9695418477058411,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,5,1.3402436524629593,0.8480649323947728,1.1761187732219696,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,10,1.7650364562869072,0.8503891460597515,1.2963827103376389,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,25,2.3919244408607483,0.9205120889842511,1.3869403064250947,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,50,3.0389256477355957,1.089807685073465,1.7109894573688507,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,1,1.05055533349514,0.8818107798695565,0.9976842403411865,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,5,1.2900843173265457,0.8498155026137829,1.1965686954557897,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,10,1.46962571144104,0.8328530125319957,1.3707716852426528,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,25,1.9611755907535553,0.9584349795430899,1.6261614169925451,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,50,2.584109663963318,1.0996540371328591,1.9032113373279573,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,1,1.0008665174245834,0.8744643187522888,0.9787630900740624,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,5,1.3893244713544846,0.8400474689900875,1.1808928966522216,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,10,1.8841370642185211,0.8424300134927034,1.2900150209665298,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,25,2.4513523876667023,0.94698196105659,1.5934118449687957,50
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,50,2.920903265476227,1.083465128876269,1.983352875709534,50
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1,1.0361785292625427,0.8832997979223728,0.9737728983163834,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,5,1.551015354692936,0.8222872158885002,1.1825495660305023,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10,1.8204241842031479,0.8021218717843294,1.3382904440164567,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,25,1.9839876592159271,0.8084215888753533,1.3685904130339623,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,50,2.1011572256684303,0.8497518937243149,1.4606481850147248,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,1,1.0090980231761932,0.879278223067522,1.0090980231761932,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,5,1.311261385679245,0.832555115558207,1.1353706285357477,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,10,1.5499007403850555,0.822817439828068,1.2317159652709961,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,25,2.1240735054016113,0.8859437957778573,1.5275612831115732,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,50,2.427296996116638,0.9955355539731682,1.7788212746381769,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,1,1.011144906282425,0.8824659287929535,1.006448656320572,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,5,1.4878446087241173,0.8416985989548266,1.1723082482814788,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,10,1.7147850692272186,0.8173104016110301,1.1755777120590212,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,25,2.297921359539032,0.859457819648087,1.4268015801906586,100
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,50,2.483610063791275,0.9758508400246501,1.7925059378147135,100
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_0,1,0.3949657678604126,0.1407861089706421,0.26858460903167725,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_0,5,1.4478361010551453,0.44501611828804016,0.7552280664443972,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_0,10,1.822621263563633,0.6978489170223474,1.2097077697515488,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_0,25,3.042134404182434,1.2002161082625389,2.1086101576685907,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_0,50,4.029726475477219,1.7877812109142541,2.688775832951069,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_1,1,0.3383283019065857,0.10594662189483643,0.2569569945335388,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_1,5,1.0668008029460907,0.3147140470147133,0.6273332625627518,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_1,10,1.8148717135190964,0.542793907225132,1.4213751554489136,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_1,25,2.9520194232463837,1.068564619794488,2.3381419660523535,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_1,50,3.9655404090881348,1.594399278536439,3.126840165257454,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_2,1,0.35517436265945435,0.22014973402023316,0.35517436265945435,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_2,5,1.1039016544818878,0.3461771106719971,0.7342692613601685,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_2,10,1.989425003528595,0.5423178023099899,1.5073238611221313,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_2,25,3.2715208530426025,0.9769897312670947,2.858481577038765,50
adult,histdistill_greedy,Pure greedy selector,budget_25,seed_2,50,4.62093710899353,1.4525590597093105,3.9384555131196977,50
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_0,1,0.30362558364868164,0.09880218625068665,0.30362558364868164,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_0,5,1.294079840183258,0.36058158427476883,0.7508901059627534,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_0,10,1.8900409117341042,0.6372686064615846,1.363578492403032,100
adult,histdistill_greedy,Pure greedy selector,budget_50,seed_0,25,3.2580832839012146,1.2866118736565113,2.4586569055914915,100
