method,method_label,budget,checkpoint,rho_max,rho_mean,rho_p90,n_cells,budget_n
histdistill_greedy,Pure greedy selector,budget_25,1,0.381659601862805,0.21122054825853318,0.31883853278391494,78,25
histdistill_importance,ImportanceSample,budget_25,1,0.4096729463020053,0.23337023312757268,0.33843149768564706,78,25
histdistill_refined,HistDistill-Refined,budget_25,1,0.7038416676581479,0.5540055302720374,0.6386837125179741,78,25
random,Random,budget_25,1,0.8560584560036659,0.6890279038717301,0.7737126789039347,78,25
histdistill_importance,ImportanceSample,budget_25,5,0.8182022780275497,0.30318311782816476,0.5590813289306915,78,25
histdistill_greedy,Pure greedy selector,budget_25,5,0.8527982317102261,0.3501247345456161,0.6414905140528646,78,25
histdistill_refined,HistDistill-Refined,budget_25,5,0.9711594322982889,0.5494440418932265,0.7695985750181792,78,25
random,Random,budget_25,5,1.1673199622832142,0.6802604770702788,0.9424891959840003,78,25
histdistill_importance,ImportanceSample,budget_25,10,1.1582996994973376,0.3992630608438347,0.7587887928767417,78,25
histdistill_refined,HistDistill-Refined,budget_25,10,1.2026056753447614,0.5841985205901213,0.9078982263743782,78,25
histdistill_greedy,Pure greedy selector,budget_25,10,1.3733095560604944,0.5204474182714087,1.0145401398800553,78,25
random,Random,budget_25,10,1.4720814858014002,0.7156450690172063,1.1196688697601742,78,25
histdistill_refined,HistDistill-Refined,budget_25,25,1.6700594098462413,0.705989352227823,1.1858259200208034,78,25
histdistill_importance,ImportanceSample,budget_25,25,1.795985309765316,0.6213158487379312,1.1782784746416535,78,25
random,Random,budget_25,25,2.095230342581486,0.8690262160937373,1.5123902020355067,78,25
histdistill_greedy,Pure greedy selector,budget_25,25,2.395767617588624,0.8884258478884107,1.7753407123576228,78,25
histdistill_refined,HistDistill-Refined,budget_25,50,2.1705028096166177,0.8880211658930728,1.5663318826793098,78,25
histdistill_importance,ImportanceSample,budget_25,50,2.3545579985261726,0.8388899678444395,1.5775865865342966,78,25
random,Random,budget_25,50,2.7623635575843926,1.109121520115206,1.9752475923416806,78,25
histdistill_greedy,Pure greedy selector,budget_25,50,3.257911118822029,1.2317017373491457,2.391727911254678,78,25
histdistill_importance,ImportanceSample,budget_50,1,0.3481306619972038,0.17895132520558457,0.2774432950144192,78,50
histdistill_greedy,Pure greedy selector,budget_50,1,0.4847464144994051,0.28811153343656304,0.4145163322258622,78,50
histdistill_refined,HistDistill-Refined,budget_50,1,0.7231759264921913,0.5583976174653538,0.640450625106967,78,50
random,Random,budget_50,1,0.8564274672311373,0.6847305337061437,0.774169329182806,78,50
histdistill_importance,ImportanceSample,budget_50,5,0.7226160225542023,0.2453041324338181,0.471772618435371,78,50
histdistill_greedy,Pure greedy selector,budget_50,5,1.0132667844494183,0.4111417339299109,0.7564083812310576,78,50
histdistill_refined,HistDistill-Refined,budget_50,5,1.0203946839468792,0.5476107518214302,0.7651198857732547,78,50
random,Random,budget_50,5,1.2052337909714343,0.6660887223630089,0.9134686963686434,78,50
histdistill_importance,ImportanceSample,budget_50,10,1.0504314134566066,0.3245929404176049,0.6352902612147425,78,50
histdistill_refined,HistDistill-Refined,budget_50,10,1.2761678162198036,0.5699969433804299,0.86310837511018,78,50
random,Random,budget_50,10,1.5161668455992372,0.6849338421661061,1.0382496108497996,78,50
histdistill_greedy,Pure greedy selector,budget_50,10,1.5615324386252234,0.5720580240113523,1.1197284893598412,78,50
histdistill_importance,ImportanceSample,budget_50,25,1.6235948405347955,0.5045088672478739,0.9883020341276935,78,50
histdistill_refined,HistDistill-Refined,budget_50,25,1.695592992151013,0.6557143163650533,1.0956793319027969,78,50
random,Random,budget_50,25,2.094456204941544,0.7956450439470075,1.3511882991649402,78,50
histdistill_greedy,Pure greedy selector,budget_50,25,2.633267776443599,0.9247978950705394,1.867175379308323,78,50
histdistill_refined,HistDistill-Refined,budget_50,50,2.1689604917863528,0.8020224346677398,1.3768359983172749,78,50
histdistill_importance,ImportanceSample,budget_50,50,2.1940269558093486,0.6893108152907887,1.3245954285199661,78,50
random,Random,budget_50,50,2.6484884034651213,0.9843907891260361,1.7458130315173037,78,50
histdistill_greedy,Pure greedy selector,budget_50,50,3.579685895094791,1.2597775841776593,2.51940667622078,78,50
