method,size_group,budget_n,sld_inf_norm,root_agreement
gain_path_refined,small N,10,20.973406959796126,0.14814814814814814
gain_path_refined,small N,25,14.43022949173534,0.2222222222222222
gain_path_refined,small N,50,13.188682317139754,0.2222222222222222
gain_path_refined,small N,100,12.82169793349628,0.25925925925925924
gain_path_refined,small N,200,12.304313254536916,0.2962962962962963
gain_path_refined,medium N,10,27.14397403108719,0.0
gain_path_refined,medium N,25,15.189130708652353,0.0
gain_path_refined,medium N,50,11.401557357230873,0.037037037037037035
gain_path_refined,medium N,100,9.888075481591873,0.14814814814814814
gain_path_refined,medium N,200,9.36609689405171,0.07407407407407407
gain_path_refined,large N,10,63.38126450553639,0.125
gain_path_refined,large N,25,61.01593427017676,0.20833333333333334
gain_path_refined,large N,50,52.922624734073544,0.20833333333333334
gain_path_refined,large N,100,51.96714272910835,0.2916666666666667
gain_path_refined,large N,200,51.21572437359442,0.20833333333333334
herding,small N,10,26.79726299904209,0.1111111111111111
herding,small N,25,22.18755199854166,0.1111111111111111
herding,small N,50,18.81405531116209,0.1111111111111111
herding,small N,100,14.806109772429862,0.25925925925925924
herding,small N,200,13.539178907827303,0.25925925925925924
herding,medium N,10,39.35382627052844,0.0
herding,medium N,25,20.718205854245856,0.0
herding,medium N,50,19.033320140951975,0.0
herding,medium N,100,13.983448863596754,0.0
herding,medium N,200,10.367085816208155,0.07407407407407407
herding,large N,10,153.86737972332483,0.0
herding,large N,25,122.1306360902231,0.07692307692307693
herding,large N,50,122.58927720640413,0.07407407407407407
herding,large N,100,125.01474447852469,0.08333333333333333
herding,large N,200,111.14911895588882,0.3333333333333333
histdistill_density,small N,10,20.20815876653109,0.2222222222222222
histdistill_density,small N,25,12.559447585310018,0.2222222222222222
histdistill_density,small N,50,10.887441800823296,0.25925925925925924
histdistill_density,small N,100,10.091496908551335,0.25925925925925924
histdistill_density,small N,200,9.791196582730107,0.37037037037037035
histdistill_density,medium N,10,29.728012442317205,0.0
histdistill_density,medium N,25,14.169828745683418,0.0
histdistill_density,medium N,50,10.650193900630017,0.041666666666666664
histdistill_density,medium N,100,8.84569741936214,0.041666666666666664
histdistill_density,medium N,200,8.651457942405285,0.041666666666666664
histdistill_density,large N,10,54.77346108290396,0.2222222222222222
histdistill_density,large N,25,54.67900807172702,0.18518518518518517
histdistill_density,large N,50,43.095903244338416,0.18518518518518517
histdistill_density,large N,100,43.38219474803717,0.2222222222222222
histdistill_density,large N,200,42.74674997960395,0.18518518518518517
histdistill_refined,small N,10,19.102936479118302,0.2222222222222222
histdistill_refined,small N,25,13.293471970754895,0.25
histdistill_refined,small N,50,11.48421026067871,0.2916666666666667
histdistill_refined,small N,100,10.801647446925397,0.2692307692307692
histdistill_refined,small N,200,11.867191704483224,0.4166666666666667
histdistill_refined,medium N,10,28.068706941092568,0.0
histdistill_refined,medium N,25,12.5789713210022,0.0
histdistill_refined,medium N,50,8.448203171657566,0.037037037037037035
histdistill_refined,medium N,100,8.413915983091952,0.04
histdistill_refined,medium N,200,7.611536406639244,0.07407407407407407
histdistill_refined,large N,10,54.08179053652082,0.2222222222222222
histdistill_refined,large N,25,52.96577972131685,0.18518518518518517
histdistill_refined,large N,50,45.525721402971946,0.18518518518518517
histdistill_refined,large N,100,43.37786762044251,0.2222222222222222
histdistill_refined,large N,200,40.62777325270982,0.25925925925925924
random,small N,10,29.078786548660783,0.16666666666666666
random,small N,25,20.14089424957231,0.20833333333333334
random,small N,50,16.61450953588052,0.2916666666666667
random,small N,100,13.919093566223694,0.3333333333333333
random,small N,200,13.782511212777829,0.3333333333333333
random,medium N,10,80.84055792681082,0.0
random,medium N,25,37.74212836926584,0.0
random,medium N,50,20.86243587513521,0.0
random,medium N,100,15.853250103915498,0.0
random,medium N,200,11.627987996857392,0.07407407407407407
random,large N,10,97.05167363123061,0.037037037037037035
random,large N,25,70.64094241441842,0.1111111111111111
random,large N,50,59.422630255701264,0.07407407407407407
random,large N,100,50.89934538777985,0.14814814814814814
random,large N,200,48.640871145838254,0.14814814814814814
