method,method_label,comparator,comparator_label,n_pairs,mean_diff,median_diff,wins,ties,losses,wilcoxon_p
gain_path_refined,Legacy gain-path refined,herding,Herding,3250,0.012394189323646282,0.007719077696694554,2014,265,971,5.078525761957459e-70
gain_path_refined,Legacy gain-path refined,random,Random,3250,0.018631519995670264,0.009604944918605252,2168,267,815,7.518119377948329e-128
herding,Herding,gain_path_refined,Legacy gain-path refined,3250,-0.012394189323646282,-0.007719077696694554,971,265,2014,5.078525761957459e-70
herding,Herding,random,Random,3250,0.006237330672023985,0.0,1535,262,1453,2.3139811937124735e-05
histdistill_density,HistDistill-Density,gain_path_refined,Legacy gain-path refined,3250,-0.000563066331127457,0.0,1454,276,1520,0.24845093083548908
histdistill_density,HistDistill-Density,herding,Herding,3250,0.011831122992518824,0.006876089215715309,1973,264,1013,1.7059713350820218e-65
histdistill_density,HistDistill-Density,random,Random,3250,0.01806845366454281,0.009369074101126307,2150,266,834,6.691051659023686e-122
histdistill_refined,HistDistill-Refined,gain_path_refined,Legacy gain-path refined,3250,-0.000559989815973458,0.0,1410,282,1558,0.03906701263279412
histdistill_refined,HistDistill-Refined,herding,Herding,3250,0.011834199507672824,0.006870861994851263,1969,263,1018,3.398253666762806e-63
histdistill_refined,HistDistill-Refined,random,Random,3250,0.01807153017969681,0.009614518460854038,2162,261,827,1.8134264556932626e-123
random,Random,gain_path_refined,Legacy gain-path refined,3250,-0.018631519995670264,-0.009604944918605252,815,267,2168,7.518119377948329e-128
random,Random,herding,Herding,3250,-0.006237330672023985,0.0,1453,262,1535,2.3139811937124735e-05
