dataset,method,method_label,density_beta,budget,seed,mmd2,rows,mlp_auroc,xgboost_auroc,sld_inf_norm,sld_rank_correlation_direct
adult,histdistill_refined,beta=0.00,0.0,budget_50,seed_0,0.006643988158727909,100,0.5857963765394636,0.879477085265027,2.2892597773596,0.6009799016289438
adult,histdistill_refined,beta=0.00,0.0,budget_50,seed_2,0.007409677044584062,100,0.5332089175023683,0.8748898304996424,1.8902508471656867,0.615636043236714
adult,histdistill_refined,beta=0.00,0.0,budget_50,seed_1,0.004771476491743476,100,0.5,0.8657288696027365,2.431961338186384,0.6394588640297103
adult,histdistill_refined,beta=0.00,0.0,budget_25,seed_0,0.00895501356503925,50,0.5590918454941587,0.8356879006183388,2.419007098754076,0.5615058754094764
adult,histdistill_refined,beta=0.00,0.0,budget_25,seed_2,0.006861108227062651,50,0.6068601596862832,0.8397524907773755,3.072977201387796,0.472807837729548
adult,histdistill_refined,beta=0.00,0.0,budget_25,seed_1,0.009315089998735981,50,0.5282009602854801,0.8235385974523705,3.536486362804212,0.5250015974750339
adult,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_0,0.007496456968087761,100,0.5168397359892362,0.8707383901235322,2.666895653739493,0.5887209253829607
adult,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_2,0.006187652012230149,100,0.5641388853087299,0.8793773812158266,1.967851135242388,0.6024549472817146
adult,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_1,0.003684171092007027,100,0.5862229848057281,0.8640385906780536,2.56699806776535,0.6078988697676639
adult,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_0,0.009265841332626312,50,0.5864670339157045,0.8387505866732163,2.2098996338864434,0.5812589751116402
adult,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_2,0.006653790052799868,50,0.5001634521085322,0.8370655187615577,3.07952176922479,0.4679525527214789
adult,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_1,0.009282963160249236,50,0.5,0.8246448955174518,3.433202128903261,0.5206381375602313
adult,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_0,0.007080279679773427,100,0.5856888559707266,0.8706173209209318,2.614042245226188,0.593730849784381
adult,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_2,0.006204126932034759,100,0.5705416570118176,0.8795368382143736,1.9555378677329247,0.6017878564690745
adult,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_1,0.0036298731082393676,100,0.5606271836315828,0.8659614544840593,2.531789463726506,0.609336855511823
adult,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_0,0.00926586012427777,50,0.5864670339157045,0.8387505866732163,2.2098999019168617,0.581075023853503
adult,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_2,0.006653790073327781,50,0.5001634521085322,0.8370655187615577,3.079521768205154,0.4678851307354105
adult,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_1,0.009282962421280239,50,0.5,0.8246448955174518,3.433202255366937,0.5199074771977332
adult,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_0,0.007080279679773427,100,0.5856888559707266,0.8706173209209318,2.614042245226188,0.593730849784381
adult,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_2,0.006204126932034759,100,0.5705416570118176,0.8795368382143736,1.9555378677329247,0.6017878564690745
adult,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_1,0.0036298731082393676,100,0.5606271836315828,0.8659614544840593,2.531789463726506,0.609336855511823
adult,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_0,0.00926586012427777,50,0.5864670339157045,0.8387505866732163,2.2098999019168617,0.581075023853503
adult,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_2,0.006653790073327781,50,0.5001634521085322,0.8370655187615577,3.079521768205154,0.4678851307354105
adult,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_1,0.009282962421280239,50,0.5,0.8246448955174518,3.433202255366937,0.5199074771977332
adult,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_0,0.007797851276595935,100,0.5,0.8689847105403855,2.6466343422869563,0.5901972042257452
adult,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_2,0.006249103387044652,100,0.5,0.8792696869466555,1.9217964152014724,0.6011281534966766
adult,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_1,0.0036373196463381774,100,0.5681324319902006,0.8635994759805303,2.552403754195196,0.6095840692676205
adult,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_0,0.009265866646799625,50,0.5864670339157045,0.8387505866732163,2.209900013949483,0.581245811927806
adult,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_2,0.006653789993125936,50,0.5001634521085322,0.8370655187615577,3.0795218198195538,0.4679860524747343
adult,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_1,0.009282962857024901,50,0.5,0.8246448955174518,3.4332022660071497,0.5216057309686627
agaricus_lepiota,histdistill_refined,beta=0.00,0.0,budget_50,seed_0,0.0018140370663910499,100,0.9805424973355192,0.9918872977485516,20.82250871852853,0.2832110848127679
agaricus_lepiota,histdistill_refined,beta=0.00,0.0,budget_50,seed_2,0.002384901039117593,100,0.9742987056511144,0.9945668746924148,15.83185588700988,0.3048304447138664
agaricus_lepiota,histdistill_refined,beta=0.00,0.0,budget_50,seed_1,0.001736007179269028,100,0.9891171435558817,0.9948235102307,17.545682959747396,0.3454392002340092
agaricus_lepiota,histdistill_refined,beta=0.00,0.0,budget_25,seed_0,0.004657543040789913,50,0.9603618863013988,0.9859650552974104,20.14447364890778,0.2726291790140994
agaricus_lepiota,histdistill_refined,beta=0.00,0.0,budget_25,seed_2,0.0032875289280155373,50,0.9565984016134826,0.9843618379935328,17.48677192479034,0.2502554657362567
agaricus_lepiota,histdistill_refined,beta=0.00,0.0,budget_25,seed_1,0.004314108760847479,50,0.9634852917644148,0.9858201316993198,19.19800269316113,0.3119550630769259
agaricus_lepiota,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_0,0.0030824482593919678,100,0.980453429707526,0.9899625312114104,18.166822242614145,0.2934542413786549
agaricus_lepiota,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_2,0.002201802722979207,100,0.9753418536332044,0.9942249455781696,20.62191864719736,0.2958466103038961
agaricus_lepiota,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_1,0.0019764459445141824,100,0.98873068062764,0.9943472248640586,20.30491421851328,0.3277045730929896
agaricus_lepiota,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_0,0.0034396456673079223,50,0.9603845306136004,0.9870353764541422,21.134266260515947,0.2578040133557291
agaricus_lepiota,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_2,0.005094256640244987,50,0.9589669966697764,0.9854412168751452,21.887944029555477,0.2634651369772375
agaricus_lepiota,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_1,0.005233120792027646,50,0.9657331171556328,0.9876045035008107,21.55067137943888,0.3135245052462521
agaricus_lepiota,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_0,0.002268219258891424,100,0.97982391782832,0.9912245742114496,20.285302074431616,0.2890399286681179
agaricus_lepiota,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_2,0.0019301822683649439,100,0.9767382528856402,0.9949646597767572,20.4653247649228,0.2940173227543546
agaricus_lepiota,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_1,0.0018636240060094789,100,0.988839373326208,0.9943072199125024,18.885939747922222,0.329089736032301
agaricus_lepiota,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_0,0.0033733577656402947,50,0.962395345537108,0.9861748925904792,19.716200106364536,0.2590740440216851
agaricus_lepiota,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_2,0.004901264952175577,50,0.9593126998360552,0.9872089828476882,21.432089005737144,0.2621096150253948
agaricus_lepiota,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_1,0.004384890031333799,50,0.9644197470479366,0.9876399795899268,21.58112889111584,0.3095212904375362
agaricus_lepiota,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_0,0.002268219258891424,100,0.97982391782832,0.9912245742114496,20.285302074431616,0.2890399286681179
agaricus_lepiota,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_2,0.0019301822683649439,100,0.9767382528856402,0.9949646597767572,20.4653247649228,0.2940173227543546
agaricus_lepiota,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_1,0.0018636240060094789,100,0.988839373326208,0.9943072199125024,18.885939747922222,0.329089736032301
agaricus_lepiota,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_0,0.0033733577656402947,50,0.962395345537108,0.9861748925904792,19.716200106364536,0.2590740440216851
agaricus_lepiota,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_2,0.004901264952175577,50,0.9593126998360552,0.9872089828476882,21.432089005737144,0.2621096150253948
agaricus_lepiota,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_1,0.004384890031333799,50,0.9644197470479366,0.9876399795899268,21.58112889111584,0.3095212904375362
agaricus_lepiota,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_0,0.0028524294070587652,100,0.9800065819467466,0.9911219199961354,18.26125410768684,0.2944541685672296
agaricus_lepiota,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_2,0.002256385381086967,100,0.9769058207959324,0.9942279648197964,20.658098895654547,0.2984076128732542
agaricus_lepiota,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_1,0.0019939874226073684,100,0.9891820572508596,0.994294388135588,20.026970156605948,0.3196660865271497
agaricus_lepiota,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_0,0.003455616301500597,50,0.9613446494509508,0.9875758207053552,20.64946439390309,0.2579994026889531
agaricus_lepiota,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_2,0.0051496173254421684,50,0.9591345645800688,0.986555317035467,21.889197608399137,0.2663886832183239
agaricus_lepiota,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_1,0.005376937621890843,50,0.9656923573936698,0.9868527123357156,21.68884703653598,0.3134335230915085
australian,histdistill_refined,beta=0.00,0.0,budget_50,seed_0,0.0024982941806710457,100,0.7551628699169682,0.9352778369171812,0.1854086982490667,0.9007724540507532
australian,histdistill_refined,beta=0.00,0.0,budget_50,seed_2,0.0016941284781123445,100,0.7055567383436236,0.9269746646795828,0.1366004436651637,0.9413361070717696
australian,histdistill_refined,beta=0.00,0.0,budget_50,seed_1,0.0018734544529522834,100,0.7372791143282946,0.9382584628486268,0.3726118940213612,0.7561066966685213
australian,histdistill_refined,beta=0.00,0.0,budget_25,seed_0,0.005219864955656073,50,0.7218437300404513,0.9149457100276772,0.4210745108265675,0.744234561465831
australian,histdistill_refined,beta=0.00,0.0,budget_25,seed_2,0.004111692538085854,50,0.6835213966361506,0.9196295507770916,0.2090129795895207,0.8271977130110485
australian,histdistill_refined,beta=0.00,0.0,budget_25,seed_1,0.004950910645624473,50,0.715776027251437,0.9184585905897382,0.5137036856753203,0.6930805143796972
australian,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_0,0.0022686461943428604,100,0.7604854162231212,0.9322972109857356,0.1904533754981369,0.9005629389708836
australian,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_2,0.0015982703351316019,100,0.695124547583564,0.929103683202044,0.1487261467750029,0.9390031372908438
australian,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_1,0.0018266098917055773,100,0.7364275069193102,0.937193953587396,0.3717037445861802,0.7628811179197642
australian,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_0,0.004639783659211583,50,0.7313178624654035,0.908984458164786,0.4000022942179205,0.7829128349759529
australian,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_2,0.003984750719347452,50,0.682137534596551,0.9243133915265064,0.1881305908831882,0.8390598855378606
australian,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_1,0.0048044781449854135,50,0.7125824994677452,0.9227166276346606,0.5076472756383898,0.6941568707243979
australian,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_0,0.002291068822861231,100,0.7571854375133064,0.93314881839472,0.1931055259795638,0.9009234765280436
australian,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_2,0.0015953230042635713,100,0.6925697253566107,0.9291036832020438,0.1453464160457715,0.9418640843337218
australian,histdistill_density_mid,beta=0.35,0.35,budget_50,seed_1,0.001826610050806643,100,0.735788801362572,0.937193953587396,0.3717037456768899,0.7628811179197642
australian,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_0,0.00463978355528849,50,0.7334468809878647,0.908984458164786,0.4000022973491118,0.7829128349759529
australian,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_2,0.00398475068869486,50,0.6851181605279966,0.9243133915265064,0.188130590167615,0.8390598855378606
australian,histdistill_density_mid,beta=0.35,0.35,budget_25,seed_1,0.0048044781449854135,50,0.7125824994677452,0.9227166276346606,0.5076472756383898,0.6941568707243979
australian,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_0,0.002291068822861231,100,0.7571854375133064,0.93314881839472,0.1931055259795638,0.9009234765280436
australian,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_2,0.0015953230042635713,100,0.6925697253566107,0.9291036832020438,0.1453464160457715,0.9418640843337218
