method,root_agreement,gain_rank_correlation,root_sld_inf_norm,sld_inf_norm,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,n_cells,method_label
gain_path_refined,0.07051282051282051,0.3729415194368166,0.60586685667198,26.911439825131293,0.14743589743589744,0.3302267781858546,0.028448609420269336,156,Legacy gain-path refined
herding,0.03205128205128205,0.2862672307301029,0.6366294438118513,54.917341346280175,0.0641025641025641,0.27850985605627726,0.012315619603068996,156,Herding
histdistill_density,0.08974358974358974,0.37200493353877806,0.6079200070845457,24.79916129789031,0.15384615384615385,0.32167475261085204,0.026476222832498137,156,HistDistill-Density
histdistill_greedy,0.07692307692307693,0.20475136334604582,0.6282944667244112,76.85955116222915,0.038461538461538464,0.1331464079168678,0.0,156,Pure greedy selector
histdistill_importance,0.0641025641025641,0.25445870921963154,0.6308082214163346,40.531515927475176,0.10256410256410256,0.22866814973183816,0.0009201324990798673,156,ImportanceSample
histdistill_linear_coverage,0.01282051282051282,0.06206010470399946,1.1726581258343403,167.6732260231351,0.019230769230769232,0.03706577469726635,0.0,156,Linear coverage
histdistill_no_refine,0.07692307692307693,0.20563963004613042,0.6286855961241794,76.92693697204544,0.038461538461538464,0.13359063304837393,0.0,156,No refinement
histdistill_no_weight_fit,0.07051282051282051,0.13315216714582187,0.733001841213968,146.19213182404906,0.019230769230769232,0.0704415450511112,0.0,156,No weight fit
histdistill_refined,0.07692307692307693,0.3603669074502663,0.606353307997365,24.497875738538575,0.15384615384615385,0.33915956713192597,0.025983126185555337,156,HistDistill-Refined
histdistill_root_only,0.057692307692307696,0.03847066162890322,1.170728095956183,167.4566208423452,0.05128205128205128,0.033902949726408615,0.0,156,Root-only probes
random,0.11538461538461539,0.31041955896944673,0.627608269115527,38.308778125275175,0.10897435897435898,0.2860764499732403,0.009128186253692326,156,Random
