dataset,method,budget,seed,n_trials,top3_jaccard,top1_match,score_spearman,full_hpo_seconds,distilled_hpo_seconds,hpo_speedup,full_best_trial,distilled_best_trial,full_best_val_auc,distilled_best_val_auc,full_best_test_auc,distilled_selected_test_auc,test_auc_gap,full_best_test_seconds,distilled_selected_test_seconds
adult,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.0496129612961296,11.252114800001436,3.4972145999854547,3.21745048189157,68,3,0.9226132701250696,0.8829629984489537,0.9270107301706189,0.9140643157123507,0.012946414458268163,0.10737979999976233,0.09174060000077588
australian,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.09974972543434371,4.167373900047096,3.4785448001057375,1.1980222016747981,36,39,0.942410048967426,0.940387481371088,0.9461358313817331,0.942516499893549,0.003619331488184052,0.033847300001070835,0.0514234000002034
bank_marketing,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.1081068106810681,11.81193879996863,3.4969711000303505,3.377762773008365,66,50,0.9290527821700173,0.8840069247603295,0.9179022383631602,0.9001218853623014,0.017780353000858784,0.21226809999643592,0.15099520000512712
breast_w,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.37007692744109993,3.9584540000068955,3.6604561999920406,1.0814100166027127,91,6,0.9952445652173914,0.9954710144927537,0.987998188405797,0.9900362318840581,-0.0020380434782610868,0.038027900001907256,0.037384700000984594
credit_g,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.31950432814052215,5.031519799951639,4.135325899995223,1.2167166316825115,80,18,0.7805952380952381,0.7705357142857143,0.8345238095238096,0.8451190476190475,-0.010595238095237991,0.04397590000007767,0.06217300000571413
diabetes,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.3004590873618311,5.443384600002901,4.692600499976834,1.1599931850217748,30,98,0.8412962962962963,0.8445370370370371,0.8579629629629629,0.8683333333333334,-0.010370370370370474,0.03880479999497766,0.04665779999777442
electricity,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.1155115511551155,11.588204799940286,3.5429393000304117,3.270788410018996,26,7,0.9425292932251066,0.8723883642179786,0.9353973413639896,0.9246672865099105,0.010730054854079074,0.12827240000478923,0.20796549999795388
kr_vs_kp,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.1361300213928161,5.05539859997225,3.277574400039157,1.5424206998662955,26,3,0.9999165603219791,0.9863846078335133,0.9999315095299597,0.997319087315565,0.0026124222143947273,0.04587360000004992,0.04130730000179028
pc1,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.31572062102679277,4.861114900042594,3.629476500005694,1.339343263425171,80,6,0.9165655339805826,0.8929004854368932,0.9183574879227053,0.9264090177133655,-0.00805152979066015,0.050902499999210704,0.03828800000337651
phoneme,histdistill_refined,budget_50,seed_0,100,0.5,1.0,0.2093795660962502,6.8263644999678945,4.044070700008888,1.6879933627156647,68,68,0.9503278444844502,0.8850500437676515,0.9442994698333527,0.9461451434422845,-0.0018456736089318415,0.07016779999685241,0.06289190000097733
qsar_biodeg,histdistill_refined,budget_50,seed_0,100,0.0,0.0,-0.4075269821488832,6.339393699985521,3.9580752000038046,1.6016354868597311,48,6,0.9054325955734407,0.9027665995975855,0.9076961770623743,0.9088028169014085,-0.0011066398390342513,0.09900809999817284,0.04455530000268482
spambase,histdistill_refined,budget_50,seed_0,100,0.0,0.0,0.12484285881501977,11.48540100001992,3.716653099989344,3.0902537016577765,37,50,0.988861165567635,0.9581130319412265,0.989790376887151,0.9884894892226269,0.0013008876645240752,0.12367719999747351,0.10567580000497401
