dataset,method,budget,seed,trial,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,full_val_auc,distilled_val_auc,full_seconds,distilled_seconds
electricity,histdistill_refined,budget_50,seed_0,0,136,2,0.08842159822451831,1.8264896829640616,0.7796751844878168,0.7742210670083779,2.762912089159218,1.8102876733543478,0.9019160784811657,0.8561277187686555,0.15004939999926137,0.042254400003002957
electricity,histdistill_refined,budget_50,seed_0,1,122,2,0.09069714850968837,1.14330559127343,0.9884367700568366,0.9719475561880473,1.2603917451779407,1.5054641941581732,0.901776690549063,0.857031372396428,0.13111509999725968,0.040655500000866596
electricity,histdistill_refined,budget_50,seed_0,2,61,4,0.12764589487028055,1.733300965314862,0.7685843586598167,0.7472647254250557,0.1577012797521454,1.0516336866904967,0.9191684389882766,0.8663460445570357,0.12034090000088327,0.03300219999800902
electricity,histdistill_refined,budget_50,seed_0,3,59,3,0.09257768265583169,0.5181213467813574,0.8066956655385523,0.777813280396337,0.13478754362365836,1.1897317420121056,0.9046983332838415,0.8702623462636867,0.07788219999929424,0.030532500000845175
electricity,histdistill_refined,budget_50,seed_0,4,82,3,0.04519937956831707,0.8935773266727615,0.9561184200172628,0.9291118104325014,1.0870034597825033,0.6902011573345843,0.8994123435501659,0.8653804407372174,0.09509120000438998,0.038602099994022865
electricity,histdistill_refined,budget_50,seed_0,5,96,5,0.07602242863473227,1.6598477988346996,0.9651573596514778,0.7617696313656519,1.710118500901034,0.6276406545247402,0.9300610490983431,0.8721431233750875,0.15016940000350587,0.04062530000373954
electricity,histdistill_refined,budget_50,seed_0,6,57,3,0.09972261952292995,0.9405443741081672,0.8225886130447083,0.8530099585571946,0.13041942998706257,1.4624813167168893,0.9044148215578475,0.862340657450253,0.09606299999722978,0.03757889999542385
electricity,histdistill_refined,budget_50,seed_0,7,148,4,0.08526581543928381,1.4030605465315051,0.7970676409722218,0.8231903872709697,0.5430530830488374,1.3512784456992462,0.9312530783101626,0.8723883642179786,0.18578590000106487,0.041190500000084285
electricity,histdistill_refined,budget_50,seed_0,8,130,4,0.056862029748699194,0.5025048460191565,0.9279108712714265,0.8317844774005174,0.2622488685067286,0.9999100448223879,0.9220592346232966,0.8679783809189313,0.16020550000393996,0.04064999999536667
electricity,histdistill_refined,budget_50,seed_0,9,80,2,0.1491324695962358,7.775549693366976,0.670557326130454,0.7753809265069835,2.0329183168739418,0.6284762624357654,0.9025819150493912,0.7846333572601016,0.09670129999722121,0.03958039999997709
electricity,histdistill_refined,budget_50,seed_0,10,88,4,0.05689575066375989,4.277739501894222,0.9854625403374119,0.9609383992108369,1.1683858026801275,0.3205486253361396,0.9137886279926807,0.8487934048132739,0.12831729999743402,0.04497040000569541
electricity,histdistill_refined,budget_50,seed_0,11,60,5,0.026193941770822664,1.1414263914091487,0.7485647225852086,0.8851390936029466,0.5931665839728875,0.18577709751489446,0.9043382797916426,0.8664040268648799,0.11009339999873191,0.047302599996328354
electricity,histdistill_refined,budget_50,seed_0,12,86,2,0.0824213144767601,1.9533267876003055,0.8604837424691404,0.8474083523529371,4.588267383391463,1.8367937157411935,0.8950225836609185,0.8367187492000233,0.10150019999855431,0.03710039999714354
electricity,histdistill_refined,budget_50,seed_0,13,67,2,0.1605649859505072,4.441067519170738,0.8736591882780382,0.8808625436218323,0.7990100994191748,1.8345265992856814,0.9027467742381408,0.8328262547985801,0.08741610000288347,0.03361189999850467
electricity,histdistill_refined,budget_50,seed_0,14,149,2,0.08161182402983427,4.7798728701530155,0.6971665080673956,0.8654278960256034,0.38624539752013143,1.5320726829325657,0.9027707095396129,0.8195874731591832,0.14340860000083921,0.035507100001268554
electricity,histdistill_refined,budget_50,seed_0,15,83,2,0.08282886243508174,5.382643063975337,0.8699217518270816,0.7624681934087323,1.3945150181611594,0.6763056854720215,0.893386151418557,0.8246380777623386,0.08892950000154087,0.03267309999500867
electricity,histdistill_refined,budget_50,seed_0,16,106,4,0.032208747351948175,1.0867099875047812,0.6614514323689205,0.6793682861369418,0.8351198549464016,0.46339644278461445,0.9055429806336532,0.8707192929281551,0.13162089999968885,0.040271199999551754
electricity,histdistill_refined,budget_50,seed_0,17,144,4,0.09192008198431115,5.75471594207667,0.7742713551059885,0.7615376382535608,0.2456569962872494,0.23569928904879056,0.9302681470543963,0.8070347514978123,0.1582159000026877,0.03837360000034096
electricity,histdistill_refined,budget_50,seed_0,18,95,4,0.12608299517514157,1.8557719633355043,0.8454040889319916,0.9854680397934664,1.7356529882330893,1.4900697732953037,0.9288174373919071,0.8662165123373039,0.11928790000092704,0.03401580000354443
electricity,histdistill_refined,budget_50,seed_0,19,97,5,0.03827756317756753,3.03282916082489,0.9010880768642378,0.9447797754032341,0.28622963451914585,1.3775894114260954,0.9184729072866737,0.8521430670567309,0.1416899999967427,0.035630499995022546
electricity,histdistill_refined,budget_50,seed_0,20,111,4,0.05609169007381444,0.6628448042545665,0.7735669518240992,0.9872196618421676,0.15004232353480146,0.22727598717635122,0.9192924673686322,0.8669677224139891,0.13108009999996284,0.04647059999842895
electricity,histdistill_refined,budget_50,seed_0,21,116,3,0.030515052625019256,1.0488408106261007,0.9700596427360236,0.7615737285059528,0.9780043601698453,0.4774895591099031,0.8961143917975898,0.8663734357576509,0.11358380000456236,0.042429499997524545
electricity,histdistill_refined,budget_50,seed_0,22,118,4,0.032165031288357876,4.466787223359439,0.7980311156700575,0.714281135482001,2.345540973079443,1.1085650780544656,0.9065416074897271,0.8309787567159639,0.14844169999560108,0.03696430000127293
electricity,histdistill_refined,budget_50,seed_0,23,77,3,0.04020097014844,4.363432781818305,0.7778497698462112,0.6650817417221085,6.710574506675065,0.0609296162497901,0.8886886885093145,0.8289239046847657,0.09363970000413246,0.03135479999764357
electricity,histdistill_refined,budget_50,seed_0,24,107,2,0.0627041418699791,0.8897178280189117,0.7672972631551334,0.8486478346766693,6.4590491831002605,1.8726244485156895,0.8925494398371479,0.8325930456045572,0.10385139999561943,0.03201490000355989
electricity,histdistill_refined,budget_50,seed_0,25,106,2,0.1347452721295592,0.796250688820678,0.9340015053761317,0.7537215262468697,1.9105704458251394,1.4375864100550535,0.9050329155193935,0.8601523053151217,0.09913880000385689,0.0331101000047056
electricity,histdistill_refined,budget_50,seed_0,26,72,5,0.17290401703191316,1.073203311590882,0.8699079605360369,0.908741278472962,0.07490013810772103,1.3259226755376978,0.9425292932251066,0.8601807204858534,0.10156390000338433,0.033331999999063555
