dataset,method,budget,seed,trial,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,full_val_auc,distilled_val_auc,full_seconds,distilled_seconds
kr_vs_kp,histdistill_refined,budget_50,seed_0,0,136,2,0.08842159822451831,1.8264896829640616,0.7796751844878168,0.7742210670083779,2.762912089159218,1.8102876733543478,0.9951997644056151,0.9807892411897517,0.06829559999459889,0.043975499997031875
kr_vs_kp,histdistill_refined,budget_50,seed_0,1,122,2,0.09069714850968837,1.14330559127343,0.9884367700568366,0.9719475561880473,1.2603917451779407,1.5054641941581732,0.9946549523903014,0.9822617060960047,0.06473909999476746,0.04509720000351081
kr_vs_kp,histdistill_refined,budget_50,seed_0,2,61,4,0.12764589487028055,1.733300965314862,0.7685843586598167,0.7472647254250557,0.1577012797521454,1.0516336866904967,0.9990330813782272,0.979802689702562,0.050209900000481866,0.03453720000106841
kr_vs_kp,histdistill_refined,budget_50,seed_0,3,59,3,0.09257768265583169,0.5181213467813574,0.8066956655385523,0.777813280396337,0.13478754362365836,1.1897317420121056,0.9961814076764504,0.9863846078335133,0.04774399999587331,0.03413860000000568
kr_vs_kp,histdistill_refined,budget_50,seed_0,4,82,3,0.04519937956831707,0.8935773266727615,0.9561184200172628,0.9291118104325014,1.0870034597825033,0.6902011573345843,0.9925542357907136,0.9854176892117406,0.05503850000241073,0.03421280000475235
kr_vs_kp,histdistill_refined,budget_50,seed_0,5,96,5,0.07602242863473227,1.6598477988346996,0.9651573596514778,0.7617696313656519,1.710118500901034,0.6276406545247402,0.9995533523117699,0.9842740748012173,0.05644590000156313,0.034783600000082515
kr_vs_kp,histdistill_refined,budget_50,seed_0,6,57,3,0.09972261952292995,0.9405443741081672,0.8225886130447083,0.8530099585571946,0.13041942998706257,1.4624813167168893,0.9964120938450968,0.98351330126632,0.04563680000137538,0.03609889999643201
kr_vs_kp,histdistill_refined,budget_50,seed_0,7,148,4,0.08526581543928381,1.4030605465315051,0.7970676409722218,0.8231903872709697,0.5430530830488374,1.3512784456992462,0.9995926180426034,0.9835231176990281,0.06462050000118325,0.04174380000040401
kr_vs_kp,histdistill_refined,budget_50,seed_0,8,130,4,0.056862029748699194,0.5025048460191565,0.9279108712714265,0.8317844774005174,0.2622488685067286,0.9999100448223879,0.9989643663492687,0.9839844900363208,0.06767229999968549,0.03972770000109449
kr_vs_kp,histdistill_refined,budget_50,seed_0,9,80,2,0.1491324695962358,7.775549693366976,0.670557326130454,0.7753809265069835,2.0329183168739418,0.6284762624357654,0.9938156473937371,0.6631000294492981,0.045042099998681806,0.03123570000025211
kr_vs_kp,histdistill_refined,budget_50,seed_0,10,88,4,0.05689575066375989,4.277739501894222,0.9854625403374119,0.9609383992108369,1.1683858026801275,0.3205486253361396,0.9961617748110336,0.9080200255227251,0.05515929999819491,0.03899219999584602
kr_vs_kp,histdistill_refined,budget_50,seed_0,11,60,5,0.026193941770822664,1.1414263914091487,0.7485647225852086,0.8851390936029466,0.5931665839728875,0.18577709751489446,0.9953519191125946,0.9792431530381859,0.051591499999631196,0.03371799999877112
kr_vs_kp,histdistill_refined,budget_50,seed_0,12,86,2,0.0824213144767601,1.9533267876003055,0.8604837424691404,0.8474083523529371,4.588267383391463,1.8367937157411935,0.9919358005300873,0.97081083734171,0.043631899992760736,0.028312299997196533
kr_vs_kp,histdistill_refined,budget_50,seed_0,13,67,2,0.1605649859505072,4.441067519170738,0.8736591882780382,0.8808625436218323,0.7990100994191748,1.8345265992856814,0.9947089427701973,0.8573868656130363,0.03845580000051996,0.026030599998193793
kr_vs_kp,histdistill_refined,budget_50,seed_0,14,149,2,0.08161182402983427,4.7798728701530155,0.6971665080673956,0.8654278960256034,0.38624539752013143,1.5320726829325657,0.9953617355453028,0.838598213409247,0.05695240000204649,0.03355269999883603
kr_vs_kp,histdistill_refined,budget_50,seed_0,15,83,2,0.08282886243508174,5.382643063975337,0.8699217518270816,0.7624681934087323,1.3945150181611594,0.6763056854720215,0.9922401099440463,0.8517424168057326,0.03975509999872884,0.0294209999992745
kr_vs_kp,histdistill_refined,budget_50,seed_0,16,106,4,0.032208747351948175,1.0867099875047812,0.6614514323689205,0.6793682861369418,0.8351198549464016,0.46339644278461445,0.9953224698144695,0.9832973397467359,0.0517279999985476,0.03485530000034487
kr_vs_kp,histdistill_refined,budget_50,seed_0,17,144,4,0.09192008198431115,5.75471594207667,0.7742713551059885,0.7615376382535608,0.2456569962872494,0.23569928904879056,0.9975409836065574,0.7856876411112201,0.06305410000641132,0.035088100004941225
kr_vs_kp,histdistill_refined,budget_50,seed_0,18,95,4,0.12608299517514157,1.8557719633355043,0.8454040889319916,0.9854680397934664,1.7356529882330893,1.4900697732953037,0.9990919799744773,0.9813438696377736,0.048881999995501246,0.03214260000095237
kr_vs_kp,histdistill_refined,budget_50,seed_0,19,97,5,0.03827756317756753,3.03282916082489,0.9010880768642378,0.9447797754032341,0.28622963451914585,1.3775894114260954,0.9969323647786394,0.9782860508491213,0.05330659999890486,0.03251960000488907
kr_vs_kp,histdistill_refined,budget_50,seed_0,20,111,4,0.05609169007381444,0.6628448042545665,0.7735669518240992,0.9872196618421676,0.15004232353480146,0.22727598717635122,0.9986895062334348,0.9818346912731912,0.055138100004114676,0.037709099997300655
kr_vs_kp,histdistill_refined,budget_50,seed_0,21,116,3,0.030515052625019256,1.0488408106261007,0.9700596427360236,0.7615737285059528,0.9780043601698453,0.4774895591099031,0.9909639736919604,0.9851182880141357,0.04798220000520814,0.0348119999980554
kr_vs_kp,histdistill_refined,budget_50,seed_0,22,118,4,0.032165031288357876,4.466787223359439,0.7980311156700575,0.714281135482001,2.345540973079443,1.1085650780544656,0.9937714734465495,0.8427309315794641,0.054240800003753975,0.030992399995739106
