dataset,method,budget,seed,trial,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,full_val_auc,distilled_val_auc,full_seconds,distilled_seconds
pc1,histdistill_refined,budget_50,seed_0,0,136,2,0.08842159822451831,1.8264896829640616,0.7796751844878168,0.7742210670083779,2.762912089159218,1.8102876733543478,0.8913834951456311,0.8618021844660194,0.054049900005338714,0.04675660000066273
pc1,histdistill_refined,budget_50,seed_0,1,122,2,0.09069714850968837,1.14330559127343,0.9884367700568366,0.9719475561880473,1.2603917451779407,1.5054641941581732,0.884253640776699,0.84375,0.05116460000135703,0.0408501999991131
pc1,histdistill_refined,budget_50,seed_0,2,61,4,0.12764589487028055,1.733300965314862,0.7685843586598167,0.7472647254250557,0.1577012797521454,1.0516336866904967,0.8689320388349514,0.8756067961165048,0.04596329999912996,0.03657329999987269
pc1,histdistill_refined,budget_50,seed_0,3,59,3,0.09257768265583169,0.5181213467813574,0.8066956655385523,0.777813280396337,0.13478754362365836,1.1897317420121056,0.9035194174757281,0.8798543689320388,0.04429730000265408,0.038260200002696365
pc1,histdistill_refined,budget_50,seed_0,4,82,3,0.04519937956831707,0.8935773266727615,0.9561184200172628,0.9291118104325014,1.0870034597825033,0.6902011573345843,0.8994235436893204,0.872117718446602,0.052206100001058076,0.03991430000314722
pc1,histdistill_refined,budget_50,seed_0,5,96,5,0.07602242863473227,1.6598477988346996,0.9651573596514778,0.7617696313656519,1.710118500901034,0.6276406545247402,0.8625606796116505,0.8687803398058253,0.052870900006382726,0.034602100000483915
pc1,histdistill_refined,budget_50,seed_0,6,57,3,0.09972261952292995,0.9405443741081672,0.8225886130447083,0.8530099585571946,0.13041942998706257,1.4624813167168893,0.8898665048543688,0.8929004854368932,0.035991299999295734,0.02948900000046706
pc1,histdistill_refined,budget_50,seed_0,7,148,4,0.08526581543928381,1.4030605465315051,0.7970676409722218,0.8231903872709697,0.5430530830488374,1.3512784456992462,0.8819781553398058,0.8786407766990291,0.050722899999527726,0.03721979999681935
pc1,histdistill_refined,budget_50,seed_0,8,130,4,0.056862029748699194,0.5025048460191565,0.9279108712714265,0.8317844774005174,0.2622488685067286,0.9999100448223879,0.8922936893203883,0.8716626213592233,0.063993700001447,0.04554440000356408
pc1,histdistill_refined,budget_50,seed_0,9,80,2,0.1491324695962358,7.775549693366976,0.670557326130454,0.7753809265069835,2.0329183168739418,0.6284762624357654,0.8583131067961165,0.8165958737864077,0.03778990000137128,0.03441970000130823
pc1,histdistill_refined,budget_50,seed_0,10,88,4,0.05689575066375989,4.277739501894222,0.9854625403374119,0.9609383992108369,1.1683858026801275,0.3205486253361396,0.8528519417475728,0.8237257281553398,0.06307299999753013,0.04572079999343259
pc1,histdistill_refined,budget_50,seed_0,11,60,5,0.026193941770822664,1.1414263914091487,0.7485647225852086,0.8851390936029466,0.5931665839728875,0.18577709751489446,0.8734830097087378,0.8655946601941747,0.06086209999921266,0.04111440000269795
pc1,histdistill_refined,budget_50,seed_0,12,86,2,0.0824213144767601,1.9533267876003055,0.8604837424691404,0.8474083523529371,4.588267383391463,1.8367937157411935,0.902002427184466,0.8745449029126213,0.042840200003411155,0.030958900002588052
pc1,histdistill_refined,budget_50,seed_0,13,67,2,0.1605649859505072,4.441067519170738,0.8736591882780382,0.8808625436218323,0.7990100994191748,1.8345265992856814,0.8980582524271845,0.8401092233009708,0.03416370000195457,0.028596899996045977
pc1,histdistill_refined,budget_50,seed_0,14,149,2,0.08161182402983427,4.7798728701530155,0.6971665080673956,0.8654278960256034,0.38624539752013143,1.5320726829325657,0.8637742718446602,0.8273665048543689,0.045436599997628946,0.032794899998407345
pc1,histdistill_refined,budget_50,seed_0,15,83,2,0.08282886243508174,5.382643063975337,0.8699217518270816,0.7624681934087323,1.3945150181611594,0.6763056854720215,0.8916868932038835,0.8351031553398057,0.04006350000418024,0.03247620000183815
pc1,histdistill_refined,budget_50,seed_0,16,106,4,0.032208747351948175,1.0867099875047812,0.6614514323689205,0.6793682861369418,0.8351198549464016,0.46339644278461445,0.8995752427184466,0.8737864077669903,0.055610499999602325,0.03547890000481857
pc1,histdistill_refined,budget_50,seed_0,17,144,4,0.09192008198431115,5.75471594207667,0.7742713551059885,0.7615376382535608,0.2456569962872494,0.23569928904879056,0.84375,0.8161407766990291,0.05540409999957774,0.03466390000539832
pc1,histdistill_refined,budget_50,seed_0,18,95,4,0.12608299517514157,1.8557719633355043,0.8454040889319916,0.9854680397934664,1.7356529882330893,1.4900697732953037,0.8783373786407768,0.8440533980582524,0.04436560000613099,0.0335997000001953
pc1,histdistill_refined,budget_50,seed_0,19,97,5,0.03827756317756753,3.03282916082489,0.9010880768642378,0.9447797754032341,0.28622963451914585,1.3775894114260954,0.8780339805825242,0.8646844660194175,0.04884149999998044,0.036336899996967986
pc1,histdistill_refined,budget_50,seed_0,20,111,4,0.05609169007381444,0.6628448042545665,0.7735669518240992,0.9872196618421676,0.15004232353480146,0.22727598717635122,0.8859223300970874,0.8710558252427185,0.06291149999742629,0.04502399999910267
pc1,histdistill_refined,budget_50,seed_0,21,116,3,0.030515052625019256,1.0488408106261007,0.9700596427360236,0.7615737285059528,0.9780043601698453,0.4774895591099031,0.9104975728155339,0.8734830097087378,0.052496100004645996,0.03634340000280645
pc1,histdistill_refined,budget_50,seed_0,22,118,4,0.032165031288357876,4.466787223359439,0.7980311156700575,0.714281135482001,2.345540973079443,1.1085650780544656,0.8759101941747574,0.8452669902912621,0.05053889999544481,0.03466669999761507
