dataset,method,budget,seed,trial,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,full_val_auc,distilled_val_auc,full_seconds,distilled_seconds
phoneme,histdistill_refined,budget_50,seed_0,0,136,2,0.08842159822451831,1.8264896829640616,0.7796751844878168,0.7742210670083779,2.762912089159218,1.8102876733543478,0.920047648933886,0.860787900308851,0.08623529999749735,0.051575199999206234
phoneme,histdistill_refined,budget_50,seed_0,1,122,2,0.09069714850968837,1.14330559127343,0.9884367700568366,0.9719475561880473,1.2603917451779407,1.5054641941581732,0.9210860984028937,0.8555006854179399,0.06690600000001723,0.04134930000145687
phoneme,histdistill_refined,budget_50,seed_0,2,61,4,0.12764589487028055,1.733300965314862,0.7685843586598167,0.7472647254250557,0.1577012797521454,1.0516336866904967,0.9389689001932383,0.8787140568483988,0.05611440000211587,0.037602100004733074
phoneme,histdistill_refined,budget_50,seed_0,3,59,3,0.09257768265583169,0.5181213467813574,0.8066956655385523,0.777813280396337,0.13478754362365836,1.1897317420121056,0.9234726741209308,0.8711558789039919,0.06341420000535436,0.03946699999505654
phoneme,histdistill_refined,budget_50,seed_0,4,82,3,0.04519937956831707,0.8935773266727615,0.9561184200172628,0.9291118104325014,1.0870034597825033,0.6902011573345843,0.9146902406395032,0.8757514823195204,0.05649730000004638,0.03270589999738149
phoneme,histdistill_refined,budget_50,seed_0,5,96,5,0.07602242863473227,1.6598477988346996,0.9651573596514778,0.7617696313656519,1.710118500901034,0.6276406545247402,0.9456744347366509,0.8803367631757147,0.07504669999616453,0.03565540000272449
phoneme,histdistill_refined,budget_50,seed_0,6,57,3,0.09972261952292995,0.9405443741081672,0.8225886130447083,0.8530099585571946,0.13041942998706257,1.4624813167168893,0.9278804069565794,0.882223727021983,0.040500700000848155,0.028014600000460632
phoneme,histdistill_refined,budget_50,seed_0,7,148,4,0.08526581543928381,1.4030605465315051,0.7970676409722218,0.8231903872709697,0.5430530830488374,1.3512784456992462,0.944906436322196,0.8727579401126399,0.07451530000253115,0.037425700000312645
phoneme,histdistill_refined,budget_50,seed_0,8,130,4,0.056862029748699194,0.5025048460191565,0.9279108712714265,0.8317844774005174,0.2622488685067286,0.9999100448223879,0.9429245049300543,0.8758196112111252,0.08409899999969639,0.04003269999520853
phoneme,histdistill_refined,budget_50,seed_0,9,80,2,0.1491324695962358,7.775549693366976,0.670557326130454,0.7753809265069835,2.0329183168739418,0.6284762624357654,0.9182866203114936,0.8171688935868004,0.051083999998809304,0.03453250000166008
phoneme,histdistill_refined,budget_50,seed_0,10,88,4,0.05689575066375989,4.277739501894222,0.9854625403374119,0.9609383992108369,1.1683858026801275,0.3205486253361396,0.9360661965084975,0.8615930599369085,0.06873069999710424,0.03641100000095321
phoneme,histdistill_refined,budget_50,seed_0,11,60,5,0.026193941770822664,1.1414263914091487,0.7485647225852086,0.8851390936029466,0.5931665839728875,0.18577709751489446,0.9350834888598939,0.8650820849918245,0.05803290000039851,0.031396899998071603
phoneme,histdistill_refined,budget_50,seed_0,12,86,2,0.0824213144767601,1.9533267876003055,0.8604837424691404,0.8474083523529371,4.588267383391463,1.8367937157411935,0.9084161890762549,0.8485701190810446,0.042840699999942444,0.03193189999728929
