task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,accuracy,macro_f1,macro_auroc
multiclass,balance_scale,histdistill,HistDistill,budget_25,seed_0,xgboost,75,0.12095890000091458,0.043776700000307756,0.8399345540790284,0.728,0.5897018030513176,0.8399345540790284
multiclass,balance_scale,histdistill,HistDistill,budget_25,seed_0,lightgbm,75,0.12667380000129924,0.27771759999995993,0.8320054819793713,0.784,0.6424242424242425,0.8320054819793713
multiclass,balance_scale,histdistill,HistDistill,budget_25,seed_0,mlp,75,0.11815009999918402,0.3729596000011952,0.9820313772999674,0.928,0.862022737022737,0.9820313772999674
multiclass,balance_scale,histdistill,HistDistill,budget_50,seed_0,xgboost,129,0.12673399999948742,0.04729420000148821,0.8635842263240635,0.8,0.6350342118989906,0.8635842263240635
multiclass,balance_scale,histdistill,HistDistill,budget_50,seed_0,lightgbm,129,0.14150009999866597,1.1958407999991323,0.8870534428425237,0.832,0.6316137566137566,0.8870534428425237
multiclass,balance_scale,histdistill,HistDistill,budget_50,seed_0,mlp,129,0.13256010000077367,0.44128789999922446,0.9945023257205247,0.944,0.8780052606828087,0.9945023257205247
multiclass,balance_scale,random,Random,budget_25,seed_0,xgboost,75,0.0004013999987364514,0.05697859999963839,0.7853223290546554,0.632,0.555586089933339,0.7853223290546554
multiclass,balance_scale,random,Random,budget_25,seed_0,lightgbm,75,0.000436700000136625,0.5322060999988025,0.77124384717827,0.672,0.5307838879042793,0.77124384717827
multiclass,balance_scale,random,Random,budget_25,seed_0,mlp,75,0.00032810000084282365,0.38377269999909913,0.9883422615664119,0.896,0.8287616223396039,0.9883422615664119
multiclass,balance_scale,random,Random,budget_50,seed_0,xgboost,129,0.00040669999907549936,0.08051539999905799,0.8338516527975095,0.72,0.5649179037336932,0.8338516527975095
multiclass,balance_scale,random,Random,budget_50,seed_0,lightgbm,129,0.0003685000010591466,1.2808170000007522,0.8626813642144625,0.792,0.6297786600377941,0.8626813642144625
multiclass,balance_scale,random,Random,budget_50,seed_0,mlp,129,0.00041200000123353675,0.46359170000141603,0.9977136804731962,0.976,0.9477239334066857,0.9977136804731962
multiclass,balance_scale,herding,Herding,budget_25,seed_0,xgboost,75,0.004908200000500074,0.07050490000074205,0.8362518397317523,0.512,0.49655200512193703,0.8362518397317523
multiclass,balance_scale,herding,Herding,budget_25,seed_0,lightgbm,75,0.004508699999860255,0.6992916999988665,0.7884945625011069,0.616,0.5455471091209922,0.7884945625011069
multiclass,balance_scale,herding,Herding,budget_25,seed_0,mlp,75,0.0048797999988892116,0.3952389000005496,0.9753828844707693,0.752,0.6934589017125002,0.9753828844707693
multiclass,balance_scale,herding,Herding,budget_50,seed_0,xgboost,129,0.007721799998762435,0.08340409999982512,0.8562018738024054,0.688,0.6007305858791008,0.8562018738024054
multiclass,balance_scale,herding,Herding,budget_50,seed_0,lightgbm,129,0.0056394999992335215,0.4866157000014937,0.8187676116734233,0.728,0.6031392737275091,0.8187676116734233
multiclass,balance_scale,herding,Herding,budget_50,seed_0,mlp,129,0.005612299999484094,0.46692580000126327,0.9872585620071378,0.848,0.7775289699818001,0.9872585620071378
multiclass,balance_scale,k_center,K-center,budget_25,seed_0,xgboost,75,0.0656130999996094,0.07717420000153652,0.7740324671544364,0.64,0.5499174917491749,0.7740324671544364
multiclass,balance_scale,k_center,K-center,budget_25,seed_0,lightgbm,75,0.05827540000063891,0.6946032999985619,0.7836420522545282,0.784,0.6050456253354803,0.7836420522545282
multiclass,balance_scale,k_center,K-center,budget_25,seed_0,mlp,75,0.05729059999976016,0.388897700000598,0.9972511628602624,0.976,0.9436344484399405,0.9972511628602624
multiclass,balance_scale,k_center,K-center,budget_50,seed_0,xgboost,129,0.09147389999998268,0.07439659999909054,0.8513497398521294,0.792,0.6091271666492906,0.8513497398521294
multiclass,balance_scale,k_center,K-center,budget_50,seed_0,lightgbm,129,0.08692770000016026,1.054217900000367,0.8470160396751242,0.84,0.6062378167641326,0.8470160396751242
multiclass,balance_scale,k_center,K-center,budget_50,seed_0,mlp,129,0.10057320000123582,0.44532299999991665,1.0,1.0,1.0,1.0
multiclass,balance_scale,full_data,Full data,budget_25,seed_0,xgboost,375,1.6699999832781032e-05,0.10726679999970656,0.8727398547541686,0.872,0.6105342468978833,0.8727398547541686
multiclass,balance_scale,full_data,Full data,budget_25,seed_0,lightgbm,375,1.7899999875226058e-05,2.055355200000122,0.8997391761276301,0.84,0.5957796127287652,0.8997391761276301
multiclass,balance_scale,full_data,Full data,budget_25,seed_0,mlp,375,1.9600000086938962e-05,1.0024300999994011,1.0,0.992,0.9811771316196095,1.0
multiclass,balance_scale,full_data,Full data,budget_50,seed_0,xgboost,375,1.9499999325489625e-05,0.1060935999994399,0.8727398547541686,0.872,0.6105342468978833,0.8727398547541686
multiclass,balance_scale,full_data,Full data,budget_50,seed_0,lightgbm,375,1.6400001186411828e-05,1.228009700000257,0.8997391761276301,0.84,0.5957796127287652,0.8997391761276301
multiclass,balance_scale,full_data,Full data,budget_50,seed_0,mlp,375,2.1800000467919745e-05,1.0030437000004895,1.0,0.992,0.9811771316196095,1.0
multiclass,cmc,histdistill,HistDistill,budget_25,seed_0,xgboost,75,0.19803159999901254,0.06039219999911438,0.7006895041070594,0.5084745762711864,0.5013926820958768,0.7006895041070594
multiclass,cmc,histdistill,HistDistill,budget_25,seed_0,lightgbm,75,0.1531598000001395,0.5229825999995228,0.6937586095295942,0.5220338983050847,0.5177874661570314,0.6937586095295942
multiclass,cmc,histdistill,HistDistill,budget_25,seed_0,mlp,75,0.21467219999976805,0.39740789999996196,0.6913712013470207,0.49830508474576274,0.4959892393257103,0.6913712013470207
multiclass,cmc,histdistill,HistDistill,budget_50,seed_0,xgboost,150,0.20686170000044513,0.08439280000129656,0.7202193566621237,0.5491525423728814,0.5424211979099672,0.7202193566621237
multiclass,cmc,histdistill,HistDistill,budget_50,seed_0,lightgbm,150,0.19350889999986975,1.211469500000021,0.7006380424429658,0.5220338983050847,0.5126083904364447,0.7006380424429658
multiclass,cmc,histdistill,HistDistill,budget_50,seed_0,mlp,150,0.19557549999990442,0.47591710000051535,0.6790325287496549,0.49830508474576274,0.487800682738363,0.6790325287496549
multiclass,cmc,random,Random,budget_25,seed_0,xgboost,75,0.0003012999986822251,0.06292500000017753,0.6545560263599633,0.4576271186440678,0.45647462024516766,0.6545560263599633
multiclass,cmc,random,Random,budget_25,seed_0,lightgbm,75,0.0003243000010115793,0.34303390000059153,0.6367678368394855,0.4135593220338983,0.4118419720751327,0.6367678368394855
multiclass,cmc,random,Random,budget_25,seed_0,mlp,75,0.0004429000000527594,0.3915020000004006,0.5805700457952696,0.4033898305084746,0.4027802425317953,0.5805700457952696
multiclass,cmc,random,Random,budget_50,seed_0,xgboost,150,0.0004008999985671835,0.08906139999999141,0.655290163261317,0.488135593220339,0.4844378041974837,0.655290163261317
multiclass,cmc,random,Random,budget_50,seed_0,lightgbm,150,0.00036250000084692147,1.0941686999995,0.5915799575303012,0.41694915254237286,0.41013345380748517,0.5915799575303012
multiclass,cmc,random,Random,budget_50,seed_0,mlp,150,0.0003090999998676125,0.4756037000006472,0.5631847702530806,0.4033898305084746,0.39556673710792634,0.5631847702530806
multiclass,cmc,herding,Herding,budget_25,seed_0,xgboost,75,0.006896199998664088,0.07997040000009292,0.6740450168429138,0.5050847457627119,0.48476555373107094,0.6740450168429138
multiclass,cmc,herding,Herding,budget_25,seed_0,lightgbm,75,0.005220000000917935,0.4701415999988967,0.6440915585933472,0.4542372881355932,0.4477516785209093,0.6440915585933472
multiclass,cmc,herding,Herding,budget_25,seed_0,mlp,75,0.00637789999927918,0.3919607999996515,0.6380509471002866,0.4576271186440678,0.44434353281204797,0.6380509471002866
multiclass,cmc,herding,Herding,budget_50,seed_0,xgboost,150,0.0111151000000973,0.09044779999931052,0.6908097655142548,0.511864406779661,0.5055930055152912,0.6908097655142548
multiclass,cmc,herding,Herding,budget_50,seed_0,lightgbm,150,0.011511599999721511,0.9595403999992413,0.6846267733413919,0.4915254237288136,0.48177662587087094,0.6846267733413919
multiclass,cmc,herding,Herding,budget_50,seed_0,mlp,150,0.010257999998430023,0.46981359999881533,0.6306355132762084,0.4576271186440678,0.45081168831168833,0.6306355132762084
multiclass,cmc,k_center,K-center,budget_25,seed_0,xgboost,75,0.06120139999984531,0.07629850000012084,0.6221141742298341,0.4406779661016949,0.43585495845980643,0.6221141742298341
multiclass,cmc,k_center,K-center,budget_25,seed_0,lightgbm,75,0.06090609999955632,0.4911652000009781,0.5573920143354197,0.3389830508474576,0.33565653961554065,0.5573920143354197
multiclass,cmc,k_center,K-center,budget_25,seed_0,mlp,75,0.06154210000022431,0.3851128999995126,0.5781560772957116,0.3525423728813559,0.35087195413282374,0.5781560772957116
multiclass,cmc,k_center,K-center,budget_50,seed_0,xgboost,150,0.09071549999862327,0.0777405999997427,0.6629869346957498,0.4542372881355932,0.4562114887696283,0.6629869346957498
multiclass,cmc,k_center,K-center,budget_50,seed_0,lightgbm,150,0.11726129999988189,0.8135579999998299,0.6317408144154324,0.3864406779661017,0.3854081683591646,0.6317408144154324
multiclass,cmc,k_center,K-center,budget_50,seed_0,mlp,150,0.11382589999993797,0.48285239999859186,0.6160379389568343,0.4135593220338983,0.4138054821035386,0.6160379389568343
multiclass,cmc,full_data,Full data,budget_25,seed_0,xgboost,883,2.2300000637187622e-05,0.145072600000276,0.7656311847622348,0.5830508474576271,0.5520361990950226,0.7656311847622348
multiclass,cmc,full_data,Full data,budget_25,seed_0,lightgbm,883,1.6200001482502557e-05,1.7554515000010724,0.7462364583113764,0.5457627118644067,0.5121075558213716,0.7462364583113764
multiclass,cmc,full_data,Full data,budget_25,seed_0,mlp,883,1.849999898695387e-05,2.5348039000000426,0.6729867424799153,0.5016949152542373,0.4694513448488007,0.6729867424799153
multiclass,cmc,full_data,Full data,budget_50,seed_0,xgboost,883,1.990000055229757e-05,0.12019580000014685,0.7656311847622348,0.5830508474576271,0.5520361990950226,0.7656311847622348
multiclass,cmc,full_data,Full data,budget_50,seed_0,lightgbm,883,1.8599999748403206e-05,1.4302928999986761,0.7462364583113764,0.5457627118644067,0.5121075558213716,0.7462364583113764
multiclass,cmc,full_data,Full data,budget_50,seed_0,mlp,883,1.3300001228344627e-05,2.5741806000005454,0.6729867424799153,0.5016949152542373,0.4694513448488007,0.6729867424799153
multiclass,eucalyptus,histdistill,HistDistill,budget_25,seed_0,xgboost,125,0.35481980000076874,0.16128639999988081,0.889613854684983,0.581081081081081,0.5712103371507119,0.889613854684983
multiclass,eucalyptus,histdistill,HistDistill,budget_25,seed_0,lightgbm,125,0.31714149999970687,0.9567131000003428,0.8682192682281821,0.5067567567567568,0.5033856524600626,0.8682192682281821
multiclass,eucalyptus,histdistill,HistDistill,budget_25,seed_0,mlp,125,0.3290954000003694,0.47151989999838406,0.846386887667391,0.5067567567567568,0.5044032216625617,0.846386887667391
multiclass,eucalyptus,histdistill,HistDistill,budget_50,seed_0,xgboost,250,0.3996164000000135,0.22900530000151775,0.9080615081802114,0.6351351351351351,0.6319006708495619,0.9080615081802114
multiclass,eucalyptus,histdistill,HistDistill,budget_50,seed_0,lightgbm,250,0.3681204999993497,1.648648399999729,0.8828165001374773,0.581081081081081,0.5717925883332861,0.8828165001374773
multiclass,eucalyptus,histdistill,HistDistill,budget_50,seed_0,mlp,250,0.36456730000099924,0.8842577999985224,0.8942232627085633,0.6486486486486487,0.6471067706361824,0.8942232627085633
multiclass,eucalyptus,random,Random,budget_25,seed_0,xgboost,125,0.0004366999983176356,0.1515973000005033,0.8776952855582392,0.6081081081081081,0.6116225803182325,0.8776952855582392
multiclass,eucalyptus,random,Random,budget_25,seed_0,lightgbm,125,0.0004259999986970797,1.407220099999904,0.8888943257825097,0.6351351351351351,0.6187163633450583,0.8888943257825097
multiclass,eucalyptus,random,Random,budget_25,seed_0,mlp,125,0.000421200000346289,0.4950480999996216,0.8549390729529159,0.5675675675675675,0.5477103059429705,0.8549390729529159
multiclass,eucalyptus,random,Random,budget_50,seed_0,xgboost,250,0.0003285999991931021,0.22955679999904532,0.9119649377240631,0.6824324324324325,0.6804348467389196,0.9119649377240631
multiclass,eucalyptus,random,Random,budget_50,seed_0,lightgbm,250,0.00037569999949482735,2.732871800000794,0.9171730349135914,0.6891891891891891,0.6847670710099496,0.9171730349135914
multiclass,eucalyptus,random,Random,budget_50,seed_0,mlp,250,0.0004079999998793937,0.8699145999999018,0.9010763659185667,0.6216216216216216,0.6165678889085878,0.9010763659185667
multiclass,eucalyptus,herding,Herding,budget_25,seed_0,xgboost,125,0.007792399999743793,0.16797110000152315,0.8980952116202483,0.5945945945945946,0.5868467480232186,0.8980952116202483
multiclass,eucalyptus,herding,Herding,budget_25,seed_0,lightgbm,125,0.007409900001221104,1.5282855999994354,0.8870520176972111,0.6148648648648649,0.6176743278362269,0.8870520176972111
multiclass,eucalyptus,herding,Herding,budget_25,seed_0,mlp,125,0.0076224999993428355,0.4733211000002484,0.8737984110332577,0.581081081081081,0.5779605137814092,0.8737984110332577
multiclass,eucalyptus,herding,Herding,budget_50,seed_0,xgboost,250,0.012818700000934768,0.23140539999985776,0.9084653934186029,0.6621621621621622,0.6570907182712432,0.9084653934186029
multiclass,eucalyptus,herding,Herding,budget_50,seed_0,lightgbm,250,0.012416000001394423,1.388606599999548,0.8943148635841286,0.6013513513513513,0.5972681954137586,0.8943148635841286
multiclass,eucalyptus,herding,Herding,budget_50,seed_0,mlp,250,0.012165800000730087,0.845798599999398,0.8928656498332795,0.6013513513513513,0.595354329491942,0.8928656498332795
multiclass,eucalyptus,k_center,K-center,budget_25,seed_0,xgboost,125,0.1007078000002366,0.18084660000022268,0.8931744445160534,0.6554054054054054,0.6478858502290997,0.8931744445160534
multiclass,eucalyptus,k_center,K-center,budget_25,seed_0,lightgbm,125,0.09485300000051211,1.1586556999991444,0.8633388666278554,0.5945945945945946,0.5687737517191052,0.8633388666278554
multiclass,eucalyptus,k_center,K-center,budget_25,seed_0,mlp,125,0.09853329999896232,0.46259920000011334,0.8946155148425701,0.6283783783783784,0.6070199397166723,0.8946155148425701
multiclass,eucalyptus,k_center,K-center,budget_50,seed_0,xgboost,250,0.23504399999910675,0.24302579999857699,0.9178379816458735,0.6959459459459459,0.6879943907387516,0.9178379816458735
multiclass,eucalyptus,k_center,K-center,budget_50,seed_0,lightgbm,250,0.2216470000003028,2.1851731999995536,0.8932096070152982,0.6013513513513513,0.593941187230334,0.8932096070152982
multiclass,eucalyptus,k_center,K-center,budget_50,seed_0,mlp,250,0.19781540000076347,0.8623896999997669,0.9044970453985967,0.6283783783783784,0.6193800480673446,0.9044970453985967
multiclass,eucalyptus,full_data,Full data,budget_25,seed_0,xgboost,441,2.0700001186924055e-05,0.31576769999992393,0.9205695732623074,0.6959459459459459,0.684521768703921,0.9205695732623074
multiclass,eucalyptus,full_data,Full data,budget_25,seed_0,lightgbm,441,1.700000029813964e-05,2.0023823000010452,0.9033050685668972,0.6621621621621622,0.647563025210084,0.9033050685668972
multiclass,eucalyptus,full_data,Full data,budget_25,seed_0,mlp,441,1.6399999367422424e-05,1.4113679000001866,0.9068078541426325,0.6418918918918919,0.6194790560603416,0.9068078541426325
multiclass,eucalyptus,full_data,Full data,budget_50,seed_0,xgboost,441,3.149999974993989e-05,0.3167600999986462,0.9205695732623074,0.6959459459459459,0.684521768703921,0.9205695732623074
multiclass,eucalyptus,full_data,Full data,budget_50,seed_0,lightgbm,441,1.8000000636675395e-05,2.3620276999990892,0.9033050685668972,0.6621621621621622,0.647563025210084,0.9033050685668972
