dataset,n_train,n_val,n_test,n_features,n_classes,min_class_train,positive_rate,is_smoke
adult,12000,4000,4000,14,2,2824,0.7646666666666667,False
agaricus_lepiota,4887,1629,1629,22,2,2351,0.48107223245344793,False
australian,414,138,138,14,2,185,0.4468599033816425,False
bank_marketing,12000,4000,4000,16,2,1400,0.11666666666666667,False
breast_w,419,140,140,9,2,145,0.3460620525059666,False
credit_approval,414,138,138,15,2,184,0.5555555555555556,False
credit_g,600,200,200,20,2,180,0.7,False
diabetes,460,154,154,8,2,160,0.34782608695652173,False
electricity,12000,4000,4000,8,2,5081,0.42341666666666666,False
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,960,320,320,1000,2,480,0.5,False
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,960,320,320,20,2,480,0.5,False
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,960,320,320,20,2,480,0.5,False
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,960,320,320,20,2,480,0.5,False
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,960,320,320,20,2,480,0.5,False
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,960,320,320,20,2,480,0.5,False
hill_valley_with_noise,726,243,243,100,2,363,0.5,False
hill_valley_without_noise,726,243,243,100,2,360,0.5041322314049587,False
kr_vs_kp,1917,639,640,36,2,916,0.5221700573813249,False
pc1,665,222,222,21,2,46,0.06917293233082707,False
pc3,937,313,313,37,2,96,0.10245464247598719,False
pc4,874,292,292,37,2,106,0.12128146453089245,False
phoneme,3242,1081,1081,5,2,952,0.2936458975940777,False
qsar_biodeg,633,211,211,41,2,214,0.3380726698262243,False
sick,2262,755,755,29,2,139,0.0614500442086649,False
smoke_binary,900,300,300,12,2,448,0.49777777777777776,True
spambase,2760,920,921,57,2,1088,0.39420289855072466,False
tic_tac_toe,574,192,192,9,2,199,0.6533101045296167,False
