task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,r2,mae,rmse
regression,diabetes_regression,histdistill,HistDistill,budget_25,seed_0,xgboost,25,0.12244030000147177,0.029056600000330945,0.13656893662276848,0.13656893662276848,50.296072713444744,66.54029972827786
regression,diabetes_regression,histdistill,HistDistill,budget_25,seed_0,lightgbm,25,0.10804360000111046,0.38273040000058245,-0.19404903725438083,-0.19404903725438083,61.68224719101125,78.2495772038691
regression,diabetes_regression,histdistill,HistDistill,budget_25,seed_0,mlp,25,0.11046150000038324,0.08667510000123002,-0.1309194420994373,-0.1309194420994373,60.00870342468947,76.15295381817555
regression,diabetes_regression,histdistill,HistDistill,budget_50,seed_0,xgboost,50,0.11791770000127144,0.03087509999932081,0.25641760342897413,0.25641760342897413,46.92138753312357,61.74978761076108
regression,diabetes_regression,histdistill,HistDistill,budget_50,seed_0,lightgbm,50,0.11673209999935352,0.39250750000064727,0.3386946219982311,0.3386946219982311,44.44049425615608,58.23337292784174
regression,diabetes_regression,histdistill,HistDistill,budget_50,seed_0,mlp,50,0.10806640000009793,0.11649529999885999,-0.026845570952197306,-0.026845570952197306,55.75125482109156,72.56437940423208
regression,diabetes_regression,random,Random,budget_25,seed_0,xgboost,25,0.0002848999993148027,0.02911639999911131,-0.1207186278097454,-0.1207186278097454,60.173231446341184,75.808728678926
regression,diabetes_regression,random,Random,budget_25,seed_0,lightgbm,25,0.00021390000074461568,0.26946959999986575,-0.0001054301274472369,-0.0001054301274472369,59.49123595505618,71.61332046076156
regression,diabetes_regression,random,Random,budget_25,seed_0,mlp,25,0.00029720000020461157,0.07387029999881634,-0.1369544568889629,-0.1369544568889629,61.74166604374232,76.35587397637008
regression,diabetes_regression,random,Random,budget_50,seed_0,xgboost,50,0.0002547000003687572,0.03670659999988857,-0.08171086903465952,-0.08171086903465952,58.871335061748375,74.47774434913653
regression,diabetes_regression,random,Random,budget_50,seed_0,lightgbm,50,0.00028670000028796494,0.29166799999984505,0.025085038663027803,0.025085038663027803,55.29765847683552,70.70567715269691
