method,budget,downstream_seconds_mean,downstream_seconds_median,speedup_vs_full_median,train_rows,n_cells,budget_n,method_label
gain_path_refined,budget_10,0.16510053307745293,0.06714109999302305,11.093320569157633,20.0,390,10,Legacy gain-path refined
gain_path_refined,budget_25,0.2516505584614023,0.12069279999559505,5.370589945476119,50.0,390,25,Legacy gain-path refined
gain_path_refined,budget_50,0.4248832641028014,0.16895529999601422,3.9637720104295386,99.84615384615384,390,50,Legacy gain-path refined
gain_path_refined,budget_100,0.33000151589848636,0.2245119000144768,3.3426095225289636,197.76923076923077,390,100,Legacy gain-path refined
gain_path_refined,budget_200,0.561532595897174,0.4453676499979337,2.1439317390873844,378.46153846153845,390,200,Legacy gain-path refined
herding,budget_10,0.2559621379486951,0.1527080000005298,7.64367679882693,20.0,390,10,Herding
herding,budget_25,0.4019071351281943,0.13746094999805786,5.427911800444232,50.0,390,25,Herding
herding,budget_50,0.5738995633327599,0.2057082000028458,3.809639477252423,99.84615384615384,390,50,Herding
herding,budget_100,0.6420628056410631,0.510020600000189,2.646031060365782,197.76923076923077,390,100,Herding
herding,budget_200,0.524918468973677,0.4578961500083096,2.207635574280858,378.46153846153845,390,200,Herding
histdistill_density,budget_10,0.17600705205001685,0.0802330000005895,10.451762475020624,20.0,390,10,HistDistill-Density
histdistill_density,budget_25,0.43394173692205906,0.25316604999534315,3.7936722209767684,50.0,390,25,HistDistill-Density
histdistill_density,budget_50,0.6093114430766899,0.4393152499978896,2.6005451318891684,99.84615384615384,390,50,HistDistill-Density
histdistill_density,budget_100,0.3432269479495097,0.2512782499834429,3.2067468501820686,197.76923076923077,390,100,HistDistill-Density
histdistill_density,budget_200,0.5082909225645917,0.3381026999704772,2.318699438487979,378.46153846153845,390,200,HistDistill-Density
histdistill_refined,budget_10,0.1819155174370956,0.0758461500081466,10.262015759639052,20.0,390,10,HistDistill-Refined
histdistill_refined,budget_25,0.4393777356409163,0.2612885999988066,3.9554253923120486,50.0,390,25,HistDistill-Refined
histdistill_refined,budget_50,0.6266694338466876,0.43075305000820663,2.5479161794001213,99.84615384615384,390,50,HistDistill-Refined
histdistill_refined,budget_100,0.3186135828212196,0.18775625003036112,3.478333922462544,197.76923076923077,390,100,HistDistill-Refined
histdistill_refined,budget_200,0.5017463128204094,0.31081280001671985,2.3058969355487733,378.46153846153845,390,200,HistDistill-Refined
random,budget_10,0.252412112564138,0.13280645000077124,8.033176950223154,20.0,390,10,Random
random,budget_25,0.3576512246154986,0.16763679999712622,5.292689209112956,50.0,390,25,Random
random,budget_50,0.4237051453845104,0.19798975000594504,4.020392471628058,99.84615384615384,390,50,Random
random,budget_100,0.6156223269230605,0.4383839500001159,2.4302115392297607,197.76923076923077,390,100,Random
random,budget_200,0.5031980012797225,0.3573350999795366,2.2445217069300485,378.46153846153845,390,200,Random
