dataset,seed,budget,method,method_label,coverage_value,coverage_ratio,coverage_proxy_upper_bound,coverage_to_proxy_upper_bound,matched_rows,seed_n
adult,seed_0,budget_25,histdistill_greedy,HistDistill-Greedy,92060042179.87096,0.04899081345315352,92060042179.87094,1.0000000000000002,50,0
adult,seed_0,budget_25,histdistill_importance,ImportanceSample,7605153966.257654,0.004047170416405751,92060042179.87094,0.08261080253904697,50,0
adult,seed_0,budget_25,histdistill_refined,HistDistill-Refined,11563890448.534262,0.006153857703540322,92060042179.87094,0.12561248262237623,50,0
adult,seed_0,budget_25,histdistill_density,HistDistill-Density,11563890448.534262,0.006153857703540322,92060042179.87094,0.12561248262237623,50,0
adult,seed_0,budget_25,herding,Herding,17749331484.487144,0.009445511506237647,92060042179.87094,0.19280168750963336,50,0
adult,seed_0,budget_25,random,Random,12543953029.575386,0.006675409312069784,92060042179.87094,0.1362583889008704,50,0
adult,seed_0,budget_50,histdistill_greedy,HistDistill-Greedy,165809561747.38403,0.08823747106745697,165809561747.38397,1.0000000000000004,100,0
adult,seed_0,budget_50,histdistill_importance,ImportanceSample,20310063824.22322,0.010808234761505693,165809561747.38397,0.12249030520426943,100,0
adult,seed_0,budget_50,histdistill_refined,HistDistill-Refined,24934711565.349655,0.013269294407007484,165809561747.38397,0.15038162638255123,100,0
adult,seed_0,budget_50,histdistill_density,HistDistill-Density,24934711565.349655,0.013269294407007484,165809561747.38397,0.15038162638255123,100,0
adult,seed_0,budget_50,herding,Herding,35719543276.29619,0.01900856701609784,165809561747.38397,0.2154251111930205,100,0
adult,seed_0,budget_50,random,Random,24038884574.7603,0.012792569739680978,165809561747.38397,0.144978880116602,100,0
adult,seed_1,budget_25,histdistill_greedy,HistDistill-Greedy,81730823761.415,0.04126616604223535,81730823761.41496,1.0000000000000004,50,1
adult,seed_1,budget_25,histdistill_importance,ImportanceSample,10354063203.368504,0.005227801112212925,81730823761.41496,0.1266849240819306,50,1
adult,seed_1,budget_25,histdistill_refined,HistDistill-Refined,12145862511.64269,0.006132486570730381,81730823761.41496,0.14860810099135133,50,1
