method,budget,coverage_ratio,coverage_to_proxy_upper_bound,matched_rows,n_cells,method_label,budget_n
histdistill_greedy,budget_25,0.37103613634949245,1.0,50.0,78,HistDistill-Greedy,25
random,budget_25,0.08158543472145088,0.2456414681448413,50.0,78,Random,25
histdistill_density,budget_25,0.07482197904530663,0.223256108433689,50.0,78,HistDistill-Density,25
histdistill_refined,budget_25,0.07482197904530663,0.223256108433689,50.0,78,HistDistill-Refined,25
histdistill_importance,budget_25,0.07073600427419481,0.2226241979138902,50.0,78,ImportanceSample,25
herding,budget_25,0.05861256554490479,0.18297996674795391,50.0,78,Herding,25
histdistill_greedy,budget_50,0.5385495122892434,1.0000000000000002,99.84615384615384,78,HistDistill-Greedy,50
random,budget_50,0.15911125260619008,0.29880687136413736,99.84615384615384,78,Random,50
histdistill_density,budget_50,0.1523988763232078,0.2857139292640606,99.84615384615384,78,HistDistill-Density,50
histdistill_refined,budget_50,0.1523988763232078,0.2857139292640606,99.84615384615384,78,HistDistill-Refined,50
histdistill_importance,budget_50,0.14237934984972664,0.2741218524595885,99.84615384615384,78,ImportanceSample,50
herding,budget_50,0.11770618324299612,0.2285768314986373,99.84615384615384,78,Herding,50
