method,budget_25,budget_50,method_label
distribution_matching,0.7821436594514514,0.8055998877339282,Distribution matching
full_data,0.8704131840587491,0.8704131840587491,Full data
gain_herding,0.8152918753857956,0.8426185529396714,Gain sketch
gain_path_herding,0.8122179048803659,0.8455003908459122,Gain-path sketch
gain_path_prior_weighted,0.8086382207833474,0.8394848298791366,Gain-path prior weighted
gain_path_refined,0.8214450373378192,0.8484585573862502,Gain-path refined
gain_path_safeguarded,0.8188854112627972,0.8483483810053015,Gain-path safeguarded
gaindistill,0.5146663183720038,0.5119569486601228,Root-only synthetic
herding,0.8059004734726717,0.8232116823115897,Herding
k_center,0.731617624677874,0.7703626402087681,K-center
random,0.7801080787891764,0.8252495562850893,Random
