method,comparator,n_pairs,mean_diff,median_diff,wins,ties,losses,wilcoxon_p,method_label,comparator_label
full_data,gain_herding,240,0.0414579698960156,0.0309348013088891,198,2,40,1.0753062151632708e-26,Full data,Gain sketch
gain_path_refined,gain_herding,240,0.0059965831993011,4.788137057093467e-05,120,1,119,0.0444424491409828,Gain-path refined,Gain sketch
gain_path_safeguarded,gain_herding,240,0.0046616819713158,-0.0001681628646677,117,1,122,0.0772461112040651,Gain-path safeguarded,Gain sketch
gain_path_herding,gain_herding,240,-9.606629959434952e-05,0.000286390664673,121,3,116,0.2572844047607127,Gain-path sketch,Gain sketch
gain_path_prior_weighted,gain_herding,240,-0.0048936888314914,-0.0013062793117173,109,1,130,0.2053680277890168,Gain-path prior weighted,Gain sketch
herding,gain_herding,240,-0.0143991362706027,-0.0080361286373019,69,0,171,1.939187506964007e-08,Herding,Gain sketch
random,gain_herding,240,-0.0262763966256005,-0.0184657019151154,54,0,186,1.1229085053783617e-18,Random,Gain sketch
distribution_matching,gain_herding,240,-0.0350834405700436,-0.0282158974815184,36,0,204,1.6921020937517112e-26,Distribution matching,Gain sketch
k_center,gain_herding,240,-0.0779650817194124,-0.0614880952380951,38,1,201,1.3609131798386122e-31,K-center,Gain sketch
gaindistill,gain_herding,240,-0.3156435806466702,-0.3226418164304033,5,2,233,1.5258241967586286e-40,Root-only synthetic,Gain sketch
full_data,gain_path_herding,240,0.0415540361956099,0.0301947657685363,207,2,31,2.56576738147611e-27,Full data,Gain-path sketch
gain_path_refined,gain_path_herding,240,0.0060926494988955,3.152662879762902e-05,120,2,118,0.2910997975305276,Gain-path refined,Gain-path sketch
gain_path_safeguarded,gain_path_herding,240,0.0047577482709102,0.0,103,32,105,0.2560969322411089,Gain-path safeguarded,Gain-path sketch
gain_herding,gain_path_herding,240,9.606629959434952e-05,-0.000286390664673,116,3,121,0.2572844047607127,Gain sketch,Gain-path sketch
gain_path_prior_weighted,gain_path_herding,240,-0.004797622531897,-0.0004528985507245,102,8,130,0.0115300969929719,Gain-path prior weighted,Gain-path sketch
herding,gain_path_herding,240,-0.0143030699710084,-0.009991851297313,85,0,155,9.628713113758972e-08,Herding,Gain-path sketch
random,gain_path_herding,240,-0.0261803303260062,-0.0189269256207018,48,0,192,9.360287610224592e-20,Random,Gain-path sketch
distribution_matching,gain_path_herding,240,-0.0349873742704492,-0.0342195606813538,30,1,209,1.5778477739388634e-26,Distribution matching,Gain-path sketch
k_center,gain_path_herding,240,-0.077869015419818,-0.0579365079365079,33,0,207,3.619790926064903e-30,K-center,Gain-path sketch
gaindistill,gain_path_herding,240,-0.3155475143470758,-0.3191568798434508,10,0,230,4.446974987673652e-40,Root-only synthetic,Gain-path sketch
full_data,herding,240,0.0558571061666184,0.0410986873366596,210,0,30,1.3577028061701247e-31,Full data,Herding
gain_path_refined,herding,240,0.0203957194699039,0.0122152997774203,165,1,74,3.208620714601498e-12,Gain-path refined,Herding
gain_path_safeguarded,herding,240,0.0190608182419186,0.0122152997774203,164,1,75,1.3690153010532968e-11,Gain-path safeguarded,Herding
gain_herding,herding,240,0.0143991362706027,0.0080361286373019,171,0,69,1.939187506964007e-08,Gain sketch,Herding
gain_path_herding,herding,240,0.0143030699710084,0.009991851297313,155,0,85,9.628713113758972e-08,Gain-path sketch,Herding
gain_path_prior_weighted,herding,240,0.0095054474391113,0.0096049216751242,153,0,87,7.302378047297715e-06,Gain-path prior weighted,Herding
random,herding,240,-0.0118772603549977,-0.0061538228145056,96,1,143,0.0009696249719117,Random,Herding
distribution_matching,herding,240,-0.0206843042994408,-0.0161418727824969,72,1,167,1.8169943352766125e-13,Distribution matching,Herding
k_center,herding,240,-0.0635659454488096,-0.0527472324147883,54,0,186,1.010941290381621e-26,K-center,Herding
gaindistill,herding,240,-0.3012444443760674,-0.2989198531445565,7,0,233,1.6269748233856043e-40,Root-only synthetic,Herding
full_data,random,240,0.0677343665216161,0.0559067579024813,226,1,13,6.367067682541671e-36,Full data,Random
gain_path_refined,random,240,0.0322729798249017,0.0188545741751227,199,2,39,1.7504369123402667e-25,Gain-path refined,Random
gain_path_safeguarded,random,240,0.0309380785969164,0.0173071659171862,195,2,43,3.579887720968164e-24,Gain-path safeguarded,Random
gain_herding,random,240,0.0262763966256005,0.0184657019151154,186,0,54,1.1229085053783617e-18,Gain sketch,Random
gain_path_herding,random,240,0.0261803303260062,0.0189269256207018,192,0,48,9.360287610224592e-20,Gain-path sketch,Random
gain_path_prior_weighted,random,240,0.0213827077941091,0.0135675480545449,176,3,61,1.5339855052422178e-13,Gain-path prior weighted,Random
herding,random,240,0.0118772603549977,0.0061538228145056,143,1,96,0.0009696249719117,Herding,Random
distribution_matching,random,240,-0.008807043944443,-0.0074458302671506,90,0,150,0.0002786638897376,Distribution matching,Random
k_center,random,240,-0.0516886850938118,-0.0287088419358031,70,0,170,3.972621090134118e-18,K-center,Random
gaindistill,random,240,-0.2893671840210696,-0.2867463497768334,13,1,226,9.98693502459562e-40,Root-only synthetic,Random
