method,auroc_mean,auroc_std,accuracy_mean,log_loss_mean,train_seconds_mean,n_cells,avg_rank,method_label
full_data,0.8704131840587491,0.1228068377154596,0.8507606821573886,0.5989900918025743,1.1964749745833652,240,2.1395833333333334,Full data
gain_path_refined,0.8349517973620346,0.1175660519067406,0.7703788570342635,0.9181517838493596,0.2173911016664229,240,4.458333333333333,Gain-path refined
gain_path_safeguarded,0.8336168961340494,0.1192496261820183,0.7705507716198589,0.9165475331113994,0.2114941437503148,240,4.541666666666667,Gain-path safeguarded
gain_herding,0.8289552141627335,0.122846098480018,0.7638210755664985,0.9061773205142082,0.2180765883340427,240,4.63125,Gain sketch
gain_path_herding,0.8288591478631392,0.1277953712465102,0.7707026752509745,0.8595947602782666,0.2594942199996997,240,4.6625,Gain-path sketch
gain_path_prior_weighted,0.824061525331242,0.1310241293227631,0.8157403746261429,0.7372276305815884,0.2918759724998684,240,5.179166666666666,Gain-path prior weighted
herding,0.8145560778921307,0.1231235685220495,0.7439055109868884,0.9488169652472744,0.2294003241666359,240,6.210416666666666,Herding
random,0.8026788175371329,0.1331532941665825,0.738160454880429,1.020157737597647,0.2199277441665496,240,7.225,Random
distribution_matching,0.7938717735926898,0.1269423270775068,0.7261182835217542,1.0929930372512835,0.2503666233333244,240,7.979166666666667,Distribution matching
k_center,0.7509901324433211,0.1539442152228641,0.6392781407023693,1.118800973516144,0.486432536249985,240,8.4,K-center
gaindistill,0.5133116335160632,0.1418897805206513,0.5449814841818988,2.694223767592594,0.2349283912499686,240,10.572916666666666,Root-only synthetic
