method,root_agreement,top5_overlap,gain_rank_correlation,n_cells,method_label
full_data,0.5416666666666666,0.6833333333333332,0.93333250476106,48,Full data
gain_path_safeguarded,0.0,0.1166666666666666,0.3474359671936445,48,Gain-path safeguarded
gain_path_refined,0.0,0.1125,0.3453590966513291,48,Gain-path refined
gain_path_prior_weighted,0.0625,0.1333333333333333,0.3409216057896065,48,Gain-path prior weighted
gain_path_herding,0.0208333333333333,0.1291666666666666,0.3372610653541966,48,Gain-path sketch
herding,0.0,0.1166666666666666,0.3135282818479527,48,Herding
gain_herding,0.0416666666666666,0.1541666666666666,0.2983276392436287,48,Gain sketch
k_center,0.1875,0.1708333333333333,0.273026764195705,48,K-center
random,0.125,0.1291666666666666,0.267452749412493,48,Random
distribution_matching,0.0,0.0791666666666666,0.1410222889776632,48,Distribution matching
gaindistill,0.1041666666666666,0.0958333333333333,0.0066293298853466,48,Root-only synthetic
