method,catboost,lightgbm,mlp,random_forest,xgboost,method_label
distribution_matching,0.8092076967673649,0.8100647382631911,0.6690223678844088,0.846538194207321,0.8345258708411635,Distribution matching
full_data,0.9057812127376796,0.9099056906740948,0.7153558311668271,0.9067465369515498,0.9142766487635942,Full data
gain_herding,0.8508121240989931,0.8510666520987223,0.6780134671433614,0.8861337149372468,0.8787501125353435,Gain sketch
gain_path_herding,0.8544050193835088,0.8537152379854193,0.6623436428665133,0.8900600249613878,0.8837718141188664,Gain-path sketch
gain_path_prior_weighted,0.8542055640128251,0.8542363340807682,0.6533561562691053,0.8852615788571262,0.8732479934363853,Gain-path prior weighted
gain_path_refined,0.8592030908678375,0.8596932962251776,0.684811959407127,0.8895373031346505,0.8815133371753806,Gain-path refined
gain_path_safeguarded,0.8587558850198497,0.8594989036187616,0.6786921921681026,0.8895495426691284,0.8815879571944044,Gain-path safeguarded
gaindistill,0.524235595917368,0.5041397622134097,0.4852058898671387,0.5147887615185432,0.5381881580638564,Root-only synthetic
herding,0.8333708413412948,0.8392323842359753,0.6891231154934353,0.8590163991798998,0.8520376492100481,Herding
k_center,0.7534785340294778,0.7576411299662763,0.631165903658721,0.8085046779645954,0.8041604165975347,K-center
random,0.8246749189747096,0.8268467648910088,0.6503209266144262,0.8623736010260648,0.8491778761794552,Random
