method,method_label,deployed_auc,leaf_refit_auc,full_auc,structure_ref_auc,structure_error,leaf_estimate_recovery,leaf_population_l1,sld_inf_norm,n_cells
gradient_sampling,Gradient sampling,0.34949073522736757,0.7230434431512841,0.825764678869198,0.7909512363236568,0.06790779317237276,0.37355270792391637,0.13260356430182835,,312
histdistill_greedy,HistDistill-Greedy,0.642750061420476,0.696491307460958,0.825764678869198,0.7909512363236568,0.09445992886269886,0.05374124604048201,0.24263400162207502,76.85955116222915,312
distribution_matching,DistributionMatching,0.7200532324850495,0.7560317404220844,0.825764678869198,0.7909512363236568,0.034919495901572326,0.03597850793703493,0.23468415231850748,,312
k_center,K-center,0.7129290653644962,0.7366770026919263,0.825764678869198,0.7909512363236568,0.05427423363173048,0.02374793732743016,0.19561842478767602,,312
el2n_coreset,EL2N,0.7146279856283666,0.737239519184488,0.825764678869198,0.7909512363236568,0.05371171713916871,0.022611533556121527,0.09347446550092779,42.22262572469978,312
grand_coreset,GraNd,0.7146279856283666,0.737239519184488,0.825764678869198,0.7909512363236568,0.05371171713916871,0.022611533556121527,0.09347446550092779,42.22262572469978,312
craig_coreset,CRAIG-style,0.7159160985054058,0.7341103021539467,0.825764678869198,0.7909512363236568,0.05684093416971008,0.018194203648540817,0.11490813671066694,44.93438768413435,312
mvs_coreset,MVS coreset,0.7241353752652652,0.7342368873858284,0.825764678869198,0.7909512363236568,0.056714348937828465,0.010101512120563092,0.08766271816089055,40.02856046332279,312
goss_coreset,GOSS coreset,0.728374021925117,0.7379106573083961,0.825764678869198,0.7909512363236568,0.053040579015260755,0.009536635383279023,0.07672126028815227,49.731542219004965,312
gradmatch_coreset,GradMatch-style,0.7336075357981412,0.7316339534190562,0.825764678869198,0.7909512363236568,0.059317282904600595,-0.001973582379085078,0.1126907824660277,68.00717677920576,312
random,Random,0.7463813862257294,0.7424856709141369,0.825764678869198,0.7909512363236568,0.04846556540951997,-0.003895715311592565,0.08726508888621297,38.308778125275175,312
herding,Herding,0.7523784449185313,0.7323120005345574,0.825764678869198,0.7909512363236568,0.0586392357890994,-0.020066444383973907,0.13782643192819613,54.917341346280175,312
gain_herding,Gain sketch,0.769768129566299,0.7482496572061732,0.825764678869198,0.7909512363236568,0.04270157911748361,-0.021518472360125853,0.06882233680408797,,312
gain_path_herding,Gain-path sketch,0.7715725679143316,0.7472898098969697,0.825764678869198,0.7909512363236568,0.0436614264266871,-0.02428275801736196,0.0685068180757476,,312
histdistill_refined,HistDistill-Refined,0.7728242099656756,0.7471074222401032,0.825764678869198,0.7909512363236568,0.04384381408355364,-0.02571678772557246,0.05994759612096379,24.497875738538575,312
histdistill_density,HistDistill-Density,0.7729416114113911,0.7470517803630204,0.825764678869198,0.7909512363236568,0.04389945596063631,-0.025889831048370508,0.06108224124191134,24.79916129789031,312
gain_path_refined,Legacy gain-path refined,0.7740931200587855,0.7478862421230981,0.825764678869198,0.7909512363236568,0.04306499420055868,-0.02620687793568741,0.06755519278711994,26.911439825131293,312
