dataset,method,method_label,budget,seed,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_0,524.9857132512053,0.8768034969974822,263.1037026589258,0.8404169721675215,888.8183544668892,0.9046225820268912,0.0,0.0,25.0,0.7909095490978103,0.0,0.7841201046308302,0.0,0.8985763101376955,0.0
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_1,380.68380626407065,0.6729959338755377,197.70647059265343,0.7877416974532901,483.76975159268034,0.49237174231709796,0.0,0.0,25.0,0.5378184275763032,0.0,0.6992419174740656,0.0,0.9508762465548516,0.0
adult,histdistill_greedy,HistDistill-Greedy,budget_25,seed_2,329.51476282914996,0.6360119572690793,193.48215815542116,0.7427584192682691,483.76975159268034,0.49237174231709796,0.04,0.0300537111565593,25.0,0.5318348858737003,0.0,0.7034885429805193,0.0,0.8568231423745062,0.08333333333333333
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_0,336.61246791443983,0.6261747858002261,187.87011117001373,0.6968284458495967,483.76975159268034,0.49237174231709796,0.04,0.015843329605116942,25.0,0.5434613657600197,0.0,0.6549303281001734,0.0,0.7886634743865361,0.08333333333333333
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_1,374.0829158697954,0.6374554986696548,187.3209230023339,0.7617402968751966,483.76975159268034,0.49237174231709796,0.0,0.0,25.0,0.5378184275763032,0.0,0.6398825664965849,0.0,0.9362795626688101,0.0
adult,histdistill_greedy,HistDistill-Greedy,budget_50,seed_2,328.7992053706866,0.6357810433592808,193.4119252650597,0.7467976860228702,483.76975159268034,0.49237174231709796,0.04,0.0300537111565593,25.0,0.5318348858737003,0.0,0.7235479938737817,0.0,0.8518653141844167,0.08333333333333333
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_0,85.60970724581458,0.18174894851892506,54.551753403285694,0.36428009726858707,190.2839959802684,0.19366746748306204,0.28,0.3716402763749004,25.0,0.11893375996388822,0.2,0.32629592709162514,0.375,0.49183051793018623,0.25
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_1,33.10927877775218,0.1817139572768578,53.43434573921955,0.5109219078854559,0.0,0.0,0.28,0.6996133707418126,25.0,0.04686976826646357,0.6,0.602824734340508,0.25,0.6430084150900014,0.16666666666666666
adult,histdistill_refined,HistDistill-Refined,budget_25,seed_2,157.65889242090265,0.381171465330027,115.93400222964944,0.5396885867226607,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.5807727907012532,0.0,0.6832158932114109,0.08333333333333333
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_0,87.73948445871906,0.19097997128335914,57.320448914334975,0.3657831044136745,190.2839959802684,0.19366746748306204,0.24,0.3449325728219927,25.0,0.11893375996388822,0.2,0.29204508540258645,0.375,0.5177956772751441,0.16666666666666666
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_1,16.096138481322033,0.11585640610848005,34.104071601978376,0.4285629054113975,0.0,0.0,0.4,0.8298367723769562,25.0,0.05011655225377735,0.8,0.47035814035469836,0.375,0.5583853959315386,0.25
adult,histdistill_refined,HistDistill-Refined,budget_50,seed_2,127.22754779441102,0.2245898038018458,68.30940189128737,0.3112578426062875,219.33384117567027,0.2232338528261146,0.32,0.20792721193943342,25.0,0.15507564369241975,0.0,0.18337753893908149,0.5,0.4615872945985364,0.3333333333333333
adult,histdistill_density,HistDistill-Density,budget_25,seed_0,35.742796440538235,0.1309953458467221,39.329033724864225,0.34878669986994204,0.0,0.0,0.36,0.633705987936094,25.0,0.0414667729706634,0.6,0.32629592709162514,0.375,0.49183051793018623,0.25
adult,histdistill_density,HistDistill-Density,budget_25,seed_1,71.7904557558601,0.24381902520671606,71.66320434537714,0.541207684019739,0.0,0.0,0.2,0.5142016281340529,25.0,0.07924384652090896,0.4,0.602824734340508,0.25,0.6926145827637386,0.08333333333333333
adult,histdistill_density,HistDistill-Density,budget_25,seed_2,154.47054998942963,0.3664512141506987,111.45681076001082,0.5188117910122935,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.545724520327897,0.0,0.6630880823970496,0.08333333333333333
adult,histdistill_density,HistDistill-Density,budget_50,seed_0,85.51818073982125,0.17520152314541126,52.5879593900782,0.3306297669883553,190.2839959802684,0.19366746748306204,0.24,0.3449325728219927,25.0,0.11893375996388822,0.2,0.20613552244053146,0.375,0.5018325996137658,0.16666666666666666
adult,histdistill_density,HistDistill-Density,budget_50,seed_1,14.969793227443056,0.10591141365719989,31.185052796002097,0.40278961796635804,0.0,0.0,0.4,0.8298367723769562,25.0,0.05011655225377735,0.8,0.38981661708895,0.375,0.5583853959315386,0.25
adult,histdistill_density,HistDistill-Density,budget_50,seed_2,127.22754779441102,0.2245898038018458,68.30940189128737,0.3112578426062875,219.33384117567027,0.2232338528261146,0.32,0.20792721193943342,25.0,0.15507564369241975,0.0,0.18337753893908149,0.5,0.4615872945985364,0.3333333333333333
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_0,86.56063817075183,0.18598951401698274,55.8236422241018,0.371867111014096,190.2839959802684,0.19366746748306204,0.24,0.34159479996603637,25.0,0.14702867472792186,0.0,0.32629592709162514,0.375,0.4959305820816491,0.25
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_1,78.91186536210218,0.25500268399096204,74.94579208697301,0.543235516571375,0.0,0.0,0.2,0.5142016281340529,25.0,0.13624429789812387,0.4,0.5735364289536116,0.25,0.6926145827637386,0.08333333333333333
adult,gain_path_refined,Legacy gain-path refined,budget_25,seed_2,150.13416607357695,0.3442866536255495,104.7154189112873,0.4799245189915734,190.2839959802684,0.19366746748306204,0.04,0.00013151326030303974,25.0,0.12948832478391276,0.0,0.5138138684748853,0.0,0.6033467002558907,0.08333333333333333
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_0,87.57157826852297,0.18877316782843262,56.658554021933234,0.35619889527480647,190.2839959802684,0.19366746748306204,0.24,0.3449325728219927,25.0,0.11893375996388822,0.2,0.29204508540258645,0.375,0.49782857490250243,0.16666666666666666
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_1,16.096138481322033,0.11585640610848005,34.104071601978376,0.4285629054113975,0.0,0.0,0.4,0.8298367723769562,25.0,0.05011655225377735,0.8,0.47035814035469836,0.375,0.5583853959315386,0.25
adult,gain_path_refined,Legacy gain-path refined,budget_50,seed_2,138.09319963399713,0.24524078913819178,74.59043706257303,0.3200171038986028,219.33384117567027,0.2232338528261146,0.28,0.14340842976005225,25.0,0.15507564369241975,0.0,0.18337753893908149,0.5,0.4798357556241933,0.25
adult,herding,Herding,budget_25,seed_0,310.1548103709177,0.5269003934634544,158.07432946408449,0.5776449414116361,652.8301678574228,0.664438250070173,0.0,0.0,25.0,0.3713689577920524,0.0,0.5436081190047587,0.0,0.6862844828577143,0.0
adult,herding,Herding,budget_25,seed_1,399.43448403742224,0.6519979361187007,191.47042622030438,0.6701539536716882,652.8301678574228,0.664438250070173,0.0,0.0,25.0,0.5839346799993055,0.0,0.6167114887132455,0.0,0.741706961007476,0.0
adult,herding,Herding,budget_25,seed_2,367.46472530695786,0.6344518173996285,192.969687144153,0.648462414943937,652.8301678574228,0.664438250070173,0.08,0.018198130796676745,25.0,0.5768416023462513,0.0,0.6253974259893303,0.125,0.6936810794960437,0.08333333333333333
adult,herding,Herding,budget_50,seed_0,305.38767516603315,0.5115307665958787,153.46445924702533,0.5618026894153312,646.8527128547632,0.658354508942101,0.0,0.0,25.0,0.3689354613408236,0.0,0.4894806067232215,0.0,0.6903787562411158,0.0
adult,herding,Herding,budget_50,seed_1,390.53607534150615,0.636262549944169,186.8518316474302,0.6631833318440417,646.8527128547632,0.658354508942101,0.0,0.0,25.0,0.5172653241326396,0.0,0.6277251512313209,0.0,0.7476212887989396,0.0
adult,herding,Herding,budget_50,seed_2,354.55192080237447,0.6010289441008949,182.8040587590856,0.6204222814067449,646.8527128547632,0.658354508942101,0.08,0.018198130796676745,25.0,0.4661793863045304,0.0,0.6204677025408416,0.125,0.6846598736099364,0.08333333333333333
adult,random,Random,budget_25,seed_0,290.20277316101374,0.5269438939342171,158.08737672452386,0.6021709579350706,503.3792239377591,0.5123298939639888,0.0,0.0,25.0,0.35062234170209583,0.0,0.6720152671334991,0.0,0.6604200085665245,0.0
adult,random,Random,budget_25,seed_1,191.84657967955815,0.37952103155641476,111.4939745027233,0.5818695384832911,190.2839959802684,0.19366746748306204,0.08,0.06541136763054349,25.0,0.13311311567832193,0.0,0.611329072591369,0.125,0.7492116919133099,0.08333333333333333
adult,random,Random,budget_25,seed_2,178.15370122692795,0.42903810185925845,130.49272776620285,0.5805065808512248,0.0,0.0,0.12,0.2585628235891197,25.0,0.19350311826795727,0.4,0.6799630037216813,0.0,0.6754537416806153,0.08333333333333333
adult,random,Random,budget_50,seed_0,270.211036936031,0.5261972189130492,157.86342366622506,0.6117482129867531,378.98724448445387,0.38572607995524355,0.04,0.0720075160282585,25.0,0.48622148363112067,0.0,0.6739473819608355,0.0,0.622584904235545,0.08333333333333333
adult,random,Random,budget_50,seed_1,159.4433244415555,0.279407540953222,82.10901888467943,0.4310432777753998,190.2839959802684,0.19366746748306204,0.12,0.07914751146029238,25.0,0.13311311567832193,0.0,0.29562805020765714,0.25,0.645457663694344,0.08333333333333333
adult,random,Random,budget_50,seed_2,166.54488677282535,0.3100608269442835,94.30557077813295,0.35858236841949487,190.2839959802684,0.19366746748306204,0.28,0.13933023053836774,25.0,0.1351027921723457,0.0,0.3414755825175945,0.375,0.463103382457074,0.3333333333333333
adult,goss_coreset,GOSS coreset,budget_25,seed_0,452.68173419631086,0.8082214058939233,242.45200289817546,0.8280952795127707,340.1232475807601,0.3461710358337799,0.0,0.0,25.0,0.7112231412626278,0.0,0.8411712985255095,0.0,0.8680746577751711,0.0
adult,goss_coreset,GOSS coreset,budget_25,seed_1,235.97986409503835,0.5218620675358945,153.45009818326793,0.7989766347014085,0.0,0.0,0.12,0.361577985845716,25.0,0.5858933602127048,0.4,0.7662783183414849,0.125,0.9095602099783172,0.0
adult,goss_coreset,GOSS coreset,budget_25,seed_2,127.30125114160506,0.23324649151595003,70.94234938088866,0.2940292894955458,190.2839959802684,0.19366746748306204,0.4,0.31681977541994977,25.0,0.12948832478391276,0.0,0.25618962517912924,0.5,0.38781446766967065,0.5
adult,goss_coreset,GOSS coreset,budget_50,seed_0,203.97711661148995,0.4139701603784274,124.2714812597506,0.563917526661227,340.1232475807601,0.3461710358337799,0.0,0.0,25.0,0.22418792436963328,0.0,0.5919804706312944,0.0,0.6867628983026793,0.0
adult,goss_coreset,GOSS coreset,budget_50,seed_1,72.23093472374464,0.19443211263773955,57.236791772336986,0.46354393414557266,0.0,0.0,0.24,0.4335542756174108,25.0,0.07059593231339222,0.4,0.46681804007412775,0.25,0.625089530956611,0.16666666666666666
adult,goss_coreset,GOSS coreset,budget_50,seed_2,213.9682026458693,0.394772080118373,120.09443441602096,0.46938045488754027,378.98724448445387,0.38572607995524355,0.12,0.10196459832538006,25.0,0.2814507479812674,0.0,0.3677037900144864,0.25,0.6154689426805232,0.08333333333333333
adult,mvs_coreset,MVS coreset,budget_25,seed_0,34.25256345899535,0.18082102639097702,54.273438215920805,0.4966435012558696,0.0,0.0,0.4,0.7700729809486792,25.0,0.021973522250961743,0.8,0.5019269096872925,0.375,0.6909003868869658,0.25
adult,mvs_coreset,MVS coreset,budget_25,seed_1,33.02963878710872,0.17417963288197247,51.22289764544397,0.49163854230664883,0.0,0.0,0.4,0.7944404087192457,25.0,0.09374424555124146,0.8,0.4442692715712987,0.375,0.6890073464449689,0.25
