dataset,method,budget,seed,auroc,method_label,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
adult,craig_coreset,budget_25,seed_0,0.6571886098372115,CRAIG-style,573.4703379649163,0.9711345661173765,291.2760571010045,0.8853787289006035,977.5117372865983,0.9948930366949756,0.04,0.00023951682715446832,25.0,0.9950770979118401,0.0,0.9470158096133131,0.0,0.7985796880041156,0.08333333333333333
adult,craig_coreset,budget_25,seed_1,0.7005650475122798,CRAIG-style,141.42881000825415,0.38369861907271935,112.72016512915611,0.6653882061157046,0.0,0.0,0.2,0.5317834364141801,25.0,0.26008395653392646,0.6,0.7419222502002845,0.125,0.7832422807183922,0.08333333333333333
adult,craig_coreset,budget_25,seed_2,0.6402690063883545,CRAIG-style,503.74663875697667,0.8755275384881227,266.31812743067576,0.808242584357578,831.7135048378799,0.8465023415322669,0.0,0.0,25.0,0.9028262747297271,0.0,0.8082365365338586,0.0,0.768836745251662,0.0
adult,craig_coreset,budget_50,seed_0,0.7435902281694162,CRAIG-style,188.3315753161686,0.34309494563957044,102.90576245959598,0.4494775071873839,340.1232475807601,0.3461710358337799,0.24,0.13669161654238574,25.0,0.4189050264429053,0.0,0.4831494263943137,0.25,0.43976809469296346,0.3333333333333333
adult,craig_coreset,budget_50,seed_1,0.764264505462705,CRAIG-style,423.3807971075185,0.6778668446381424,199.04844769782758,0.6777800362112335,979.8665156851365,0.9972896858013777,0.2,0.23875612014069383,25.0,0.7321058229029577,0.2,0.7580652415939203,0.125,0.6016208215012239,0.25
adult,craig_coreset,budget_50,seed_2,0.7319261050561069,CRAIG-style,367.25861120937196,0.6836791483637583,207.96708672731333,0.7139243446946391,559.6758437711615,0.5696275333940664,0.08,0.05332078569655203,25.0,0.6103684238161289,0.0,0.9098066287976099,0.0,0.6264844556587045,0.16666666666666666
adult,distribution_matching,budget_25,seed_0,0.7461738831670035,DistributionMatching,118.69235992608249,0.3198715044161489,95.97937309898278,0.543298073387386,0.0,0.0,0.24,0.4951023483000248,25.0,0.014131138853338165,0.8,0.516046181903206,0.25,0.781952223766026,0.0
adult,distribution_matching,budget_25,seed_1,0.7243544336514715,DistributionMatching,100.53458449667117,0.18934835689320217,55.67629642016397,0.42294723390221933,190.2839959802684,0.19366746748306204,0.28,0.2617861577214622,25.0,0.13311311567832193,0.0,0.3255790952722638,0.5,0.6086235422488135,0.25
adult,distribution_matching,budget_25,seed_2,0.7431787318409223,DistributionMatching,45.12460113629893,0.11336038817942384,34.47877055688921,0.25160595424548843,0.0,0.0,0.56,0.6995076995123947,25.0,0.004793744695236162,0.8,0.22027836177740898,0.5,0.37532943653681317,0.5
adult,distribution_matching,budget_50,seed_0,0.7573049891280899,DistributionMatching,293.66806173579045,0.43280798252889824,129.8528373904181,0.4047548639002225,538.5203447807553,0.5480958649439394,0.24,0.15630286928698234,25.0,0.39128343784482994,0.0,0.2840384198537554,0.375,0.49084558745428075,0.25
adult,distribution_matching,budget_50,seed_1,0.7283119201228132,DistributionMatching,130.80994574327866,0.23750660200832086,69.81153320817694,0.424112843418843,190.2839959802684,0.19366746748306204,0.12,0.07914751146029238,25.0,0.13311311567832193,0.0,0.35009169919835004,0.25,0.5947101594577221,0.08333333333333333
adult,distribution_matching,budget_50,seed_2,0.7222173624700757,DistributionMatching,123.16076444425352,0.21369833376152222,65.02367912160338,0.29695588773922216,190.2839959802684,0.19366746748306204,0.28,0.15897753588535768,25.0,0.12948832478391276,0.0,0.20497338625053102,0.5,0.4280557066297285,0.25
adult,el2n_coreset,budget_25,seed_0,0.5598591150518721,EL2N,464.87031389603345,0.7109662571191427,213.28189892263046,0.646271344936653,888.8183544668892,0.9046225820268912,0.16,0.1093005433520381,25.0,0.9262203231711783,0.0,0.49225377101807793,0.25,0.6323043199513174,0.16666666666666666
adult,el2n_coreset,budget_25,seed_1,0.6196942247037451,EL2N,615.3938507073714,0.9792695250270778,287.5300187604997,0.882817495629201,982.4546988218594,0.9999238898545838,0.0,0.0,25.0,0.9994695686820656,0.0,0.8801663359731517,0.0,0.8359799049612068,0.0
adult,el2n_coreset,budget_25,seed_2,0.46616322490836437,EL2N,435.08915749423056,0.73716059213508,224.2087498816396,0.6811840205519637,692.2736114573963,0.7045830441263687,0.24,0.12657194932451965,25.0,0.7267488898036872,0.0,0.5868561468896631,0.375,0.7250839074719457,0.25
adult,el2n_coreset,budget_50,seed_0,0.7442766575450779,EL2N,34.302398871788355,0.18288464172195676,54.89238615367582,0.4830810112692685,0.0,0.0,0.4,0.7734107538046355,25.0,0.0,1.0,0.5188341682821525,0.375,0.6605293279562079,0.16666666666666666
adult,el2n_coreset,budget_50,seed_1,0.6988779994156717,EL2N,171.4324940150754,0.33842865702083347,99.43268691108297,0.5453961848885648,219.33384117567027,0.2232338528261146,0.12,0.07914751146029238,25.0,0.15988947344383805,0.0,0.4714304433620252,0.25,0.755334475674894,0.08333333333333333
adult,el2n_coreset,budget_50,seed_2,0.7338050573923605,EL2N,168.97543826922706,0.3533875363869023,107.48346914147155,0.4589369926256438,190.2839959802684,0.19366746748306204,0.12,0.06325561595565671,25.0,0.12948832478391276,0.0,0.4066624366023051,0.125,0.6310569749085911,0.16666666666666666
adult,gain_herding,budget_25,seed_0,0.7502137036441309,Gain sketch,186.62125894085332,0.4080596147536514,122.4299660018734,0.5090219351108659,219.33384117567027,0.2232338528261146,0.0,0.0,25.0,0.179731632040593,0.0,0.5830672566410307,0.0,0.5968626803700365,0.0
adult,gain_herding,budget_25,seed_1,0.773816500776962,Gain sketch,176.0249418021844,0.3401101715124709,99.92623906284749,0.4790851365669836,190.2839959802684,0.19366746748306204,0.16,0.16082095232284915,25.0,0.24341879258418833,0.0,0.4368829958947645,0.25,0.605414207007961,0.16666666666666666
