dataset,seed,state,depth,dose_ratio,epsilon,margin,agreement,split_regret_norm
adult,seed_0,root,0,0.0,0.0,190.2839959802684,1.0,0.0
adult,seed_0,root,0,0.25,47.5709989950671,190.2839959802684,1.0,0.0
adult,seed_0,root,0,0.49,93.23915803033151,190.2839959802684,1.0,0.0
adult,seed_0,root,0,0.5,95.1419979901342,190.2839959802684,1.0,0.0
adult,seed_0,root,0,0.75,142.7129969852013,190.2839959802684,0.9609375,0.008027110219542307
adult,seed_0,root,0,1.0,190.2839959802684,190.2839959802684,0.7734375,0.04618765945655723
adult,seed_0,root,0,1.5,285.4259939704026,190.2839959802684,0.6484375,0.07777604909972735
adult,seed_0,root,0,2.0,380.5679919605368,190.2839959802684,0.5234375,0.1335504921691352
adult,seed_0,probe_depth_0,0,0.0,0.0,190.2839959802684,1.0,0.0
adult,seed_0,probe_depth_0,0,0.25,47.5709989950671,190.2839959802684,1.0,0.0
adult,seed_0,probe_depth_0,0,0.49,93.23915803033151,190.2839959802684,1.0,0.0
adult,seed_0,probe_depth_0,0,0.5,95.1419979901342,190.2839959802684,1.0,0.0
adult,seed_0,probe_depth_0,0,0.75,142.7129969852013,190.2839959802684,0.921875,0.015361258282606819
adult,seed_0,probe_depth_0,0,1.0,190.2839959802684,190.2839959802684,0.7421875,0.052932729971880706
adult,seed_0,probe_depth_0,0,1.5,285.4259939704026,190.2839959802684,0.640625,0.08341589239702778
adult,seed_0,probe_depth_0,0,2.0,380.5679919605368,190.2839959802684,0.6015625,0.10625189677531581
adult,seed_0,probe_depth_1,1,0.0,0.0,199.86838571230544,1.0,0.0
adult,seed_0,probe_depth_1,1,0.25,49.96709642807636,199.86838571230544,1.0,0.0
adult,seed_0,probe_depth_1,1,0.49,97.93550899902966,199.86838571230544,1.0,0.0
adult,seed_0,probe_depth_1,1,0.5,99.93419285615272,199.86838571230544,1.0,0.0
adult,seed_0,probe_depth_1,1,0.75,149.90128928422908,199.86838571230544,0.8828125,0.04025429961408375
adult,seed_0,probe_depth_1,1,1.0,199.86838571230544,199.86838571230544,0.6953125,0.10652457898288142
adult,seed_0,probe_depth_1,1,1.5,299.80257856845816,199.86838571230544,0.515625,0.18743374732716694
adult,seed_0,probe_depth_1,1,2.0,399.7367714246109,199.86838571230544,0.375,0.24452934069324267
adult,seed_0,probe_depth_2,2,0.0,0.0,191.89768290323866,1.0,0.0
