dataset,seed,repeat,dose_ratio,auroc,agreement,root_agreement,split_regret_norm,injected_sld,node_count,n_estimators,max_candidates,train_rows,dose0_auroc,delta_auc_vs_dose0
adult,seed_0,0,0.0,0.9090429835620331,1.0,1.0,0.0,0.0,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,1,0.0,0.9090429835620331,1.0,1.0,0.0,0.0,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,2,0.0,0.9090429835620331,1.0,1.0,0.0,0.0,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,0,0.25,0.9090429835620331,1.0,1.0,0.0,0.7437878170279976,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,1,0.25,0.9090429835620331,1.0,1.0,0.0,0.7430059108386217,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,2,0.25,0.9090429835620331,1.0,1.0,0.0,0.7453176559684372,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,0,0.49,0.9090429835620331,1.0,1.0,0.0,1.4575561336458145,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,1,0.49,0.9090429835620331,1.0,1.0,0.0,1.4583791837900189,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,2,0.49,0.9090429835620331,1.0,1.0,0.0,1.4533114030643899,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,0,0.5,0.9090429835620331,1.0,1.0,0.0,1.4853243431911638,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,1,0.5,0.9090429835620331,1.0,1.0,0.0,1.48653797718897,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,2,0.5,0.9090429835620331,1.0,1.0,0.0,1.4899565988108954,546,80,192,12000,0.9090429835620331,0.0
adult,seed_0,0,0.75,0.9088498286792618,0.9410681399631676,0.9375,0.007936387616557666,2.3773648406786188,543,80,192,12000,0.9090429835620331,-0.00019315488277127368
adult,seed_0,1,0.75,0.9083653781684262,0.9284403669724771,0.9,0.013940163112648403,2.2738307050319113,545,80,192,12000,0.9090429835620331,-0.0006776053936068394
adult,seed_0,2,0.75,0.9091584943507408,0.9321100917431193,0.9625,0.010782631188147032,2.443143538503467,545,80,192,12000,0.9090429835620331,0.00011551078870775111
adult,seed_0,0,1.0,0.9094801875547808,0.7866419294990723,0.8,0.03787634382913267,3.511793611210904,539,80,192,12000,0.9090429835620331,0.0004372039927477145
adult,seed_0,1,1.0,0.9088199522045887,0.8092592592592592,0.775,0.03309917002261268,3.743730202003594,540,80,192,12000,0.9090429835620331,-0.00022303135744439206
adult,seed_0,2,1.0,0.9092594143029801,0.8505535055350554,0.9,0.0279336414001461,3.6329570760275245,542,80,192,12000,0.9090429835620331,0.00021643074094701564
adult,seed_0,0,1.5,0.9081743076908645,0.6827458256029685,0.7625,0.06333064309875837,5.845164375252394,539,80,192,12000,0.9090429835620331,-0.0008686758711685671
adult,seed_0,1,1.5,0.9086386089513392,0.6715867158671587,0.6,0.06066671008316687,6.10190138272268,542,80,192,12000,0.9090429835620331,-0.0004043746106938695
adult,seed_0,2,1.5,0.9093144773406047,0.6913123844731978,0.775,0.060965529409679066,6.350022015247368,541,80,192,12000,0.9090429835620331,0.0002714937785716076
adult,seed_0,0,2.0,0.9085632229629195,0.5471698113207547,0.55,0.1123950536223664,12.762226840949529,530,80,192,12000,0.9090429835620331,-0.0004797605991135878
adult,seed_0,1,2.0,0.9077956407444245,0.5454545454545454,0.5375,0.10632135997743415,9.461256758706943,539,80,192,12000,0.9090429835620331,-0.001247342817608521
adult,seed_0,2,2.0,0.9083563457458506,0.553072625698324,0.6375,0.0950965201403248,8.66353344486565,537,80,192,12000,0.9090429835620331,-0.0006866378161825004
adult,seed_1,0,0.0,0.9090429835620331,1.0,1.0,0.0,0.0,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,1,0.0,0.9090429835620331,1.0,1.0,0.0,0.0,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,2,0.0,0.9090429835620331,1.0,1.0,0.0,0.0,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,0,0.25,0.9090429835620331,1.0,1.0,0.0,0.7433233770292332,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,1,0.25,0.9090429835620331,1.0,1.0,0.0,0.7448378031848221,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,2,0.25,0.9090429835620331,1.0,1.0,0.0,0.7441074033030546,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,0,0.49,0.9090429835620331,1.0,1.0,0.0,1.4597512263164558,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,1,0.49,0.9090429835620331,1.0,1.0,0.0,1.4588824298801892,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,2,0.49,0.9090429835620331,1.0,1.0,0.0,1.455977995224788,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,0,0.5,0.9090429835620331,1.0,1.0,0.0,1.4853626946060074,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,1,0.5,0.9090429835620331,1.0,1.0,0.0,1.4896104058320598,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,2,0.5,0.9090429835620331,1.0,1.0,0.0,1.4828926519788739,546,80,192,12000,0.9090429835620331,0.0
adult,seed_1,0,0.75,0.9089330311872182,0.9297597042513863,0.9625,0.016416732482546364,2.448198311088927,541,80,192,12000,0.9090429835620331,-0.00010995237481481457
adult,seed_1,1,0.75,0.9095950035417518,0.9373848987108656,0.9125,0.009171931002443708,2.2231373012046665,543,80,192,12000,0.9090429835620331,0.0005520199797187653
