method,method_label,auroc,split_regret_norm,split_regret_agreement,n_cells,leaf_estimate_recovery,structure_error,leaf_population_l1,line_pred_auc,line_residual_auc
gain_path_herding,Gain-path sketch,0.7475394795993928,0.2511592391534878,0.10914020712999765,156,-0.02428275801736196,0.0436614264266871,0.0685068180757476,0.7398478066174963,0.007691672981896547
gain_path_refined,Legacy gain-path refined,0.7508829109835836,0.25240322806687315,0.11228891832218711,156,-0.02620687793568741,0.04306499420055868,0.06755519278711994,0.7387101958244049,0.012172715159178726
histdistill_density,HistDistill-Density,0.7507792935797425,0.25293543482183634,0.10666099753122285,156,-0.025889831048370508,0.04389945596063631,0.06108224124191134,0.7382235000491552,0.012555793530587334
histdistill_refined,HistDistill-Refined,0.7497965860601192,0.25507687710467536,0.10775876774688604,156,-0.02571678772557246,0.04384381408355364,0.05994759612096379,0.7362651804632434,0.013531405596875823
random,Random,0.7260337212234323,0.265058893120896,0.08093320298521847,156,-0.003895715311592565,0.04846556540951997,0.08726508888621297,0.7271367637750595,-0.001103042551627187
gain_herding,Gain sketch,0.749013145550742,0.2684118521620446,0.10536039719634158,156,-0.021518472360125853,0.04270157911748361,0.06882233680408797,0.7240705287363377,0.02494261681440435
herding,Herding,0.7338834691131261,0.2786600047892984,0.07077266619270668,156,-0.020066444383973907,0.0586392357890994,0.13782643192819613,0.7146987337689019,0.019184735344224157
distribution_matching,DistributionMatching,0.7027585876320478,0.29816637754990755,0.09031620314008978,156,0.03597850793703493,0.034919495901572326,0.23468415231850748,0.6968604235172924,0.005898164114755411
mvs_coreset,MVS coreset,0.6966969218997336,0.3007978749204237,0.09051195355037109,156,0.010101512120563092,0.056714348937828465,0.08766271816089055,0.6944539552775202,0.0022429666222134603
k_center,K-center,0.6967164073196991,0.31455247023670074,0.09081613102714141,156,0.02374793732743016,0.05427423363173048,0.19561842478767602,0.6818755665812599,0.014840840738439165
goss_coreset,GOSS coreset,0.6997033719614207,0.3174265064890622,0.06348122961615305,156,0.009536635383279023,0.053040579015260755,0.07672126028815227,0.6792472998618047,0.020456072099616085
gradmatch_coreset,GradMatch-style,0.7150375970164137,0.3242391705266889,0.0678806204503705,156,-0.001973582379085078,0.059317282904600595,0.1126907824660277,0.6730172120728244,0.042020384943589284
gradient_sampling,Gradient sampling,0.36560832110810704,0.3282771084502479,0.07489316022760839,156,0.37355270792391637,0.06790779317237276,0.13260356430182835,0.6693245732444184,-0.30371625213631137
el2n_coreset,EL2N,0.6864278688493511,0.3287081269832714,0.07398524983039154,156,0.022611533556121527,0.05371171713916871,0.09347446550092779,0.6689304127097754,0.017497456139575762
grand_coreset,GraNd,0.6864278688493511,0.3287081269832714,0.07398524983039154,156,0.022611533556121527,0.05371171713916871,0.09347446550092779,0.6689304127097754,0.017497456139575762
craig_coreset,CRAIG-style,0.6989721247117792,0.3345153372288148,0.07232275783895216,156,0.018194203648540817,0.05684093416971008,0.11490813671066694,0.6636197986182863,0.035352326093492814
histdistill_greedy,HistDistill-Greedy,0.6285237432807209,0.4373389069412056,0.03790203863430408,156,0.05374124604048201,0.09445992886269886,0.24263400162207502,0.5695890549112046,0.05893468836951632
