selector,dataset,budget,seed,chosen_method,best_method,top1,top3,rank_spearman,candidate_methods
split_regret,adult,budget_25,seed_0,histdistill_density,histdistill_density,1.0,1.0,-0.4723926380368098,17
split_regret,adult,budget_25,seed_1,mvs_coreset,gain_herding,0.0,0.0,-0.39386503067484663,17
split_regret,adult,budget_25,seed_2,distribution_matching,histdistill_refined,0.0,0.0,-0.3742331288343559,17
split_regret,adult,budget_50,seed_0,gradient_sampling,gain_herding,0.0,0.0,-0.27116564417177913,17
split_regret,adult,budget_50,seed_1,histdistill_density,gain_herding,0.0,0.0,-0.44649581598075405,17
split_regret,adult,budget_50,seed_2,gradient_sampling,gain_path_refined,0.0,0.0,-0.3265807859052556,17
split_regret,agaricus_lepiota,budget_25,seed_0,craig_coreset,gain_path_herding,0.0,0.0,-0.027663875144004136,17
split_regret,agaricus_lepiota,budget_25,seed_1,el2n_coreset,gain_herding,0.0,0.0,0.10085618407187175,17
split_regret,agaricus_lepiota,budget_25,seed_2,el2n_coreset,gain_herding,0.0,0.0,0.18553475305857514,17
split_regret,agaricus_lepiota,budget_50,seed_0,craig_coreset,craig_coreset,1.0,1.0,-0.2569921095945619,17
split_regret,agaricus_lepiota,budget_50,seed_1,craig_coreset,craig_coreset,1.0,1.0,-0.09392605020714954,17
split_regret,agaricus_lepiota,budget_50,seed_2,el2n_coreset,craig_coreset,0.0,0.0,-0.4391326932306471,17
split_regret,australian,budget_25,seed_0,distribution_matching,gain_path_refined,0.0,0.0,-0.550970098393672,17
split_regret,australian,budget_25,seed_1,random,gain_herding,0.0,1.0,-0.6061843886252714,17
split_regret,australian,budget_25,seed_2,gain_herding,gain_herding,1.0,1.0,-0.2550448360410994,17
split_regret,australian,budget_50,seed_0,gain_path_refined,gain_path_herding,0.0,0.0,-0.8305684152221878,17
split_regret,australian,budget_50,seed_1,k_center,histdistill_refined,0.0,0.0,-0.34445100697851466,17
split_regret,australian,budget_50,seed_2,craig_coreset,craig_coreset,1.0,1.0,-0.6618537642983082,17
split_regret,bank_marketing,budget_25,seed_0,gradmatch_coreset,gain_herding,0.0,0.0,-0.585276073619632,17
split_regret,bank_marketing,budget_25,seed_1,histdistill_density,gain_herding,0.0,1.0,-0.5828220858895705,17
split_regret,bank_marketing,budget_25,seed_2,herding,gain_path_herding,0.0,0.0,-0.10184049079754602,17
split_regret,bank_marketing,budget_50,seed_0,herding,gain_path_refined,0.0,0.0,0.12768572080506232,17
split_regret,bank_marketing,budget_50,seed_1,herding,histdistill_refined,0.0,0.0,-0.5018404907975461,17
split_regret,bank_marketing,budget_50,seed_2,herding,gain_path_herding,0.0,0.0,-0.34969325153374237,17
split_regret,breast_w,budget_25,seed_0,mvs_coreset,mvs_coreset,1.0,1.0,0.08973051212083387,17
split_regret,breast_w,budget_25,seed_1,el2n_coreset,craig_coreset,0.0,0.0,0.11134050093796649,17
split_regret,breast_w,budget_25,seed_2,random,mvs_coreset,0.0,0.0,-0.05386430644933846,17
split_regret,breast_w,budget_50,seed_0,histdistill_refined,mvs_coreset,0.0,0.0,-0.27612275398755765,17
split_regret,breast_w,budget_50,seed_1,histdistill_refined,el2n_coreset,0.0,0.0,0.18343039657357152,17
split_regret,breast_w,budget_50,seed_2,distribution_matching,mvs_coreset,0.0,0.0,0.2226509956254123,17
split_regret,credit_approval,budget_25,seed_0,k_center,distribution_matching,0.0,0.0,0.20155258750862265,17
split_regret,credit_approval,budget_25,seed_1,distribution_matching,histdistill_refined,0.0,0.0,-0.27469696624080203,17
split_regret,credit_approval,budget_25,seed_2,distribution_matching,histdistill_density,0.0,0.0,-0.4159631074367849,17
split_regret,credit_approval,budget_50,seed_0,gradient_sampling,el2n_coreset,0.0,0.0,0.34143125165525234,17
split_regret,credit_approval,budget_50,seed_1,craig_coreset,random,0.0,0.0,-0.5560769962575967,17
split_regret,credit_approval,budget_50,seed_2,gradient_sampling,gain_path_refined,0.0,0.0,0.408498672756928,17
split_regret,credit_g,budget_25,seed_0,gradient_sampling,gain_path_refined,0.0,0.0,-0.206261548992793,17
split_regret,credit_g,budget_25,seed_1,herding,gain_path_refined,0.0,1.0,-0.5438920607369482,17
split_regret,credit_g,budget_25,seed_2,gradient_sampling,gain_herding,0.0,0.0,-0.42357282382448563,17
split_regret,credit_g,budget_50,seed_0,histdistill_refined,gain_herding,0.0,0.0,-0.5758134909382138,17
split_regret,credit_g,budget_50,seed_1,herding,herding,1.0,1.0,-0.30552147239263805,17
split_regret,credit_g,budget_50,seed_2,histdistill_density,herding,0.0,0.0,-0.43803680981595094,17
split_regret,diabetes,budget_25,seed_0,gain_herding,gain_path_refined,0.0,0.0,-0.6720352769644787,17
split_regret,diabetes,budget_25,seed_1,gain_path_refined,gain_path_refined,1.0,1.0,-0.3294313576598962,17
split_regret,diabetes,budget_25,seed_2,distribution_matching,gain_path_refined,0.0,0.0,0.21274456395962632,17
split_regret,diabetes,budget_50,seed_0,goss_coreset,histdistill_refined,0.0,0.0,-0.03810701007834945,17
split_regret,diabetes,budget_50,seed_1,herding,gain_path_refined,0.0,0.0,-0.33375454392779214,17
split_regret,diabetes,budget_50,seed_2,distribution_matching,gain_path_herding,0.0,0.0,-0.5951996209975026,17
split_regret,electricity,budget_25,seed_0,gradient_sampling,gain_path_herding,0.0,0.0,-0.29470148836093896,17
split_regret,electricity,budget_25,seed_1,k_center,gain_path_herding,0.0,0.0,-0.551942599341743,17
split_regret,electricity,budget_25,seed_2,gradient_sampling,gain_path_herding,0.0,0.0,-0.16564114402342278,17
split_regret,electricity,budget_50,seed_0,histdistill_greedy,gain_path_herding,0.0,0.0,0.173010876001978,17
split_regret,electricity,budget_50,seed_1,histdistill_greedy,gain_herding,0.0,0.0,-0.18363427738006388,17
split_regret,electricity,budget_50,seed_2,histdistill_greedy,histdistill_refined,0.0,0.0,0.4693192155608269,17
split_regret,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_25,seed_0,gradient_sampling,gradient_sampling,1.0,1.0,-0.22140480531656634,17
split_regret,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_25,seed_1,distribution_matching,k_center,0.0,0.0,0.21717791411042944,17
split_regret,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_25,seed_2,el2n_coreset,histdistill_greedy,0.0,0.0,0.49508636868208944,17
split_regret,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_50,seed_0,el2n_coreset,distribution_matching,0.0,1.0,-0.12561662087881736,17
split_regret,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_50,seed_1,distribution_matching,gradient_sampling,0.0,0.0,0.6689427026107925,17
split_regret,gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,budget_50,seed_2,distribution_matching,el2n_coreset,0.0,0.0,-0.44403578393678295,17
split_regret,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_25,seed_0,gain_herding,gain_path_herding,0.0,0.0,0.4368835789690235,17
split_regret,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_25,seed_1,gain_herding,herding,0.0,0.0,-0.15857433226151868,17
split_regret,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_25,seed_2,gain_herding,herding,0.0,1.0,-0.2633743593627409,17
split_regret,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_50,seed_0,random,gradmatch_coreset,0.0,0.0,0.26733676519711314,17
split_regret,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_50,seed_1,gain_path_refined,histdistill_refined,0.0,1.0,-0.40257077061389224,17
split_regret,gametes_epistasis_2_way_20atts_0_1h_edm_1_1,budget_50,seed_2,craig_coreset,gain_path_refined,0.0,0.0,0.619686075215641,17
split_regret,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_25,seed_0,el2n_coreset,gain_path_refined,0.0,0.0,-0.3084563273969065,17
split_regret,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_25,seed_1,k_center,gradmatch_coreset,0.0,1.0,-0.4027689238439746,17
split_regret,gametes_epistasis_2_way_20atts_0_4h_edm_1_1,budget_25,seed_2,el2n_coreset,gain_path_refined,0.0,0.0,0.07616713364339837,17
