kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\craig_coreset\budget_25\seed_0\catboost\metrics.json,adult,craig_coreset,budget_25,seed_0,catboost,0.7325,0.5677631448672043,sklearn_hist_gradient_boosting,0.5899953241441512,50,0.09160189999965951
downstream,adult\craig_coreset\budget_25\seed_0\lightgbm\metrics.json,adult,craig_coreset,budget_25,seed_0,lightgbm,0.75125,0.7235951890538156,lightgbm,0.49267917184897064,50,0.015105899998161476
downstream,adult\craig_coreset\budget_25\seed_0\mlp\metrics.json,adult,craig_coreset,budget_25,seed_0,mlp,0.23525,0.5,sklearn_mlp,10.565411939507982,50,0.04830019999644719
downstream,adult\craig_coreset\budget_25\seed_0\random_forest\metrics.json,adult,craig_coreset,budget_25,seed_0,random_forest,0.78425,0.8145457785757191,sklearn_random_forest,0.5277865887969467,50,0.4083816000056686
downstream,adult\craig_coreset\budget_25\seed_0\xgboost\metrics.json,adult,craig_coreset,budget_25,seed_0,xgboost,0.6745,0.6800389366893184,xgboost,0.6028270361222133,50,0.030375599999388214
downstream,adult\craig_coreset\budget_25\seed_1\catboost\metrics.json,adult,craig_coreset,budget_25,seed_1,catboost,0.762,0.7139723587025133,sklearn_hist_gradient_boosting,0.5145093764487595,50,0.07749380000313977
downstream,adult\craig_coreset\budget_25\seed_1\lightgbm\metrics.json,adult,craig_coreset,budget_25,seed_1,lightgbm,0.7465,0.6718937759313035,lightgbm,0.5304784982857877,50,0.01355380000313744
downstream,adult\craig_coreset\budget_25\seed_1\mlp\metrics.json,adult,craig_coreset,budget_25,seed_1,mlp,0.791,0.5621526208442605,sklearn_mlp,2.8779766027473888,50,0.04462989999592537
downstream,adult\craig_coreset\budget_25\seed_1\random_forest\metrics.json,adult,craig_coreset,budget_25,seed_1,random_forest,0.782,0.8045875326860791,sklearn_random_forest,0.550148651643072,50,0.394628099995316
downstream,adult\craig_coreset\budget_25\seed_1\xgboost\metrics.json,adult,craig_coreset,budget_25,seed_1,xgboost,0.68775,0.7502189493972421,xgboost,0.5956587660865879,50,0.027035999999498017
downstream,adult\craig_coreset\budget_25\seed_2\catboost\metrics.json,adult,craig_coreset,budget_25,seed_2,catboost,0.54325,0.6014759673290327,sklearn_hist_gradient_boosting,0.7072718928416232,50,0.06626300000061747
downstream,adult\craig_coreset\budget_25\seed_2\lightgbm\metrics.json,adult,craig_coreset,budget_25,seed_2,lightgbm,0.60575,0.5644939289961262,lightgbm,0.6966466464684381,50,0.013719999995373655
downstream,adult\craig_coreset\budget_25\seed_2\mlp\metrics.json,adult,craig_coreset,budget_25,seed_2,mlp,0.77675,0.5266084747052218,sklearn_mlp,3.0813783951227984,50,0.027311999998346437
downstream,adult\craig_coreset\budget_25\seed_2\random_forest\metrics.json,adult,craig_coreset,budget_25,seed_2,random_forest,0.626,0.7771760408737964,sklearn_random_forest,0.6520777749376214,50,0.3899980999995023
downstream,adult\craig_coreset\budget_25\seed_2\xgboost\metrics.json,adult,craig_coreset,budget_25,seed_2,xgboost,0.60575,0.7315906200375958,xgboost,0.7399130336660328,50,0.02030969999759691
downstream,adult\craig_coreset\budget_50\seed_0\catboost\metrics.json,adult,craig_coreset,budget_50,seed_0,catboost,0.6755,0.7248715398439268,sklearn_hist_gradient_boosting,0.7007406609046962,100,0.1275307999967481
downstream,adult\craig_coreset\budget_50\seed_0\lightgbm\metrics.json,adult,craig_coreset,budget_50,seed_0,lightgbm,0.696,0.7720781068320202,lightgbm,0.6340148127898461,100,0.019114700000500306
downstream,adult\craig_coreset\budget_50\seed_0\mlp\metrics.json,adult,craig_coreset,budget_50,seed_0,mlp,0.795,0.5794679486221908,sklearn_mlp,2.8236183347172084,100,0.07358189999649767
downstream,adult\craig_coreset\budget_50\seed_0\random_forest\metrics.json,adult,craig_coreset,budget_50,seed_0,random_forest,0.7815,0.8403194489944308,sklearn_random_forest,0.5257060194296443,100,0.48956149999867193
downstream,adult\craig_coreset\budget_50\seed_0\xgboost\metrics.json,adult,craig_coreset,budget_50,seed_0,xgboost,0.73675,0.8012140965545129,xgboost,0.5197947931838196,100,0.017399699994712137
