method,learner,rank
ablation_full,catboost,54.0
ablation_full,lightgbm,52.8
ablation_full,mlp,47.7
ablation_full,random_forest,53.6
ablation_full,xgboost,56.5
ablation_no_child,catboost,55.8
ablation_no_child,lightgbm,53.4
ablation_no_child,mlp,47.7
ablation_no_child,random_forest,53.2
ablation_no_child,xgboost,56.8
ablation_no_entropy_anneal,catboost,54.8
ablation_no_entropy_anneal,lightgbm,55.4
ablation_no_entropy_anneal,mlp,58.6
ablation_no_entropy_anneal,random_forest,53.0
ablation_no_entropy_anneal,xgboost,58.6
ablation_no_gain,catboost,53.4
ablation_no_gain,lightgbm,53.8
ablation_no_gain,mlp,51.2
ablation_no_gain,random_forest,53.8
ablation_no_gain,xgboost,56.4
ablation_no_hist,catboost,52.6
ablation_no_hist,lightgbm,52.0
ablation_no_hist,mlp,45.9
ablation_no_hist,random_forest,48.2
ablation_no_hist,xgboost,57.6
ablation_no_margin,catboost,57.0
ablation_no_margin,lightgbm,57.0
ablation_no_margin,mlp,51.0
ablation_no_margin,random_forest,54.2
ablation_no_margin,xgboost,60.2
ablation_no_marginal,catboost,57.0
ablation_no_marginal,lightgbm,56.0
ablation_no_marginal,mlp,48.3
ablation_no_marginal,random_forest,52.2
ablation_no_marginal,xgboost,59.5
ablation_no_newton,catboost,51.8
ablation_no_newton,lightgbm,49.4
ablation_no_newton,mlp,32.5
ablation_no_newton,random_forest,51.6
ablation_no_newton,xgboost,55.7
ablation_no_pairwise,catboost,49.6
ablation_no_pairwise,lightgbm,48.6
ablation_no_pairwise,mlp,41.0
ablation_no_pairwise,random_forest,53.0
ablation_no_pairwise,xgboost,53.7
craig_coreset,catboost,23.403846153846153
craig_coreset,lightgbm,23.76923076923077
craig_coreset,mlp,22.76923076923077
craig_coreset,random_forest,21.307692307692307
craig_coreset,xgboost,25.942307692307693
distribution_matching,catboost,16.778846153846153
distribution_matching,lightgbm,17.048076923076923
distribution_matching,mlp,15.634615384615385
distribution_matching,random_forest,18.403846153846153
distribution_matching,xgboost,20.177884615384617
el2n_coreset,catboost,21.442307692307693
el2n_coreset,lightgbm,20.403846153846153
