method,auroc_mean,auroc_std,accuracy_mean,log_loss_mean,train_seconds_mean,n_cells,avg_rank
full_data,0.8704131840587491,0.12280683771545965,0.8507606821573886,0.5989900918025743,1.1964749745833652,240,2.1395833333333334
gain_path_refined,0.8349517973620346,0.11756605190674063,0.7703788570342635,0.9181517838493595,0.21739110166642298,240,4.458333333333333
gain_path_safeguarded,0.8336168961340494,0.11924962618201833,0.7705507716198589,0.9165475331113994,0.2114941437503148,240,4.541666666666667
gain_herding,0.8289552141627335,0.12284609848001807,0.7638210755664985,0.9061773205142082,0.21807658833404273,240,4.63125
gain_path_herding,0.8288591478631392,0.12779537124651022,0.7707026752509745,0.8595947602782666,0.25949421999969974,240,4.6625
gain_path_prior_weighted,0.824061525331242,0.13102412932276317,0.8157403746261429,0.7372276305815884,0.2918759724998684,240,5.179166666666666
herding,0.8145560778921307,0.12312356852204955,0.7439055109868884,0.9488169652472743,0.22940032416663594,240,6.210416666666666
random,0.8026788175371329,0.13315329416658256,0.738160454880429,1.020157737597647,0.2199277441665496,240,7.225
distribution_matching,0.7938717735926898,0.12694232707750683,0.7261182835217542,1.0929930372512837,0.2503666233333244,240,7.979166666666667
k_center,0.7509901324433211,0.1539442152228641,0.6392781407023693,1.118800973516144,0.486432536249985,240,8.4
gaindistill,0.5133116335160632,0.14188978052065135,0.5449814841818988,2.694223767592594,0.2349283912499686,240,10.572916666666666
