method,root_agreement,top5_overlap,gain_rank_correlation,n_cells
full_data,0.5416666666666666,0.6833333333333332,0.9333325047610601,48
gain_path_safeguarded,0.0,0.11666666666666668,0.3474359671936445,48
gain_path_refined,0.0,0.1125,0.3453590966513291,48
gain_path_prior_weighted,0.0625,0.13333333333333333,0.34092160578960656,48
gain_path_herding,0.020833333333333332,0.12916666666666668,0.3372610653541966,48
herding,0.0,0.11666666666666668,0.3135282818479527,48
gain_herding,0.041666666666666664,0.15416666666666667,0.29832763924362876,48
k_center,0.1875,0.17083333333333336,0.273026764195705,48
random,0.125,0.12916666666666668,0.26745274941249303,48
distribution_matching,0.0,0.07916666666666668,0.14102228897766325,48
gaindistill,0.10416666666666667,0.09583333333333334,0.006629329885346692,48
