method,comparator,n_pairs,mean_diff,median_diff,wins,ties,losses,wilcoxon_p
full_data,gain_herding,240,0.04145796989601562,0.030934801308889148,198,2,40,1.0753062151632709e-26
gain_path_refined,gain_herding,240,0.005996583199301185,4.788137057093467e-05,120,1,119,0.044442449140982825
gain_path_safeguarded,gain_herding,240,0.00466168197131589,-0.00016816286466775354,117,1,122,0.07724611120406512
gain_path_herding,gain_herding,240,-9.606629959434953e-05,0.00028639066467300855,121,3,116,0.2572844047607127
gain_path_prior_weighted,gain_herding,240,-0.004893688831491446,-0.0013062793117173954,109,1,130,0.20536802778901686
herding,gain_herding,240,-0.014399136270602794,-0.008036128637301965,69,0,171,1.939187506964007e-08
random,gain_herding,240,-0.026276396625600558,-0.018465701915115484,54,0,186,1.1229085053783615e-18
distribution_matching,gain_herding,240,-0.035083440570043624,-0.028215897481518426,36,0,204,1.6921020937517112e-26
k_center,gain_herding,240,-0.07796508171941244,-0.061488095238095175,38,1,201,1.3609131798386122e-31
gaindistill,gain_herding,240,-0.3156435806466702,-0.32264181643040335,5,2,233,1.5258241967586288e-40
full_data,gain_path_herding,240,0.041554036195609975,0.030194765768536358,207,2,31,2.56576738147611e-27
gain_path_refined,gain_path_herding,240,0.0060926494988955355,3.152662879762902e-05,120,2,118,0.2910997975305276
gain_path_safeguarded,gain_path_herding,240,0.0047577482709102396,0.0,103,32,105,0.25609693224110897
gain_herding,gain_path_herding,240,9.606629959434953e-05,-0.00028639066467300855,116,3,121,0.2572844047607127
gain_path_prior_weighted,gain_path_herding,240,-0.004797622531897097,-0.0004528985507245009,102,8,130,0.01153009699297196
herding,gain_path_herding,240,-0.014303069971008444,-0.009991851297313059,85,0,155,9.628713113758973e-08
random,gain_path_herding,240,-0.026180330326006213,-0.018926925620701862,48,0,192,9.360287610224593e-20
distribution_matching,gain_path_herding,240,-0.03498737427044927,-0.034219560681353844,30,1,209,1.5778477739388634e-26
k_center,gain_path_herding,240,-0.07786901541981808,-0.0579365079365079,33,0,207,3.6197909260649026e-30
gaindistill,gain_path_herding,240,-0.31554751434707584,-0.31915687984345087,10,0,230,4.446974987673652e-40
full_data,herding,240,0.05585710616661842,0.04109868733665961,210,0,30,1.3577028061701247e-31
gain_path_refined,herding,240,0.02039571946990398,0.012215299777420308,165,1,74,3.208620714601498e-12
gain_path_safeguarded,herding,240,0.019060818241918683,0.012215299777420308,164,1,75,1.3690153010532967e-11
gain_herding,herding,240,0.014399136270602794,0.008036128637301965,171,0,69,1.939187506964007e-08
gain_path_herding,herding,240,0.014303069971008444,0.009991851297313059,155,0,85,9.628713113758973e-08
gain_path_prior_weighted,herding,240,0.009505447439111348,0.009604921675124278,153,0,87,7.302378047297715e-06
random,herding,240,-0.01187726035499777,-0.006153822814505605,96,1,143,0.0009696249719117854
distribution_matching,herding,240,-0.02068430429944083,-0.016141872782496902,72,1,167,1.8169943352766125e-13
k_center,herding,240,-0.06356594544880964,-0.05274723241478835,54,0,186,1.010941290381621e-26
gaindistill,herding,240,-0.3012444443760674,-0.29891985314455655,7,0,233,1.6269748233856043e-40
full_data,random,240,0.06773436652161617,0.05590675790248134,226,1,13,6.367067682541671e-36
gain_path_refined,random,240,0.03227297982490175,0.018854574175122707,199,2,39,1.7504369123402667e-25
gain_path_safeguarded,random,240,0.03093807859691645,0.017307165917186285,195,2,43,3.579887720968164e-24
gain_herding,random,240,0.026276396625600558,0.018465701915115484,186,0,54,1.1229085053783615e-18
gain_path_herding,random,240,0.026180330326006213,0.018926925620701862,192,0,48,9.360287610224593e-20
gain_path_prior_weighted,random,240,0.02138270779410912,0.013567548054544964,176,3,61,1.5339855052422175e-13
herding,random,240,0.01187726035499777,0.006153822814505605,143,1,96,0.0009696249719117854
distribution_matching,random,240,-0.00880704394444306,-0.007445830267150677,90,0,150,0.0002786638897376445
k_center,random,240,-0.05168868509381187,-0.028708841935803198,70,0,170,3.972621090134118e-18
gaindistill,random,240,-0.28936718402106965,-0.2867463497768334,13,1,226,9.98693502459562e-40
