dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
adult,craig_coreset,budget_25,catboost,0.6277371569662501,0.07656057153297774,0.67925,0.07845290000113891
adult,craig_coreset,budget_25,lightgbm,0.6533276313270817,0.08115928186033187,0.7011666666666666,0.014126566665557524
adult,craig_coreset,budget_25,mlp,0.5295870318498275,0.031183183311688404,0.601,0.04008069999690633
adult,craig_coreset,budget_25,random_forest,0.7987697840451982,0.019352234326143847,0.73075,0.39766926666682895
adult,craig_coreset,budget_25,xgboost,0.7206161687080521,0.036354332374690594,0.656,0.025907099998827714
adult,craig_coreset,budget_50,catboost,0.7577082173159183,0.0432920977355501,0.71525,0.1715959666641235
adult,craig_coreset,budget_50,lightgbm,0.7740522122660994,0.014226420366623367,0.7216666666666667,0.019260000003365956
adult,craig_coreset,budget_50,mlp,0.5604853861771741,0.037096581848660375,0.7866666666666667,0.057325633332463134
adult,craig_coreset,budget_50,random_forest,0.8404192688439206,0.00029437387930912986,0.785,0.4883069666660352
adult,craig_coreset,budget_50,xgboost,0.800302979877268,0.02880131012740538,0.7421666666666668,0.022434833331014186
adult,distribution_matching,budget_10,catboost,0.5,0.0,0.7647499999999999,0.0981920333333619
adult,distribution_matching,budget_10,lightgbm,0.5,0.0,0.7647499999999999,0.010328966666444709
adult,distribution_matching,budget_10,mlp,0.49964576691462986,0.0006135497015830008,0.5880833333333334,0.0171836666671273
adult,distribution_matching,budget_10,random_forest,0.8087664756309292,0.03422818349585617,0.6938333333333334,0.5228764333332947
adult,distribution_matching,budget_10,xgboost,0.7592786429410402,0.04790848368997231,0.6764166666666668,0.02860640000017156
adult,distribution_matching,budget_100,catboost,0.8437073022620313,0.047390490731723585,0.7565,0.565221766666582
adult,distribution_matching,budget_100,lightgbm,0.8583202565856493,0.031549947566091474,0.7744166666666666,0.035222033333108506
adult,distribution_matching,budget_100,mlp,0.5162251838532246,0.024951110368698702,0.7715833333333334,0.038857666666748024
adult,distribution_matching,budget_100,random_forest,0.8688749897661494,0.007252787507473083,0.7638333333333334,0.5932673333330362
adult,distribution_matching,budget_100,xgboost,0.8760197518237677,0.009837950697474368,0.7566666666666667,0.031333766666648444
adult,distribution_matching,budget_25,catboost,0.7590747186313518,0.022721335868125133,0.6843333333333333,0.2082255000001775
adult,distribution_matching,budget_25,lightgbm,0.7550735291307786,0.028385508199280048,0.6540833333333333,0.020103366666262446
adult,distribution_matching,budget_25,mlp,0.5053292451199153,0.012589773240088076,0.41425,0.046031599999575214
adult,distribution_matching,budget_25,random_forest,0.843115678583327,0.006388786571940801,0.72175,0.546754766667012
adult,distribution_matching,budget_25,xgboost,0.8269185763002896,0.004435768153521476,0.7143333333333333,0.030237799999971077
adult,distribution_matching,budget_50,catboost,0.7454442718634131,0.07415210853804224,0.735,0.3451098666667652
adult,distribution_matching,budget_50,lightgbm,0.7383094107305412,0.012626048842048664,0.7624166666666667,0.027705033333101408
adult,distribution_matching,budget_50,mlp,0.501771165426851,0.00490839761266424,0.41241666666666665,0.03225850000004963
adult,distribution_matching,budget_50,random_forest,0.8499263568059362,0.008408063761025722,0.7767499999999999,0.5735598000001119
adult,distribution_matching,budget_50,xgboost,0.8442725813748898,0.006615922661057244,0.7364166666666666,0.038333333333260576
adult,el2n_coreset,budget_25,catboost,0.5741581000507553,0.12371325319615088,0.6693333333333333,0.10053906666629094
adult,el2n_coreset,budget_25,lightgbm,0.5476499083961811,0.1168209700757764,0.7255833333333334,0.014748599996285824
adult,el2n_coreset,budget_25,mlp,0.5,0.0,0.7647499999999999,0.019267166668820817
