dataset,method,budget,root_agreement_mean,top5_overlap_mean,gain_rank_correlation_mean
adult,craig_coreset,budget_25,0.0,0.13333333333333333,0.17677576970943942
adult,craig_coreset,budget_50,0.0,0.20000000000000004,0.24114489066897557
adult,distribution_matching,budget_10,0.0,0.06666666666666667,0.23475000024974738
adult,distribution_matching,budget_100,0.0,0.13333333333333333,0.3411361104590238
adult,distribution_matching,budget_25,0.0,0.06666666666666667,0.21160181479610343
adult,distribution_matching,budget_50,0.0,0.06666666666666667,0.28136744945916264
adult,el2n_coreset,budget_25,0.0,0.13333333333333333,0.05997459316478482
adult,el2n_coreset,budget_50,0.0,0.06666666666666667,0.10940562203453613
adult,full_data,budget_10,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,full_data,budget_100,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,full_data,budget_25,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,full_data,budget_50,0.3333333333333333,0.4666666666666666,0.9647288845153318
adult,gain_herding,budget_10,0.0,0.06666666666666667,0.34616122976384284
adult,gain_herding,budget_100,0.0,0.0,0.49145839022812404
adult,gain_herding,budget_25,0.0,0.26666666666666666,0.429603201195175
adult,gain_herding,budget_50,0.0,0.20000000000000004,0.4899634453441979
adult,gain_path_diverse,budget_25,0.0,0.4,0.4475998218880746
adult,gain_path_diverse,budget_50,0.0,0.0,0.461029983506392
adult,gain_path_dual,budget_25,0.0,0.2,0.5255633801812775
adult,gain_path_dual,budget_50,0.0,0.0,0.6048731390150325
adult,gain_path_herding,budget_10,0.0,0.3333333333333333,0.5100782897863109
adult,gain_path_herding,budget_100,0.0,0.13333333333333333,0.5161196215180147
adult,gain_path_herding,budget_25,0.0,0.20000000000000004,0.5676076558171703
adult,gain_path_herding,budget_50,0.0,0.13333333333333333,0.4690188484992903
adult,gain_path_prior_weighted,budget_25,0.0,0.20000000000000004,0.5951038809699848
adult,gain_path_prior_weighted,budget_50,0.0,0.20000000000000004,0.48654402796555773
adult,gain_path_refined,budget_10,0.0,0.04,0.4589620304018368
adult,gain_path_refined,budget_100,0.0,0.08,0.518119587490517
adult,gain_path_refined,budget_200,0.0,0.0,0.5953171789832477
adult,gain_path_refined,budget_25,0.0,0.16,0.5276036634794646
adult,gain_path_refined,budget_50,0.0,0.12000000000000002,0.47633998247095166
adult,gain_path_refined_weighted,budget_50,0.0,0.2,0.26122998282680204
adult,gain_path_safeguarded,budget_25,0.0,0.13333333333333333,0.5549763496517063
adult,gain_path_safeguarded,budget_50,0.0,0.13333333333333333,0.5102999652856576
adult,gain_weighted_coreset,budget_10,0.0,0.06666666666666667,0.28465699824006935
adult,gain_weighted_coreset,budget_100,0.3333333333333333,0.26666666666666666,0.4256063561227604
adult,gain_weighted_coreset,budget_25,0.0,0.06666666666666667,0.1984656396216915
adult,gain_weighted_coreset,budget_50,0.0,0.20000000000000004,0.3787755330146803
adult,gaindistill,budget_10,0.3333333333333333,0.06666666666666667,-0.11153222019969199
adult,gaindistill,budget_100,0.3333333333333333,0.26666666666666666,-0.06250716227394101
adult,gaindistill,budget_25,0.3333333333333333,0.20000000000000004,0.07788789172915211
adult,gaindistill,budget_50,0.3333333333333333,0.06666666666666667,-0.03835614857144961
adult,gaindistill_anchor,budget_25,0.0,0.13333333333333333,0.31778883737101743
adult,gaindistill_anchor,budget_50,0.0,0.13333333333333333,0.25446170631980636
adult,gaindistill_full,budget_25,0.0,0.13333333333333333,0.31778883737101743
adult,gaindistill_full,budget_50,0.0,0.13333333333333333,0.25446170631980636
adult,gaindistill_hybrid,budget_10,0.0,0.06666666666666667,0.28465699824006935
adult,gaindistill_hybrid,budget_100,0.3333333333333333,0.26666666666666666,0.4256063561227604
adult,gaindistill_hybrid,budget_25,0.0,0.06666666666666667,0.1984656396216915
adult,gaindistill_hybrid,budget_50,0.0,0.20000000000000004,0.3787755330146803
adult,gaindistill_path_hybrid,budget_10,0.0,0.06666666666666667,0.24950253595952576
adult,gaindistill_path_hybrid,budget_100,0.0,0.20000000000000004,0.47137656312716275
adult,gaindistill_path_hybrid,budget_25,0.0,0.06666666666666667,0.35382978324554876
adult,gaindistill_path_hybrid,budget_50,0.0,0.06666666666666667,0.3478240866196129
adult,goss_coreset,budget_25,0.0,0.4000000000000001,0.2590295075688339
adult,goss_coreset,budget_50,0.0,0.3333333333333333,0.2666823762772792
adult,gradient_sampling,budget_10,0.0,0.06666666666666667,0.4105571638912228
adult,gradient_sampling,budget_100,0.0,0.0,0.2749818151701553
adult,gradient_sampling,budget_25,0.0,0.0,0.3276118390432606
adult,gradient_sampling,budget_50,0.0,0.0,0.3411959993133742
adult,gradmatch_coreset,budget_25,0.0,0.26666666666666666,0.3767450995635157
adult,gradmatch_coreset,budget_50,0.0,0.20000000000000004,0.15403405117901073
adult,grand_coreset,budget_25,0.0,0.13333333333333333,0.05997459316478482
adult,grand_coreset,budget_50,0.0,0.06666666666666667,0.10940562203453613
adult,herding,budget_10,0.0,0.2,0.4913642335228123
adult,herding,budget_100,0.0,0.2,0.47304993375377064
adult,herding,budget_200,0.0,0.2,0.3140809731385277
adult,herding,budget_25,0.0,0.0,0.48515635283492725
adult,herding,budget_50,0.0,0.32,0.5296925076707608
adult,histdistill_density,budget_10,0.0,0.12000000000000002,0.4431338210415349
adult,histdistill_density,budget_100,0.0,0.04,0.5485844781036577
adult,histdistill_density,budget_200,0.0,0.04,0.5567635405537752
adult,histdistill_density,budget_25,0.0,0.2,0.5254138855784268
adult,histdistill_density,budget_50,0.0,0.2,0.4758413556756814
adult,histdistill_density_mid,budget_25,0.0,0.13333333333333333,0.5931930830433955
adult,histdistill_density_mid,budget_50,0.0,0.20000000000000004,0.4810315035631892
adult,histdistill_density_strong,budget_25,0.0,0.13333333333333333,0.5931930830433955
adult,histdistill_density_strong,budget_50,0.0,0.20000000000000004,0.4810315035631892
adult,histdistill_density_weak,budget_25,0.0,0.13333333333333333,0.5931930830433955
adult,histdistill_density_weak,budget_50,0.0,0.20000000000000004,0.5093228845385381
adult,histdistill_density_xstrong,budget_25,0.0,0.13333333333333333,0.5931930830433955
adult,histdistill_density_xstrong,budget_50,0.0,0.20000000000000004,0.4935916523595845
adult,histdistill_greedy,budget_25,0.0,0.26666666666666666,0.4366581569469505
adult,histdistill_greedy,budget_50,0.0,0.26666666666666666,0.43410550396982206
adult,histdistill_importance,budget_25,0.0,0.20000000000000004,0.15556557321050438
adult,histdistill_importance,budget_50,0.0,0.13333333333333333,0.18346332114638017
adult,histdistill_linear_coverage,budget_25,0.0,0.0,0.3763464948759749
adult,histdistill_linear_coverage,budget_50,0.0,0.26666666666666666,0.35086772674196237
adult,histdistill_no_refine,budget_25,0.0,0.3333333333333333,0.4725867677209539
adult,histdistill_no_refine,budget_50,0.0,0.26666666666666666,0.43410550396982206
adult,histdistill_no_weight_fit,budget_25,0.0,0.39999999999999997,0.2919334523683907
adult,histdistill_no_weight_fit,budget_50,0.0,0.20000000000000004,0.3372781128035907
adult,histdistill_refined,budget_10,0.0,0.04,0.4683546427826538
adult,histdistill_refined,budget_100,0.0,0.12000000000000002,0.5003390007403501
adult,histdistill_refined,budget_200,0.0,0.04,0.5079716458002212
adult,histdistill_refined,budget_25,0.0,0.16,0.5529765341541875
adult,histdistill_refined,budget_50,0.0,0.12000000000000002,0.5187375885865301
