dataset,method,budget,distill_train_rows,downstream_train_seconds,auroc_mean
adult,craig_coreset,budget_25,50.0,0.11124730666585189,0.666007554579282
adult,craig_coreset,budget_50,100.0,0.1517846799994004,0.7465936128960761
adult,distribution_matching,budget_10,20.0,0.13543750000008004,0.6135381770973198
adult,distribution_matching,budget_100,200.0,0.2527805133332246,0.7926294968581645
adult,distribution_matching,budget_25,50.0,0.17027060666659963,0.7379023495531325
adult,distribution_matching,budget_50,100.0,0.20339330666665772,0.7359447572403262
adult,el2n_coreset,budget_25,50.0,0.12554527999988446,0.5485721882213273
adult,el2n_coreset,budget_50,100.0,0.1436278333324784,0.7256532381177033
adult,full_data,budget_10,12000.0,2.1310281800001274,0.8343787899263476
adult,full_data,budget_100,12000.0,2.2171748600000987,0.8343787899263476
adult,full_data,budget_25,12000.0,2.3199875266667127,0.8343787899263476
adult,full_data,budget_50,12000.0,2.4362948400001185,0.8343787899263476
adult,gain_herding,budget_10,20.0,0.15507779333250557,0.6381466302636877
adult,gain_herding,budget_100,200.0,0.30896332000023297,0.8238256895299283
adult,gain_herding,budget_25,50.0,0.13546618666829696,0.7658355216693028
adult,gain_herding,budget_50,100.0,0.23741240666810579,0.7936205736352616
adult,gain_path_diverse,budget_25,50.0,0.21440681999956723,0.7756449757670524
adult,gain_path_diverse,budget_50,100.0,0.2535115400001814,0.7888548937839215
adult,gain_path_dual,budget_25,50.0,0.21443963999918197,0.7805967582635376
adult,gain_path_dual,budget_50,100.0,0.28730126000009476,0.7833937521343441
adult,gain_path_herding,budget_10,20.0,0.20248154000025048,0.6386739616216998
adult,gain_path_herding,budget_100,200.0,0.5582974199998716,0.8193877360777075
adult,gain_path_herding,budget_25,50.0,0.26273714000126347,0.7741610645381647
adult,gain_path_herding,budget_50,100.0,0.21771552666614297,0.7996730494628198
adult,gain_path_prior_weighted,budget_25,50.0,0.24669216666710175,0.7659108381775489
adult,gain_path_prior_weighted,budget_50,100.0,0.30921514666624716,0.7845268232263419
adult,gain_path_refined,budget_10,20.0,0.10075154799927986,0.6365835556409389
adult,gain_path_refined,budget_100,200.0,0.1880249200005346,0.8155773924021347
adult,gain_path_refined,budget_200,400.0,0.40108016000071073,0.821627816248564
adult,gain_path_refined,budget_25,50.0,0.182246436000205,0.7762949002594737
adult,gain_path_refined,budget_50,100.0,0.1902184800008399,0.7995446547339101
adult,gain_path_refined_weighted,budget_50,100.0,0.16497518000032868,0.7852570019513507
adult,gain_path_safeguarded,budget_25,50.0,0.17902403999857294,0.777213212766704
adult,gain_path_safeguarded,budget_50,100.0,0.2139486133324681,0.8007325294708842
adult,gain_weighted_coreset,budget_10,20.0,0.22290428666638035,0.6332949571174158
adult,gain_weighted_coreset,budget_100,200.0,0.501883900000151,0.7995892795334453
adult,gain_weighted_coreset,budget_25,50.0,0.20850877999970788,0.7748661261803957
adult,gain_weighted_coreset,budget_50,100.0,0.28816212666691476,0.7817125982724682
adult,gaindistill,budget_10,20.0,0.17485920000011296,0.4939709968911096
adult,gaindistill,budget_100,200.0,0.24943613333337755,0.5314957332804358
adult,gaindistill,budget_25,50.0,0.1780270800002351,0.5373441342579292
adult,gaindistill,budget_50,100.0,0.17391786666673095,0.48433569484863565
adult,gaindistill_anchor,budget_25,50.0,0.20683451333388803,0.7733651807289327
adult,gaindistill_anchor,budget_50,100.0,0.29911059999940337,0.781566226706627
adult,gaindistill_full,budget_25,50.0,0.21681924666651564,0.773357815830525
adult,gaindistill_full,budget_50,100.0,0.3334095733334834,0.7815637717404911
adult,gaindistill_hybrid,budget_10,20.0,0.19162764666701454,0.6332949571174158
adult,gaindistill_hybrid,budget_100,200.0,0.5612809999996292,0.7995892795334453
adult,gaindistill_hybrid,budget_25,50.0,0.22361262666672702,0.7748661261803957
adult,gaindistill_hybrid,budget_50,100.0,0.3177893333329848,0.7817125982724682
adult,gaindistill_path_hybrid,budget_10,20.0,0.20681137333328176,0.6399071768039978
adult,gaindistill_path_hybrid,budget_100,200.0,0.6572087199997138,0.8093793949828598
adult,gaindistill_path_hybrid,budget_25,50.0,0.2159052066666239,0.7755140982799372
adult,gaindistill_path_hybrid,budget_50,100.0,0.39162671333336524,0.7984046078324768
adult,goss_coreset,budget_25,50.0,0.11586233333315855,0.7130328246342419
adult,goss_coreset,budget_50,100.0,0.11715728666701276,0.7279383368090789
adult,gradient_sampling,budget_10,20.0,0.16026682666664177,0.36271088245957966
adult,gradient_sampling,budget_100,200.0,0.29421235333326573,0.21628429990097917
adult,gradient_sampling,budget_25,50.0,0.23349425999986123,0.22680444353502616
adult,gradient_sampling,budget_50,100.0,0.30175149333335866,0.21497114777888673
adult,gradmatch_coreset,budget_25,50.0,0.11231362666633989,0.6844050244819182
adult,gradmatch_coreset,budget_50,100.0,0.12774554000012964,0.737068286388475
adult,grand_coreset,budget_25,50.0,0.11503933333345534,0.5485721882213273
adult,grand_coreset,budget_50,100.0,0.15247236666812872,0.7256532381177033
adult,herding,budget_10,20.0,0.17690102399985336,0.6239615927496049
adult,herding,budget_100,200.0,0.24179712400007702,0.7635620261669283
adult,herding,budget_200,400.0,0.3139018320004834,0.7887869074339965
adult,herding,budget_25,50.0,0.16141381600071328,0.7517833997274294
adult,herding,budget_50,100.0,0.24869064799888294,0.7651190768586207
adult,histdistill_density,budget_10,20.0,0.14946440399755376,0.6381589004623558
adult,histdistill_density,budget_100,200.0,0.23017992800159845,0.8174716720646971
adult,histdistill_density,budget_200,400.0,0.33693120400217597,0.8265394600487265
adult,histdistill_density,budget_25,50.0,0.19386069999876782,0.7764273086264152
adult,histdistill_density,budget_50,100.0,0.3825080719993275,0.7943061345087525
adult,histdistill_density_mid,budget_25,50.0,0.027136216666804103,0.6811819144960771
adult,histdistill_density_mid,budget_50,100.0,0.042107466666493565,0.7221622183722486
adult,histdistill_density_strong,budget_25,50.0,0.025703866666844988,0.6811819144960771
adult,histdistill_density_strong,budget_50,100.0,0.04408645000012257,0.7221622183722486
adult,histdistill_density_weak,budget_25,50.0,0.024813099999998183,0.6811819144960771
adult,histdistill_density_weak,budget_50,100.0,0.04056588333363228,0.7135593280201844
adult,histdistill_density_xstrong,budget_25,50.0,0.028303516666710493,0.6811819144960771
adult,histdistill_density_xstrong,budget_50,100.0,0.04307743333341326,0.6966643842429621
adult,histdistill_greedy,budget_25,50.0,0.31321821999930155,0.5855111720066233
adult,histdistill_greedy,budget_50,100.0,0.26912501333475425,0.6831459047748745
adult,histdistill_importance,budget_25,50.0,0.21270457999780773,0.6661047226021437
adult,histdistill_importance,budget_50,100.0,0.5353302333329338,0.7304281704121691
adult,histdistill_linear_coverage,budget_25,50.0,0.15411132000153885,0.625482479010908
adult,histdistill_linear_coverage,budget_50,100.0,0.2735376200056635,0.6730747420230102
adult,histdistill_no_refine,budget_25,50.0,0.18758089999319055,0.5844780828845203
adult,histdistill_no_refine,budget_50,100.0,0.1610045399982482,0.6831459047748745
adult,histdistill_no_weight_fit,budget_25,50.0,0.13556456666168135,0.6648596842102947
adult,histdistill_no_weight_fit,budget_50,100.0,0.14743758665863424,0.6620227508196633
adult,histdistill_refined,budget_10,20.0,0.14904732399947535,0.6376010372000324
adult,histdistill_refined,budget_100,200.0,0.18763075599723378,0.8224636905297481
adult,histdistill_refined,budget_200,400.0,0.3404861879975942,0.8221901192939842
adult,histdistill_refined,budget_25,50.0,0.3020942759988975,0.7785988836620499
adult,histdistill_refined,budget_50,100.0,0.23948292000146465,0.793631878059516
adult,histdistill_root_only,budget_25,50.0,0.14221955334263234,0.5491291991935205
adult,histdistill_root_only,budget_50,100.0,0.1789928000032281,0.6234117961354432
adult,k_center,budget_10,20.0,0.1814255199999631,0.6147019584260749
adult,k_center,budget_100,200.0,0.4289986600000096,0.797289045744241
adult,k_center,budget_25,50.0,0.22122180666665373,0.7226491238492201
adult,k_center,budget_50,100.0,0.23205215999987558,0.7540752958957946
adult,math_full,budget_50,100.0,0.1775664599990705,0.7866771419608487
adult,math_no_anchor,budget_50,100.0,0.2723737000000256,0.7866771419608487
adult,math_no_hist,budget_50,100.0,0.1505696000000171,0.7866745711944232
adult,math_no_newton,budget_50,100.0,0.17809085999979288,0.7873666284641512
adult,math_no_probes,budget_50,100.0,0.15871535999904154,0.7610737674477743
adult,math_no_soft_routing,budget_50,100.0,0.1328339400002733,0.7609546089499496
adult,math_root_only,budget_50,100.0,0.13911293999990448,0.780101121444743
adult,math_tuned,budget_50,100.0,0.30362744000012754,0.7901729674183148
adult,math_tuned_more_probes,budget_50,100.0,0.6151002399994467,0.7926663329302326
adult,math_tuned_no_anchor,budget_50,100.0,0.5731848400006129,0.7901729674183148
adult,math_tuned_no_hist,budget_50,100.0,0.49305585999973117,0.7900688513780871
adult,mvs_coreset,budget_25,50.0,0.13758853333468626,0.6953152182308564
adult,mvs_coreset,budget_50,100.0,0.15555050666589523,0.7291003695534637
adult,random,budget_10,20.0,0.16830370799987576,0.6141306275900906
adult,random,budget_100,200.0,0.25723697200024614,0.800926928048764
adult,random,budget_200,400.0,0.3432767599991348,0.8173260763607952
adult,random,budget_25,50.0,0.15370299200018053,0.743643811279342
adult,random,budget_50,100.0,0.18111415600142208,0.7793486164239318
adult,refined_no_conf,budget_25,50.0,0.1396501399993819,0.7752528296669224
adult,refined_no_conf,budget_50,100.0,0.34618704666694006,0.802904803940267
adult,refined_no_gain_weight,budget_25,50.0,0.30312508666635646,0.777213212766704
adult,refined_no_gain_weight,budget_50,100.0,0.2579482200021933,0.8007325294708842
adult,refined_no_grad,budget_25,50.0,0.24607977999936945,0.7706627841145627
adult,refined_no_grad,budget_50,100.0,0.24359196000150404,0.7942202338540525
adult,refined_no_hess,budget_25,50.0,0.23269211333342052,0.7722696984108842
adult,refined_no_hess,budget_50,100.0,0.2840779066667892,0.7973883213323704
adult,refined_no_path,budget_25,50.0,0.21077126000115337,0.7650925354322831
adult,refined_no_path,budget_50,100.0,0.2522074199980125,0.7994912198483548
adult,refined_no_raw,budget_25,50.0,0.182977719999811,0.766499439468699
adult,refined_no_raw,budget_50,100.0,0.19745791333164864,0.7908274706541802
adult,refined_no_refine,budget_25,50.0,0.3085305866659231,0.7741610645381647
adult,refined_no_refine,budget_50,100.0,0.2927532133355271,0.7996730494628198
adult,refined_path_occupancy_only,budget_25,50.0,0.20432229333382565,0.7709422217929891
adult,refined_path_occupancy_only,budget_50,100.0,0.21321637333506563,0.7856931521614645
adult,region_adaptive_refined,budget_10,20.0,0.0882587400000375,0.6301025978984331
adult,region_adaptive_refined,budget_25,50.0,0.1027007300000605,0.7543906258739302
adult,region_adaptive_refined,budget_50,100.0,0.101739520000001,0.7586070128423679
adult,region_trajectory_refined,budget_10,20.0,0.09842251999998552,0.6350886167504888
adult,region_trajectory_refined,budget_25,50.0,0.09795609000007062,0.7500291643028932
adult,region_trajectory_refined,budget_50,100.0,0.09306893000002674,0.7728352322843796
adult,sketch_no_conf,budget_50,100.0,0.20436073999953805,0.8035040588580447
adult,sketch_no_gain_weight,budget_50,100.0,0.3403600399997231,0.8035040588580447
adult,sketch_no_grad,budget_50,100.0,0.24826070000017353,0.798936154321024
adult,sketch_no_hess,budget_50,100.0,0.16613490000054298,0.7882948488441452
adult,sketch_no_raw,budget_50,100.0,0.15576073999982326,0.813094719888943
adult,sketch_occupancy_only,budget_50,100.0,0.13243404000022566,0.7902533907193248
adult,split_margin_refined,budget_10,20.0,0.0870697900000323,0.6379277503466192
adult,split_margin_refined,budget_25,50.0,0.11217578000000686,0.7724151725244822
adult,split_margin_refined,budget_50,100.0,0.10724633999993785,0.7900503522818505
adult,threshold_witness,budget_10,20.0,0.09309674000000996,0.5348092543422502
adult,threshold_witness,budget_25,50.0,0.10408191000001352,0.5244895899592812
adult,threshold_witness,budget_50,100.0,0.10376707000000351,0.569201957673373
adult,trajectory_refined,budget_10,20.0,0.08518624999992426,0.6412064328913584
adult,trajectory_refined,budget_25,50.0,0.10013210666672118,0.7728343174620931
